Ensembl Gene ID,Chimp Ensembl Gene ID,Homology Type
ENSMUSG00000047714,ENSPTRG00000015763,ortholog_one2one
ENSMUSG00000097781,,
ENSMUSG00000087455,,
ENSMUSG00000093986,,
ENSMUSG00000058073,,
ENSMUSG00000097759,,
ENSMUSG00000073947,,
ENSMUSG00000056296,ENSPTRG00000015073,ortholog_one2one
ENSMUSG00000084250,,
ENSMUSG00000094211,,
ENSMUSG00000097379,,
ENSMUSG00000082989,,
ENSMUSG00000074754,,
ENSMUSG00000094010,,
ENSMUSG00000097566,,
ENSMUSG00000094361,,
ENSMUSG00000061024,ENSPTRG00000030988,ortholog_one2one
ENSMUSG00000082800,,
ENSMUSG00000078624,,
ENSMUSG00000051493,,
ENSMUSG00000097624,,
ENSMUSG00000071104,ENSPTRG00000016653,ortholog_one2one
ENSMUSG00000094589,,
ENSMUSG00000097350,,
ENSMUSG00000094119,,
ENSMUSG00000095833,,
ENSMUSG00000067855,,
ENSMUSG00000097049,,
ENSMUSG00000001119,ENSPTRG00000014012,ortholog_one2one
ENSMUSG00000095390,,
ENSMUSG00000096737,,
ENSMUSG00000009900,ENSPTRG00000002064,ortholog_one2one
ENSMUSG00000097796,,
ENSMUSG00000056718,,
ENSMUSG00000049606,ENSPTRG00000000947,ortholog_one2one
ENSMUSG00000096584,,
ENSMUSG00000041710,ENSPTRG00000022192,ortholog_one2one
ENSMUSG00000097103,,
ENSMUSG00000020747,ENSPTRG00000009643,ortholog_one2one
ENSMUSG00000051729,,
ENSMUSG00000095973,,
ENSMUSG00000025579,ENSPTRG00000009736,ortholog_one2one
ENSMUSG00000097723,,
ENSMUSG00000094449,,
ENSMUSG00000045584,,
ENSMUSG00000097460,,
ENSMUSG00000087668,,
ENSMUSG00000085871,,
ENSMUSG00000032413,ENSPTRG00000015472,ortholog_one2one
ENSMUSG00000097879,,
ENSMUSG00000021939,ENSPTRG00000019998,ortholog_one2one
ENSMUSG00000083442,,
ENSMUSG00000041134,ENSPTRG00000013812,ortholog_one2one
ENSMUSG00000046396,ENSPTRG00000003233,ortholog_one2many
ENSMUSG00000091435,,
ENSMUSG00000028738,ENSPTRG00000000254,ortholog_one2one
ENSMUSG00000043461,ENSPTRG00000039318,ortholog_one2one
ENSMUSG00000039982,ENSPTRG00000003688,ortholog_one2one
ENSMUSG00000097514,,
ENSMUSG00000093934,,
ENSMUSG00000031636,ENSPTRG00000016654,ortholog_one2one
ENSMUSG00000031864,,
ENSMUSG00000096907,,
ENSMUSG00000073948,,
ENSMUSG00000097065,,
ENSMUSG00000094085,,
ENSMUSG00000027364,ENSPTRG00000007067,ortholog_one2one
ENSMUSG00000080967,,
ENSMUSG00000034832,ENSPTRG00000012075,ortholog_one2one
ENSMUSG00000042402,,
ENSMUSG00000096972,,
ENSMUSG00000086385,,
ENSMUSG00000083129,,
ENSMUSG00000095774,,
ENSMUSG00000091638,,
ENSMUSG00000094601,ENSPTRG00000028266,ortholog_one2many
ENSMUSG00000085142,,
ENSMUSG00000046805,ENSPTRG00000024209,ortholog_one2many
ENSMUSG00000081297,,
ENSMUSG00000097722,,
ENSMUSG00000073949,ENSPTRG00000032554,ortholog_many2many
ENSMUSG00000086592,,
ENSMUSG00000097818,,
ENSMUSG00000094309,,
ENSMUSG00000024151,,
ENSMUSG00000025909,ENSPTRG00000020240,ortholog_one2one
ENSMUSG00000048285,ENSPTRG00000006340,ortholog_one2one
ENSMUSG00000058079,,
ENSMUSG00000097458,,
ENSMUSG00000006931,ENSPTRG00000009179,ortholog_one2one
ENSMUSG00000094254,,
ENSMUSG00000097799,,
ENSMUSG00000040065,ENSPTRG00000024209,ortholog_one2many
ENSMUSG00000094284,,
ENSMUSG00000051427,ENSPTRG00000014241,ortholog_one2one
ENSMUSG00000097317,,
ENSMUSG00000058976,ENSPTRG00000028486,ortholog_many2many
ENSMUSG00000058976,ENSPTRG00000031266,ortholog_many2many
ENSMUSG00000058976,ENSPTRG00000029995,ortholog_many2many
ENSMUSG00000024027,ENSPTRG00000018131,ortholog_one2one
ENSMUSG00000072066,,
ENSMUSG00000097868,,
ENSMUSG00000095190,,
ENSMUSG00000058762,ENSPTRG00000017644,ortholog_many2many
ENSMUSG00000095903,,
ENSMUSG00000097843,,
ENSMUSG00000050815,ENSPTRG00000003680,ortholog_many2many
ENSMUSG00000028329,ENSPTRG00000021168,ortholog_one2one
ENSMUSG00000083780,ENSPTRG00000012331,ortholog_many2many
ENSMUSG00000074865,,
ENSMUSG00000028737,ENSPTRG00000000255,ortholog_one2one
ENSMUSG00000097377,,
ENSMUSG00000095768,,
ENSMUSG00000046650,,
ENSMUSG00000097235,,
ENSMUSG00000040963,ENSPTRG00000008661,ortholog_one2one
ENSMUSG00000021342,ENSPTRG00000017768,ortholog_one2many
ENSMUSG00000055820,,
ENSMUSG00000097837,,
ENSMUSG00000080819,,
ENSMUSG00000095275,,
ENSMUSG00000096436,ENSPTRG00000029943,ortholog_one2many
ENSMUSG00000059874,,
ENSMUSG00000037816,,
ENSMUSG00000097857,,
ENSMUSG00000055228,,
ENSMUSG00000045160,ENSPTRG00000012078,ortholog_one2one
ENSMUSG00000083060,,
ENSMUSG00000061200,,
ENSMUSG00000067513,ENSPTRG00000029943,ortholog_one2many
ENSMUSG00000097052,,
ENSMUSG00000094353,,
ENSMUSG00000094942,,
ENSMUSG00000079657,ENSPTRG00000007634,ortholog_one2one
ENSMUSG00000025453,ENSPTRG00000016851,ortholog_one2one
ENSMUSG00000045540,,
ENSMUSG00000095640,ENSPTRG00000029943,ortholog_one2many
ENSMUSG00000095837,,
ENSMUSG00000054763,ENSPTRG00000031029,ortholog_one2one
ENSMUSG00000045835,ENSPTRG00000017769,ortholog_one2one
ENSMUSG00000097872,,
ENSMUSG00000074656,ENSPTRG00000013412,ortholog_one2one
ENSMUSG00000073950,,
ENSMUSG00000034416,,
ENSMUSG00000074867,ENSPTRG00000023903,ortholog_one2many
ENSMUSG00000097345,,
ENSMUSG00000036106,ENSPTRG00000014488,ortholog_one2one
ENSMUSG00000096761,,
ENSMUSG00000095839,,
ENSMUSG00000097774,,
ENSMUSG00000036661,ENSPTRG00000020626,ortholog_one2one
ENSMUSG00000073951,,
ENSMUSG00000048076,ENSPTRG00000002066,ortholog_one2one
ENSMUSG00000025817,ENSPTRG00000002294,ortholog_one2one
ENSMUSG00000097770,,
ENSMUSG00000096903,,
ENSMUSG00000099269,,
ENSMUSG00000080985,,
ENSMUSG00000019861,ENSPTRG00000018546,ortholog_one2one
ENSMUSG00000073952,,
ENSMUSG00000074870,ENSPTRG00000021080,ortholog_one2many
ENSMUSG00000075571,ENSPTRG00000031030,ortholog_one2many
ENSMUSG00000075571,ENSPTRG00000040557,ortholog_one2many
ENSMUSG00000062121,,
ENSMUSG00000098049,ENSPTRG00000000940,ortholog_one2many
ENSMUSG00000045394,ENSPTRG00000011902,ortholog_one2one
ENSMUSG00000096663,,
ENSMUSG00000096194,,
ENSMUSG00000043131,ENSPTRG00000012079,ortholog_one2one
ENSMUSG00000060049,ENSPTRG00000029943,ortholog_one2many
ENSMUSG00000073953,,
ENSMUSG00000055745,ENSPTRG00000029412,ortholog_one2one
ENSMUSG00000078747,,
ENSMUSG00000094762,,
ENSMUSG00000093857,,
ENSMUSG00000098598,ENSPTRG00000004950,ortholog_one2many
ENSMUSG00000064110,,
ENSMUSG00000003581,ENSPTRG00000014242,ortholog_one2one
ENSMUSG00000067519,ENSPTRG00000029943,ortholog_one2many
ENSMUSG00000086129,,
ENSMUSG00000086959,,
ENSMUSG00000074871,ENSPTRG00000021080,ortholog_one2many
ENSMUSG00000080951,,
ENSMUSG00000094545,,
ENSMUSG00000057321,ENSPTRG00000028486,ortholog_many2many
ENSMUSG00000057321,ENSPTRG00000031266,ortholog_many2many
ENSMUSG00000057321,ENSPTRG00000029995,ortholog_many2many
ENSMUSG00000075572,ENSPTRG00000015911,ortholog_one2many
ENSMUSG00000075572,ENSPTRG00000039292,ortholog_one2many
ENSMUSG00000082408,,
ENSMUSG00000099100,ENSPTRG00000006311,ortholog_one2many
ENSMUSG00000094133,ENSPTRG00000029943,ortholog_one2many
ENSMUSG00000095770,ENSPTRG00000028266,ortholog_one2many
ENSMUSG00000086395,,
ENSMUSG00000091096,,
ENSMUSG00000086096,,
ENSMUSG00000059106,,
ENSMUSG00000096386,,
ENSMUSG00000086995,,
ENSMUSG00000075573,ENSPTRG00000034363,ortholog_one2many
ENSMUSG00000075573,ENSPTRG00000032474,ortholog_one2many
ENSMUSG00000083698,,
ENSMUSG00000067522,ENSPTRG00000003691,ortholog_one2one
ENSMUSG00000073954,,
ENSMUSG00000086650,,
ENSMUSG00000087332,,
ENSMUSG00000058435,ENSPTRG00000017830,ortholog_many2many
ENSMUSG00000086862,,
ENSMUSG00000095806,,
ENSMUSG00000067524,ENSPTRG00000003692,ortholog_one2one
ENSMUSG00000042050,,
ENSMUSG00000075574,ENSPTRG00000029799,ortholog_one2one
ENSMUSG00000095300,,
ENSMUSG00000083689,,
ENSMUSG00000073955,,
ENSMUSG00000053472,,
ENSMUSG00000048978,ENSPTRG00000017770,ortholog_one2one
ENSMUSG00000098034,ENSPTRG00000010091,ortholog_one2many
ENSMUSG00000094439,ENSPTRG00000000256,ortholog_one2one
ENSMUSG00000067525,ENSPTRG00000003695,ortholog_many2many
ENSMUSG00000059867,,
ENSMUSG00000095745,,
ENSMUSG00000082940,,
ENSMUSG00000086859,,
ENSMUSG00000091539,ENSPTRG00000032517,ortholog_one2many
ENSMUSG00000073956,ENSPTRG00000028733,ortholog_one2one
ENSMUSG00000064372,,
ENSMUSG00000029622,ENSPTRG00000019449,ortholog_one2one
ENSMUSG00000064371,,
ENSMUSG00000064370,ENSPTRG00000042637,ortholog_one2one
ENSMUSG00000094757,,
ENSMUSG00000085104,,
ENSMUSG00000090497,,
ENSMUSG00000048299,,
ENSMUSG00000025041,ENSPTRG00000002905,ortholog_one2one
ENSMUSG00000034384,ENSPTRG00000000946,ortholog_one2one
ENSMUSG00000064369,,
ENSMUSG00000086902,,
ENSMUSG00000094886,ENSPTRG00000010002,ortholog_one2many
ENSMUSG00000020441,ENSPTRG00000002067,ortholog_one2one
ENSMUSG00000064368,ENSPTRG00000042630,ortholog_one2one
ENSMUSG00000082464,,
ENSMUSG00000094298,,
ENSMUSG00000057461,,
ENSMUSG00000086920,,
ENSMUSG00000064367,ENSPTRG00000042651,ortholog_one2one
ENSMUSG00000080803,,
ENSMUSG00000096730,,
ENSMUSG00000083175,,
ENSMUSG00000081150,,
ENSMUSG00000084141,,
ENSMUSG00000056032,,
ENSMUSG00000051362,ENSPTRG00000003234,ortholog_one2one
ENSMUSG00000039483,ENSPTRG00000021460,ortholog_one2one
ENSMUSG00000084393,,
ENSMUSG00000064366,,
ENSMUSG00000093976,,
ENSMUSG00000087620,,
ENSMUSG00000064365,,
ENSMUSG00000084800,,
ENSMUSG00000033166,ENSPTRG00000005926,ortholog_one2one
ENSMUSG00000044994,ENSPTRG00000028628,ortholog_one2many
ENSMUSG00000094735,,
ENSMUSG00000031444,ENSPTRG00000006050,ortholog_one2one
ENSMUSG00000064364,,
ENSMUSG00000003585,ENSPTRG00000034178,ortholog_one2one
ENSMUSG00000086478,,
ENSMUSG00000064363,ENSPTRG00000042639,ortholog_one2one
ENSMUSG00000086493,,
ENSMUSG00000066268,,
ENSMUSG00000086575,,
ENSMUSG00000067526,ENSPTRG00000028628,ortholog_one2many
ENSMUSG00000083744,,
ENSMUSG00000061469,,
ENSMUSG00000094011,,
ENSMUSG00000065947,ENSPTRG00000042631,ortholog_one2many
ENSMUSG00000041025,,
ENSMUSG00000078080,ENSPTRG00000028736,ortholog_one2many
ENSMUSG00000028517,ENSPTRG00000000787,ortholog_one2one
ENSMUSG00000064361,,
ENSMUSG00000067528,ENSPTRG00000028628,ortholog_one2many
ENSMUSG00000028883,ENSPTRG00000019354,ortholog_one2one
ENSMUSG00000082442,,
ENSMUSG00000064360,ENSPTRG00000042628,ortholog_one2one
ENSMUSG00000086646,,
ENSMUSG00000096164,,
ENSMUSG00000081184,,
ENSMUSG00000064359,,
ENSMUSG00000084839,,
ENSMUSG00000073959,ENSPTRG00000003224,ortholog_one2many
ENSMUSG00000067529,ENSPTRG00000003694,ortholog_one2one
ENSMUSG00000019891,ENSPTRG00000018545,ortholog_one2one
ENSMUSG00000081296,,
ENSMUSG00000064358,ENSPTRG00000042661,ortholog_one2one
ENSMUSG00000086498,,
ENSMUSG00000081662,,
ENSMUSG00000083312,,
ENSMUSG00000087395,,
ENSMUSG00000064357,ENSPTRG00000042650,ortholog_one2one
ENSMUSG00000096152,,
ENSMUSG00000083156,,
ENSMUSG00000084089,,
ENSMUSG00000081733,,
ENSMUSG00000073960,ENSPTRG00000028736,ortholog_one2many
ENSMUSG00000028259,ENSPTRG00000018433,ortholog_one2one
ENSMUSG00000064356,,
ENSMUSG00000084188,,
ENSMUSG00000064355,,
ENSMUSG00000021440,ENSPTRG00000021080,ortholog_one2many
ENSMUSG00000064354,ENSPTRG00000042660,ortholog_one2one
ENSMUSG00000073961,ENSPTRG00000003224,ortholog_one2many
ENSMUSG00000095076,,
ENSMUSG00000095201,,
ENSMUSG00000085843,,
ENSMUSG00000080918,,
ENSMUSG00000095637,,
ENSMUSG00000064353,,
ENSMUSG00000090718,,
ENSMUSG00000064352,,
ENSMUSG00000045792,ENSPTRG00000003231,ortholog_one2one
ENSMUSG00000034687,ENSPTRG00000016200,ortholog_one2one
ENSMUSG00000057890,,
ENSMUSG00000064351,ENSPTRG00000042657,ortholog_one2one
ENSMUSG00000081046,,
ENSMUSG00000095728,,
ENSMUSG00000044042,ENSPTRG00000030346,ortholog_one2one
ENSMUSG00000004748,ENSPTRG00000014244,ortholog_one2one
ENSMUSG00000034424,ENSPTRG00000008386,ortholog_one2one
ENSMUSG00000038112,ENSPTRG00000004419,ortholog_one2many
ENSMUSG00000051285,ENSPTRG00000020242,ortholog_one2one
ENSMUSG00000096645,ENSPTRG00000028266,ortholog_one2many
ENSMUSG00000083825,,
ENSMUSG00000082144,,
ENSMUSG00000043354,,
ENSMUSG00000027596,ENSPTRG00000013413,ortholog_one2one
ENSMUSG00000028249,ENSPTRG00000020277,ortholog_one2one
ENSMUSG00000064350,,
ENSMUSG00000064349,,
ENSMUSG00000085791,,
ENSMUSG00000064348,,
ENSMUSG00000094722,,
ENSMUSG00000094351,,
ENSMUSG00000082074,,
ENSMUSG00000057446,ENSPTRG00000021080,ortholog_one2many
ENSMUSG00000064347,,
ENSMUSG00000064346,,
ENSMUSG00000051234,ENSPTRG00000015473,ortholog_many2many
ENSMUSG00000051234,ENSPTRG00000039248,ortholog_many2many
ENSMUSG00000073962,ENSPTRG00000003229,ortholog_one2one
ENSMUSG00000064345,ENSPTRG00000042626,ortholog_one2one
ENSMUSG00000094352,,
ENSMUSG00000046683,,
ENSMUSG00000033285,ENSPTRG00000001168,ortholog_one2one
ENSMUSG00000083542,,
ENSMUSG00000031847,ENSPTRG00000008385,ortholog_one2one
ENSMUSG00000040372,ENSPTRG00000018434,ortholog_one2one
ENSMUSG00000096244,,
ENSMUSG00000064344,,
ENSMUSG00000054752,ENSPTRG00000021222,ortholog_one2one
ENSMUSG00000086226,,
ENSMUSG00000083644,,
ENSMUSG00000066269,ENSPTRG00000023556,ortholog_one2one
ENSMUSG00000064343,,
ENSMUSG00000064342,,
ENSMUSG00000082388,,
ENSMUSG00000095229,,
ENSMUSG00000096776,,
ENSMUSG00000064341,ENSPTRG00000042641,ortholog_one2one
ENSMUSG00000060508,ENSPTRG00000011526,ortholog_many2many
ENSMUSG00000060508,ENSPTRG00000039884,ortholog_many2many
ENSMUSG00000056418,,
ENSMUSG00000045824,ENSPTRG00000003228,ortholog_one2one
ENSMUSG00000064340,,
ENSMUSG00000021441,ENSPTRG00000021080,ortholog_one2many
ENSMUSG00000064339,,
ENSMUSG00000064338,,
ENSMUSG00000095754,ENSPTRG00000028266,ortholog_one2many
ENSMUSG00000064337,,
ENSMUSG00000052785,,
ENSMUSG00000047388,ENSPTRG00000039664,ortholog_one2many
ENSMUSG00000047388,ENSPTRG00000008384,ortholog_one2many
ENSMUSG00000064336,,
ENSMUSG00000049076,ENSPTRG00000015762,ortholog_one2one
ENSMUSG00000001552,ENSPTRG00000009178,ortholog_one2one
ENSMUSG00000094391,,
ENSMUSG00000073778,,
ENSMUSG00000073963,,
ENSMUSG00000062038,,
ENSMUSG00000098112,ENSPTRG00000004954,ortholog_one2one
ENSMUSG00000085228,,
ENSMUSG00000035910,ENSPTRG00000017772,ortholog_one2one
ENSMUSG00000085745,,
ENSMUSG00000022070,ENSPTRG00000005925,ortholog_one2one
ENSMUSG00000043310,,
ENSMUSG00000079834,ENSPTRG00000022464,ortholog_one2one
ENSMUSG00000086828,,
ENSMUSG00000032412,ENSPTRG00000015476,ortholog_one2one
ENSMUSG00000055679,ENSPTRG00000021080,ortholog_one2many
ENSMUSG00000082561,,
ENSMUSG00000014547,ENSPTRG00000005892,ortholog_one2one
ENSMUSG00000073964,ENSPTRG00000028735,ortholog_many2many
ENSMUSG00000054986,ENSPTRG00000014246,ortholog_one2one
ENSMUSG00000059277,,
ENSMUSG00000062142,ENSPTRG00000003224,ortholog_one2many
ENSMUSG00000053110,ENSPTRG00000004211,ortholog_one2one
ENSMUSG00000061654,,
ENSMUSG00000039128,ENSPTRG00000002295,ortholog_one2one
ENSMUSG00000011171,ENSPTRG00000019929,ortholog_one2one
ENSMUSG00000059923,ENSPTRG00000009642,ortholog_one2one
ENSMUSG00000073965,ENSPTRG00000003225,ortholog_one2one
ENSMUSG00000064105,ENSPTRG00000002904,ortholog_one2one
ENSMUSG00000033186,ENSPTRG00000031166,ortholog_one2one
ENSMUSG00000052281,,
ENSMUSG00000090805,,
ENSMUSG00000028518,ENSPTRG00000000788,ortholog_one2one
ENSMUSG00000070777,,
ENSMUSG00000060888,ENSPTRG00000028736,ortholog_one2many
ENSMUSG00000051412,ENSPTRG00000022467,ortholog_one2one
ENSMUSG00000078192,,
ENSMUSG00000048469,ENSPTRG00000022836,ortholog_one2one
ENSMUSG00000027787,ENSPTRG00000015586,ortholog_one2one
ENSMUSG00000025402,ENSPTRG00000005120,ortholog_one2one
ENSMUSG00000021732,ENSPTRG00000016853,ortholog_one2one
ENSMUSG00000084294,,
ENSMUSG00000086266,,
ENSMUSG00000036860,ENSPTRG00000002068,ortholog_one2one
ENSMUSG00000040254,ENSPTRG00000019357,ortholog_one2one
ENSMUSG00000094799,,
ENSMUSG00000073966,ENSPTRG00000023388,ortholog_one2one
ENSMUSG00000021339,ENSPTRG00000017774,ortholog_one2one
ENSMUSG00000070778,ENSPTRG00000029310,ortholog_one2many
ENSMUSG00000079794,ENSPTRG00000013010,ortholog_one2many
ENSMUSG00000079192,ENSPTRG00000013010,ortholog_one2many
ENSMUSG00000043366,ENSPTRG00000028737,ortholog_one2one
ENSMUSG00000097411,,
ENSMUSG00000040498,ENSPTRG00000034117,ortholog_one2one
ENSMUSG00000095092,,
ENSMUSG00000026857,ENSPTRG00000021459,ortholog_one2one
ENSMUSG00000036438,ENSPTRG00000011901,ortholog_one2one
ENSMUSG00000079800,,
ENSMUSG00000000031,,
ENSMUSG00000031756,ENSPTRG00000008383,ortholog_one2one
ENSMUSG00000029621,ENSPTRG00000033819,ortholog_one2one
ENSMUSG00000066272,,
ENSMUSG00000059366,,
ENSMUSG00000021843,ENSPTRG00000006378,ortholog_one2one
ENSMUSG00000094065,ENSPTRG00000020891,ortholog_one2many
ENSMUSG00000078586,,
ENSMUSG00000021731,ENSPTRG00000016854,ortholog_one2one
ENSMUSG00000085902,,
ENSMUSG00000095041,ENSPTRG00000014276,ortholog_one2one
ENSMUSG00000066273,,
ENSMUSG00000083314,,
ENSMUSG00000087080,,
ENSMUSG00000094759,,
ENSMUSG00000081318,,
ENSMUSG00000050853,ENSPTRG00000022807,ortholog_one2one
ENSMUSG00000085564,,
ENSMUSG00000086826,,
ENSMUSG00000070423,ENSPTRG00000003220,ortholog_one2one
ENSMUSG00000096543,,
ENSMUSG00000094070,,
ENSMUSG00000081311,,
ENSMUSG00000081929,,
ENSMUSG00000081642,,
ENSMUSG00000087090,,
ENSMUSG00000079797,,
ENSMUSG00000082545,,
ENSMUSG00000083889,,
ENSMUSG00000087064,,
ENSMUSG00000073967,ENSPTRG00000023280,ortholog_one2one
ENSMUSG00000024687,ENSPTRG00000003696,ortholog_one2one
ENSMUSG00000053559,ENSPTRG00000004953,ortholog_one2one
ENSMUSG00000019368,ENSPTRG00000014247,ortholog_one2one
ENSMUSG00000095322,,
ENSMUSG00000087072,,
ENSMUSG00000094019,,
ENSMUSG00000081096,,
ENSMUSG00000083812,,
ENSMUSG00000085192,,
ENSMUSG00000036557,ENSPTRG00000011900,ortholog_one2one
ENSMUSG00000082245,,
ENSMUSG00000040511,ENSPTRG00000011119,ortholog_one2one
ENSMUSG00000095013,,
ENSMUSG00000092536,,
ENSMUSG00000084130,,
ENSMUSG00000014633,ENSPTRG00000008382,ortholog_one2one
ENSMUSG00000073968,ENSPTRG00000003219,ortholog_one2one
ENSMUSG00000096438,,
ENSMUSG00000083394,,
ENSMUSG00000003559,ENSPTRG00000033989,ortholog_one2one
ENSMUSG00000073787,,
ENSMUSG00000084338,,
ENSMUSG00000084277,,
ENSMUSG00000000346,ENSPTRG00000004952,ortholog_one2one
ENSMUSG00000062649,ENSPTRG00000004420,ortholog_one2many
ENSMUSG00000042063,ENSPTRG00000041085,ortholog_one2many
ENSMUSG00000042063,ENSPTRG00000023143,ortholog_one2many
ENSMUSG00000042063,ENSPTRG00000029074,ortholog_one2many
ENSMUSG00000042063,ENSPTRG00000010755,ortholog_one2many
ENSMUSG00000042063,ENSPTRG00000010758,ortholog_one2many
ENSMUSG00000042063,ENSPTRG00000029073,ortholog_one2many
ENSMUSG00000042063,ENSPTRG00000010753,ortholog_one2many
ENSMUSG00000091749,,
ENSMUSG00000062760,ENSPTRG00000014485,ortholog_one2one
ENSMUSG00000084292,,
ENSMUSG00000091083,,
ENSMUSG00000073969,ENSPTRG00000041382,ortholog_one2many
ENSMUSG00000073969,ENSPTRG00000040654,ortholog_one2many
ENSMUSG00000095019,,
ENSMUSG00000041718,ENSPTRG00000022191,ortholog_one2many
ENSMUSG00000073970,,
ENSMUSG00000086844,,
ENSMUSG00000063176,,
ENSMUSG00000062376,ENSPTRG00000002902,ortholog_one2one
ENSMUSG00000095326,,
ENSMUSG00000054181,,
ENSMUSG00000083396,,
ENSMUSG00000028261,ENSPTRG00000018435,ortholog_one2one
ENSMUSG00000096850,,
ENSMUSG00000021439,ENSPTRG00000021080,ortholog_one2many
ENSMUSG00000073971,ENSPTRG00000023535,ortholog_one2one
ENSMUSG00000039145,ENSPTRG00000002296,ortholog_one2one
ENSMUSG00000085354,,
ENSMUSG00000080812,,
ENSMUSG00000081445,,
ENSMUSG00000096150,,
ENSMUSG00000029620,,
ENSMUSG00000073972,,
ENSMUSG00000094745,ENSPTRG00000004420,ortholog_one2many
ENSMUSG00000086396,,
ENSMUSG00000031758,ENSPTRG00000008380,ortholog_one2one
ENSMUSG00000047434,ENSPTRG00000015761,ortholog_one2one
ENSMUSG00000084302,,
ENSMUSG00000073973,ENSPTRG00000003214,ortholog_one2one
ENSMUSG00000074783,,
ENSMUSG00000086742,,
ENSMUSG00000094940,,
ENSMUSG00000084938,,
ENSMUSG00000031443,ENSPTRG00000006049,ortholog_one2one
ENSMUSG00000021072,ENSPTRG00000006339,ortholog_one2one
ENSMUSG00000096466,ENSPTRG00000030364,ortholog_one2many
ENSMUSG00000056777,,
ENSMUSG00000096768,,
ENSMUSG00000082578,,
ENSMUSG00000073974,,
ENSMUSG00000082004,,
ENSMUSG00000049848,ENSPTRG00000011120,ortholog_one2one
ENSMUSG00000083626,,
ENSMUSG00000061707,,
ENSMUSG00000081934,,
ENSMUSG00000046546,ENSPTRG00000030013,ortholog_one2one
ENSMUSG00000073975,,
ENSMUSG00000030243,ENSPTRG00000004758,ortholog_one2one
ENSMUSG00000098199,,
ENSMUSG00000082142,,
ENSMUSG00000081570,,
ENSMUSG00000086379,,
ENSMUSG00000083061,,
ENSMUSG00000049721,ENSPTRG00000014250,ortholog_one2one
ENSMUSG00000098031,,
ENSMUSG00000095134,ENSPTRG00000021656,ortholog_one2many
ENSMUSG00000086250,,
ENSMUSG00000081791,,
ENSMUSG00000095392,,
ENSMUSG00000095366,,
ENSMUSG00000014686,ENSPTRG00000034050,ortholog_one2one
ENSMUSG00000050066,,
ENSMUSG00000027345,,
ENSMUSG00000096178,,
ENSMUSG00000026676,ENSPTRG00000002297,ortholog_one2one
ENSMUSG00000095127,,
ENSMUSG00000087377,,
ENSMUSG00000081431,,
ENSMUSG00000095099,ENSPTRG00000028267,ortholog_one2many
ENSMUSG00000029062,,
ENSMUSG00000033740,ENSPTRG00000020245,ortholog_one2one
ENSMUSG00000030966,ENSPTRG00000003212,ortholog_one2one
ENSMUSG00000085663,,
ENSMUSG00000069890,,
ENSMUSG00000046139,ENSPTRG00000003697,ortholog_one2one
ENSMUSG00000086756,,
ENSMUSG00000094375,ENSPTRG00000028267,ortholog_one2many
ENSMUSG00000092216,,
ENSMUSG00000094689,,
ENSMUSG00000087348,,
