Ensembl Gene ID,Cow Ensembl Gene ID,Homology Type
ENSMUSG00000043331,ENSBTAG00000047463,ortholog_one2many
ENSMUSG00000043331,ENSBTAG00000047557,ortholog_one2many
ENSMUSG00000043331,ENSBTAG00000047304,ortholog_one2many
ENSMUSG00000047714,ENSBTAG00000006724,ortholog_one2one
ENSMUSG00000093986,ENSBTAG00000038890,ortholog_many2many
ENSMUSG00000093986,ENSBTAG00000038416,ortholog_many2many
ENSMUSG00000093986,ENSBTAG00000040294,ortholog_many2many
ENSMUSG00000093986,ENSBTAG00000023349,ortholog_many2many
ENSMUSG00000093986,ENSBTAG00000030360,ortholog_many2many
ENSMUSG00000093986,ENSBTAG00000036215,ortholog_many2many
ENSMUSG00000073947,,
ENSMUSG00000056296,ENSBTAG00000000265,ortholog_one2one
ENSMUSG00000094211,,
ENSMUSG00000074754,,
ENSMUSG00000094010,ENSBTAG00000038890,ortholog_many2many
ENSMUSG00000094010,ENSBTAG00000038416,ortholog_many2many
ENSMUSG00000094010,ENSBTAG00000040294,ortholog_many2many
ENSMUSG00000094010,ENSBTAG00000023349,ortholog_many2many
ENSMUSG00000094010,ENSBTAG00000030360,ortholog_many2many
ENSMUSG00000094010,ENSBTAG00000036215,ortholog_many2many
ENSMUSG00000094361,ENSBTAG00000016186,ortholog_one2many
ENSMUSG00000061024,ENSBTAG00000016716,ortholog_one2one
ENSMUSG00000078624,ENSBTAG00000004765,ortholog_one2one
ENSMUSG00000051493,ENSBTAG00000017495,ortholog_one2one
ENSMUSG00000071104,ENSBTAG00000017157,ortholog_one2one
ENSMUSG00000094589,ENSBTAG00000038890,ortholog_many2many
ENSMUSG00000094589,ENSBTAG00000038416,ortholog_many2many
ENSMUSG00000094589,ENSBTAG00000040294,ortholog_many2many
ENSMUSG00000094589,ENSBTAG00000023349,ortholog_many2many
ENSMUSG00000094589,ENSBTAG00000030360,ortholog_many2many
ENSMUSG00000094589,ENSBTAG00000036215,ortholog_many2many
ENSMUSG00000094119,,
ENSMUSG00000095833,ENSBTAG00000016186,ortholog_one2many
ENSMUSG00000067855,,
ENSMUSG00000001119,ENSBTAG00000011802,ortholog_one2one
ENSMUSG00000095390,ENSBTAG00000045624,ortholog_many2many
ENSMUSG00000095390,ENSBTAG00000046086,ortholog_many2many
ENSMUSG00000095390,ENSBTAG00000039964,ortholog_many2many
ENSMUSG00000095390,ENSBTAG00000047916,ortholog_many2many
ENSMUSG00000095390,ENSBTAG00000047151,ortholog_many2many
ENSMUSG00000095390,ENSBTAG00000047530,ortholog_many2many
ENSMUSG00000095390,ENSBTAG00000047840,ortholog_many2many
ENSMUSG00000095390,ENSBTAG00000047204,ortholog_many2many
ENSMUSG00000096737,ENSBTAG00000038890,ortholog_many2many
ENSMUSG00000096737,ENSBTAG00000038416,ortholog_many2many
ENSMUSG00000096737,ENSBTAG00000040294,ortholog_many2many
ENSMUSG00000096737,ENSBTAG00000023349,ortholog_many2many
ENSMUSG00000096737,ENSBTAG00000030360,ortholog_many2many
ENSMUSG00000096737,ENSBTAG00000036215,ortholog_many2many
ENSMUSG00000009900,ENSBTAG00000039397,ortholog_one2one
ENSMUSG00000056718,,
ENSMUSG00000049606,ENSBTAG00000011200,ortholog_one2one
ENSMUSG00000096584,ENSBTAG00000046627,ortholog_many2many
ENSMUSG00000041710,ENSBTAG00000010065,ortholog_one2one
ENSMUSG00000020747,ENSBTAG00000007217,ortholog_one2one
ENSMUSG00000051729,,
ENSMUSG00000095973,ENSBTAG00000038890,ortholog_many2many
ENSMUSG00000095973,ENSBTAG00000038416,ortholog_many2many
ENSMUSG00000095973,ENSBTAG00000040294,ortholog_many2many
ENSMUSG00000095973,ENSBTAG00000023349,ortholog_many2many
ENSMUSG00000095973,ENSBTAG00000030360,ortholog_many2many
ENSMUSG00000095973,ENSBTAG00000036215,ortholog_many2many
ENSMUSG00000025579,ENSBTAG00000016021,ortholog_one2one
ENSMUSG00000094449,ENSBTAG00000005112,ortholog_one2many
ENSMUSG00000045584,ENSBTAG00000038636,ortholog_one2one
ENSMUSG00000032413,ENSBTAG00000015413,ortholog_one2one
ENSMUSG00000021939,ENSBTAG00000012442,ortholog_one2one
ENSMUSG00000041134,ENSBTAG00000005742,ortholog_one2one
ENSMUSG00000046396,ENSBTAG00000037886,ortholog_one2one
ENSMUSG00000091435,ENSBTAG00000038890,ortholog_many2many
ENSMUSG00000091435,ENSBTAG00000038416,ortholog_many2many
ENSMUSG00000091435,ENSBTAG00000040294,ortholog_many2many
ENSMUSG00000091435,ENSBTAG00000023349,ortholog_many2many
ENSMUSG00000091435,ENSBTAG00000030360,ortholog_many2many
ENSMUSG00000091435,ENSBTAG00000036215,ortholog_many2many
ENSMUSG00000028738,ENSBTAG00000015246,ortholog_one2one
ENSMUSG00000043461,ENSBTAG00000047250,ortholog_one2one
ENSMUSG00000039982,ENSBTAG00000004046,ortholog_one2one
ENSMUSG00000093934,ENSBTAG00000045624,ortholog_many2many
ENSMUSG00000093934,ENSBTAG00000046086,ortholog_many2many
ENSMUSG00000093934,ENSBTAG00000039964,ortholog_many2many
ENSMUSG00000093934,ENSBTAG00000047916,ortholog_many2many
ENSMUSG00000093934,ENSBTAG00000047151,ortholog_many2many
ENSMUSG00000093934,ENSBTAG00000047530,ortholog_many2many
ENSMUSG00000093934,ENSBTAG00000047840,ortholog_many2many
ENSMUSG00000093934,ENSBTAG00000047204,ortholog_many2many
ENSMUSG00000031636,ENSBTAG00000017183,ortholog_one2one
ENSMUSG00000031864,ENSBTAG00000025003,ortholog_one2one
ENSMUSG00000073948,ENSBTAG00000037875,ortholog_one2many
ENSMUSG00000094085,ENSBTAG00000038890,ortholog_many2many
ENSMUSG00000094085,ENSBTAG00000038416,ortholog_many2many
ENSMUSG00000094085,ENSBTAG00000040294,ortholog_many2many
ENSMUSG00000094085,ENSBTAG00000023349,ortholog_many2many
ENSMUSG00000094085,ENSBTAG00000030360,ortholog_many2many
ENSMUSG00000094085,ENSBTAG00000036215,ortholog_many2many
ENSMUSG00000027364,ENSBTAG00000011929,ortholog_one2one
ENSMUSG00000034832,ENSBTAG00000022381,ortholog_one2one
ENSMUSG00000042402,ENSBTAG00000047021,ortholog_one2many
ENSMUSG00000042402,ENSBTAG00000047960,ortholog_one2many
ENSMUSG00000042402,ENSBTAG00000047479,ortholog_one2many
ENSMUSG00000095774,ENSBTAG00000005112,ortholog_one2many
ENSMUSG00000091638,ENSBTAG00000038890,ortholog_many2many
ENSMUSG00000091638,ENSBTAG00000038416,ortholog_many2many
ENSMUSG00000091638,ENSBTAG00000040294,ortholog_many2many
ENSMUSG00000091638,ENSBTAG00000023349,ortholog_many2many
ENSMUSG00000091638,ENSBTAG00000030360,ortholog_many2many
ENSMUSG00000091638,ENSBTAG00000036215,ortholog_many2many
ENSMUSG00000094601,ENSBTAG00000013260,ortholog_one2many
ENSMUSG00000046805,ENSBTAG00000045939,ortholog_one2many
ENSMUSG00000073949,ENSBTAG00000035027,ortholog_many2many
ENSMUSG00000073949,ENSBTAG00000017934,ortholog_many2many
ENSMUSG00000073949,ENSBTAG00000045488,ortholog_many2many
ENSMUSG00000094309,ENSBTAG00000016186,ortholog_one2many
ENSMUSG00000024151,ENSBTAG00000002742,ortholog_one2one
ENSMUSG00000025909,ENSBTAG00000002448,ortholog_one2one
ENSMUSG00000048285,ENSBTAG00000031707,ortholog_one2one
ENSMUSG00000058079,ENSBTAG00000035006,ortholog_many2many
ENSMUSG00000058079,ENSBTAG00000020033,ortholog_many2many
ENSMUSG00000006931,ENSBTAG00000025752,ortholog_one2one
ENSMUSG00000094254,ENSBTAG00000005112,ortholog_one2many
ENSMUSG00000040065,ENSBTAG00000045939,ortholog_one2many
ENSMUSG00000094284,ENSBTAG00000038890,ortholog_many2many
ENSMUSG00000094284,ENSBTAG00000038416,ortholog_many2many
ENSMUSG00000094284,ENSBTAG00000040294,ortholog_many2many
ENSMUSG00000094284,ENSBTAG00000023349,ortholog_many2many
ENSMUSG00000094284,ENSBTAG00000030360,ortholog_many2many
ENSMUSG00000094284,ENSBTAG00000036215,ortholog_many2many
ENSMUSG00000051427,ENSBTAG00000003393,ortholog_one2one
ENSMUSG00000058976,,
ENSMUSG00000024027,ENSBTAG00000018224,ortholog_one2one
ENSMUSG00000072066,,
ENSMUSG00000095190,,
ENSMUSG00000058762,ENSBTAG00000023563,ortholog_one2many
ENSMUSG00000095903,ENSBTAG00000005112,ortholog_one2many
ENSMUSG00000050815,,
ENSMUSG00000028329,ENSBTAG00000009734,ortholog_one2one
ENSMUSG00000083780,ENSBTAG00000031918,ortholog_one2one
ENSMUSG00000074865,ENSBTAG00000022339,ortholog_one2many
ENSMUSG00000028737,ENSBTAG00000030335,ortholog_one2one
ENSMUSG00000095768,ENSBTAG00000038890,ortholog_many2many
ENSMUSG00000095768,ENSBTAG00000038416,ortholog_many2many
ENSMUSG00000095768,ENSBTAG00000040294,ortholog_many2many
ENSMUSG00000095768,ENSBTAG00000023349,ortholog_many2many
ENSMUSG00000095768,ENSBTAG00000030360,ortholog_many2many
ENSMUSG00000095768,ENSBTAG00000036215,ortholog_many2many
ENSMUSG00000046650,ENSBTAG00000005255,ortholog_one2one
ENSMUSG00000040963,ENSBTAG00000025101,ortholog_one2one
ENSMUSG00000021342,ENSBTAG00000038718,ortholog_many2many
ENSMUSG00000021342,ENSBTAG00000006761,ortholog_many2many
ENSMUSG00000021342,ENSBTAG00000015827,ortholog_many2many
ENSMUSG00000021342,ENSBTAG00000031640,ortholog_many2many
ENSMUSG00000021342,ENSBTAG00000025304,ortholog_many2many
ENSMUSG00000021342,ENSBTAG00000036106,ortholog_many2many
ENSMUSG00000021342,ENSBTAG00000033513,ortholog_many2many
ENSMUSG00000021342,ENSBTAG00000033993,ortholog_many2many
ENSMUSG00000021342,ENSBTAG00000025302,ortholog_many2many
ENSMUSG00000021342,ENSBTAG00000040136,ortholog_many2many
ENSMUSG00000021342,ENSBTAG00000025314,ortholog_many2many
ENSMUSG00000021342,ENSBTAG00000047671,ortholog_many2many
ENSMUSG00000021342,ENSBTAG00000015274,ortholog_many2many
ENSMUSG00000021342,ENSBTAG00000025317,ortholog_many2many
ENSMUSG00000055820,ENSBTAG00000005112,ortholog_one2many
ENSMUSG00000095275,ENSBTAG00000038890,ortholog_many2many
ENSMUSG00000095275,ENSBTAG00000038416,ortholog_many2many
ENSMUSG00000095275,ENSBTAG00000040294,ortholog_many2many
ENSMUSG00000095275,ENSBTAG00000023349,ortholog_many2many
ENSMUSG00000095275,ENSBTAG00000030360,ortholog_many2many
ENSMUSG00000095275,ENSBTAG00000036215,ortholog_many2many
ENSMUSG00000096436,ENSBTAG00000037538,ortholog_many2many
ENSMUSG00000096436,ENSBTAG00000039760,ortholog_many2many
ENSMUSG00000096436,ENSBTAG00000040023,ortholog_many2many
ENSMUSG00000096436,ENSBTAG00000046811,ortholog_many2many
ENSMUSG00000059874,ENSBTAG00000045612,ortholog_one2many
ENSMUSG00000037816,ENSBTAG00000025756,ortholog_one2one
ENSMUSG00000055228,,
ENSMUSG00000045160,ENSBTAG00000015193,ortholog_one2one
ENSMUSG00000061200,ENSBTAG00000035006,ortholog_many2many
ENSMUSG00000061200,ENSBTAG00000020033,ortholog_many2many
ENSMUSG00000067513,ENSBTAG00000037538,ortholog_many2many
ENSMUSG00000067513,ENSBTAG00000039760,ortholog_many2many
ENSMUSG00000067513,ENSBTAG00000040023,ortholog_many2many
ENSMUSG00000067513,ENSBTAG00000046811,ortholog_many2many
ENSMUSG00000094353,ENSBTAG00000005112,ortholog_one2many
ENSMUSG00000094942,ENSBTAG00000022339,ortholog_one2many
ENSMUSG00000079657,ENSBTAG00000000279,ortholog_one2one
ENSMUSG00000025453,ENSBTAG00000011885,ortholog_one2one
ENSMUSG00000045540,ENSBTAG00000047489,ortholog_one2one
ENSMUSG00000095640,ENSBTAG00000037538,ortholog_many2many
ENSMUSG00000095640,ENSBTAG00000039760,ortholog_many2many
ENSMUSG00000095640,ENSBTAG00000040023,ortholog_many2many
ENSMUSG00000095640,ENSBTAG00000046811,ortholog_many2many
ENSMUSG00000095837,ENSBTAG00000038890,ortholog_many2many
ENSMUSG00000095837,ENSBTAG00000038416,ortholog_many2many
ENSMUSG00000095837,ENSBTAG00000040294,ortholog_many2many
ENSMUSG00000095837,ENSBTAG00000023349,ortholog_many2many
ENSMUSG00000095837,ENSBTAG00000030360,ortholog_many2many
ENSMUSG00000095837,ENSBTAG00000036215,ortholog_many2many
ENSMUSG00000054763,,
ENSMUSG00000045835,ENSBTAG00000015130,ortholog_one2one
ENSMUSG00000074656,ENSBTAG00000005969,ortholog_one2one
ENSMUSG00000073950,ENSBTAG00000022368,ortholog_one2one
ENSMUSG00000034416,ENSBTAG00000012693,ortholog_one2one
ENSMUSG00000074867,ENSBTAG00000004925,ortholog_many2many
ENSMUSG00000036106,ENSBTAG00000039784,ortholog_one2one
ENSMUSG00000096761,ENSBTAG00000038890,ortholog_many2many
ENSMUSG00000096761,ENSBTAG00000038416,ortholog_many2many
ENSMUSG00000096761,ENSBTAG00000040294,ortholog_many2many
ENSMUSG00000096761,ENSBTAG00000023349,ortholog_many2many
ENSMUSG00000096761,ENSBTAG00000030360,ortholog_many2many
ENSMUSG00000096761,ENSBTAG00000036215,ortholog_many2many
ENSMUSG00000095839,ENSBTAG00000005112,ortholog_one2many
ENSMUSG00000036661,ENSBTAG00000006132,ortholog_one2one
ENSMUSG00000073951,ENSBTAG00000038448,ortholog_one2many
ENSMUSG00000048076,ENSBTAG00000007725,ortholog_one2one
ENSMUSG00000025817,ENSBTAG00000019509,ortholog_one2one
ENSMUSG00000096903,ENSBTAG00000038890,ortholog_many2many
ENSMUSG00000096903,ENSBTAG00000038416,ortholog_many2many
ENSMUSG00000096903,ENSBTAG00000040294,ortholog_many2many
ENSMUSG00000096903,ENSBTAG00000023349,ortholog_many2many
ENSMUSG00000096903,ENSBTAG00000030360,ortholog_many2many
ENSMUSG00000096903,ENSBTAG00000036215,ortholog_many2many
ENSMUSG00000099269,,
ENSMUSG00000019861,ENSBTAG00000016046,ortholog_one2one
ENSMUSG00000073952,ENSBTAG00000038448,ortholog_one2many
ENSMUSG00000074870,ENSBTAG00000000720,ortholog_one2many
ENSMUSG00000075571,,
ENSMUSG00000062121,ENSBTAG00000048043,ortholog_one2many
ENSMUSG00000098049,ENSBTAG00000046294,ortholog_many2many
ENSMUSG00000098049,ENSBTAG00000014857,ortholog_many2many
ENSMUSG00000098049,ENSBTAG00000038576,ortholog_many2many
ENSMUSG00000045394,ENSBTAG00000006474,ortholog_one2one
ENSMUSG00000096663,ENSBTAG00000038890,ortholog_many2many
ENSMUSG00000096663,ENSBTAG00000038416,ortholog_many2many
ENSMUSG00000096663,ENSBTAG00000040294,ortholog_many2many
ENSMUSG00000096663,ENSBTAG00000023349,ortholog_many2many
ENSMUSG00000096663,ENSBTAG00000030360,ortholog_many2many
ENSMUSG00000096663,ENSBTAG00000036215,ortholog_many2many
ENSMUSG00000096194,ENSBTAG00000016186,ortholog_one2many
ENSMUSG00000043131,ENSBTAG00000006259,ortholog_one2one
ENSMUSG00000060049,ENSBTAG00000037538,ortholog_many2many
ENSMUSG00000060049,ENSBTAG00000039760,ortholog_many2many
ENSMUSG00000060049,ENSBTAG00000040023,ortholog_many2many
ENSMUSG00000060049,ENSBTAG00000046811,ortholog_many2many
ENSMUSG00000073953,ENSBTAG00000045612,ortholog_one2many
ENSMUSG00000055745,ENSBTAG00000012425,ortholog_one2one
ENSMUSG00000078747,,
ENSMUSG00000094762,ENSBTAG00000038890,ortholog_many2many
ENSMUSG00000094762,ENSBTAG00000038416,ortholog_many2many
ENSMUSG00000094762,ENSBTAG00000040294,ortholog_many2many
ENSMUSG00000094762,ENSBTAG00000023349,ortholog_many2many
ENSMUSG00000094762,ENSBTAG00000030360,ortholog_many2many
ENSMUSG00000094762,ENSBTAG00000036215,ortholog_many2many
ENSMUSG00000093857,ENSBTAG00000016186,ortholog_one2many
ENSMUSG00000098598,ENSBTAG00000016362,ortholog_one2many
ENSMUSG00000064110,ENSBTAG00000048192,ortholog_one2many
ENSMUSG00000003581,ENSBTAG00000003394,ortholog_one2one
ENSMUSG00000067519,ENSBTAG00000037538,ortholog_many2many
ENSMUSG00000067519,ENSBTAG00000039760,ortholog_many2many
ENSMUSG00000067519,ENSBTAG00000040023,ortholog_many2many
ENSMUSG00000067519,ENSBTAG00000046811,ortholog_many2many
ENSMUSG00000074871,ENSBTAG00000000720,ortholog_one2many
ENSMUSG00000094545,ENSBTAG00000038890,ortholog_many2many
ENSMUSG00000094545,ENSBTAG00000038416,ortholog_many2many
ENSMUSG00000094545,ENSBTAG00000040294,ortholog_many2many
ENSMUSG00000094545,ENSBTAG00000023349,ortholog_many2many
ENSMUSG00000094545,ENSBTAG00000030360,ortholog_many2many
ENSMUSG00000094545,ENSBTAG00000036215,ortholog_many2many
ENSMUSG00000057321,,
ENSMUSG00000075572,,
ENSMUSG00000099100,ENSBTAG00000005697,ortholog_one2many
ENSMUSG00000094133,ENSBTAG00000037538,ortholog_many2many
ENSMUSG00000094133,ENSBTAG00000039760,ortholog_many2many
ENSMUSG00000094133,ENSBTAG00000040023,ortholog_many2many
ENSMUSG00000094133,ENSBTAG00000046811,ortholog_many2many
ENSMUSG00000095770,ENSBTAG00000013260,ortholog_one2many
ENSMUSG00000091096,,
ENSMUSG00000059106,ENSBTAG00000048192,ortholog_one2many
ENSMUSG00000096386,ENSBTAG00000038890,ortholog_many2many
ENSMUSG00000096386,ENSBTAG00000038416,ortholog_many2many
ENSMUSG00000096386,ENSBTAG00000040294,ortholog_many2many
ENSMUSG00000096386,ENSBTAG00000023349,ortholog_many2many
ENSMUSG00000096386,ENSBTAG00000030360,ortholog_many2many
ENSMUSG00000096386,ENSBTAG00000036215,ortholog_many2many
ENSMUSG00000075573,,
ENSMUSG00000067522,ENSBTAG00000027490,ortholog_one2one
ENSMUSG00000073954,ENSBTAG00000038161,ortholog_one2one
ENSMUSG00000058435,ENSBTAG00000023563,ortholog_one2many
ENSMUSG00000095806,ENSBTAG00000038890,ortholog_many2many
ENSMUSG00000095806,ENSBTAG00000038416,ortholog_many2many
ENSMUSG00000095806,ENSBTAG00000040294,ortholog_many2many
ENSMUSG00000095806,ENSBTAG00000023349,ortholog_many2many
ENSMUSG00000095806,ENSBTAG00000030360,ortholog_many2many
ENSMUSG00000095806,ENSBTAG00000036215,ortholog_many2many
ENSMUSG00000067524,ENSBTAG00000027489,ortholog_one2one
ENSMUSG00000042050,ENSBTAG00000024157,ortholog_one2one
ENSMUSG00000075574,,
ENSMUSG00000095300,,
ENSMUSG00000073955,ENSBTAG00000046913,ortholog_one2many
ENSMUSG00000048978,ENSBTAG00000009180,ortholog_one2one
ENSMUSG00000098034,ENSBTAG00000001102,ortholog_one2many
ENSMUSG00000094439,,
ENSMUSG00000067525,ENSBTAG00000018259,ortholog_one2many
ENSMUSG00000059867,ENSBTAG00000048192,ortholog_one2many
ENSMUSG00000095745,ENSBTAG00000038890,ortholog_many2many
ENSMUSG00000095745,ENSBTAG00000038416,ortholog_many2many
ENSMUSG00000095745,ENSBTAG00000040294,ortholog_many2many
ENSMUSG00000095745,ENSBTAG00000023349,ortholog_many2many
ENSMUSG00000095745,ENSBTAG00000030360,ortholog_many2many
ENSMUSG00000095745,ENSBTAG00000036215,ortholog_many2many
ENSMUSG00000091539,ENSBTAG00000038903,ortholog_one2many
ENSMUSG00000073956,ENSBTAG00000039503,ortholog_one2many
ENSMUSG00000073956,ENSBTAG00000038075,ortholog_one2many
ENSMUSG00000029622,ENSBTAG00000046248,ortholog_one2one
ENSMUSG00000064370,ENSBTAG00000043550,ortholog_one2one
ENSMUSG00000094757,ENSBTAG00000038890,ortholog_many2many
ENSMUSG00000094757,ENSBTAG00000038416,ortholog_many2many
ENSMUSG00000094757,ENSBTAG00000040294,ortholog_many2many
ENSMUSG00000094757,ENSBTAG00000023349,ortholog_many2many
ENSMUSG00000094757,ENSBTAG00000030360,ortholog_many2many
ENSMUSG00000094757,ENSBTAG00000036215,ortholog_many2many
ENSMUSG00000090497,,
ENSMUSG00000048299,ENSBTAG00000022384,ortholog_one2one
ENSMUSG00000025041,ENSBTAG00000012858,ortholog_one2one
ENSMUSG00000034384,ENSBTAG00000005938,ortholog_one2one
ENSMUSG00000094886,ENSBTAG00000017330,ortholog_many2many
ENSMUSG00000094886,ENSBTAG00000032961,ortholog_many2many
ENSMUSG00000020441,ENSBTAG00000020720,ortholog_one2one
ENSMUSG00000064368,ENSBTAG00000043546,ortholog_one2one
ENSMUSG00000094298,ENSBTAG00000038890,ortholog_many2many
ENSMUSG00000094298,ENSBTAG00000038416,ortholog_many2many
ENSMUSG00000094298,ENSBTAG00000040294,ortholog_many2many
ENSMUSG00000094298,ENSBTAG00000023349,ortholog_many2many
ENSMUSG00000094298,ENSBTAG00000030360,ortholog_many2many
ENSMUSG00000094298,ENSBTAG00000036215,ortholog_many2many
ENSMUSG00000057461,ENSBTAG00000045850,ortholog_many2many
ENSMUSG00000064367,ENSBTAG00000043563,ortholog_one2one
ENSMUSG00000096730,,
ENSMUSG00000051362,ENSBTAG00000048307,ortholog_one2one
ENSMUSG00000039483,ENSBTAG00000008973,ortholog_one2one
ENSMUSG00000093976,,
ENSMUSG00000033166,ENSBTAG00000019889,ortholog_one2one
ENSMUSG00000044994,ENSBTAG00000002071,ortholog_many2many
ENSMUSG00000044994,ENSBTAG00000002679,ortholog_many2many
ENSMUSG00000044994,ENSBTAG00000033519,ortholog_many2many
ENSMUSG00000094735,ENSBTAG00000038890,ortholog_many2many
ENSMUSG00000094735,ENSBTAG00000038416,ortholog_many2many
ENSMUSG00000094735,ENSBTAG00000040294,ortholog_many2many
ENSMUSG00000094735,ENSBTAG00000023349,ortholog_many2many
ENSMUSG00000094735,ENSBTAG00000030360,ortholog_many2many
ENSMUSG00000094735,ENSBTAG00000036215,ortholog_many2many
ENSMUSG00000031444,ENSBTAG00000016385,ortholog_one2one
ENSMUSG00000003585,ENSBTAG00000017404,ortholog_one2one
ENSMUSG00000064363,ENSBTAG00000043577,ortholog_one2one
ENSMUSG00000066268,ENSBTAG00000039134,ortholog_one2many
ENSMUSG00000066268,ENSBTAG00000038170,ortholog_one2many
ENSMUSG00000067526,ENSBTAG00000002071,ortholog_many2many
ENSMUSG00000067526,ENSBTAG00000002679,ortholog_many2many
ENSMUSG00000067526,ENSBTAG00000033519,ortholog_many2many
ENSMUSG00000094011,ENSBTAG00000038890,ortholog_many2many
ENSMUSG00000094011,ENSBTAG00000038416,ortholog_many2many
ENSMUSG00000094011,ENSBTAG00000040294,ortholog_many2many
ENSMUSG00000094011,ENSBTAG00000023349,ortholog_many2many
ENSMUSG00000094011,ENSBTAG00000030360,ortholog_many2many
ENSMUSG00000094011,ENSBTAG00000036215,ortholog_many2many
ENSMUSG00000065947,ENSBTAG00000043559,ortholog_one2many
ENSMUSG00000041025,ENSBTAG00000030340,ortholog_one2one
ENSMUSG00000078080,ENSBTAG00000047384,ortholog_many2many
ENSMUSG00000078080,ENSBTAG00000045959,ortholog_many2many
ENSMUSG00000028517,ENSBTAG00000011640,ortholog_one2one
ENSMUSG00000067528,ENSBTAG00000002071,ortholog_many2many
ENSMUSG00000067528,ENSBTAG00000002679,ortholog_many2many
ENSMUSG00000067528,ENSBTAG00000033519,ortholog_many2many
ENSMUSG00000028883,ENSBTAG00000018133,ortholog_one2one
ENSMUSG00000064360,ENSBTAG00000043568,ortholog_one2one
ENSMUSG00000096164,ENSBTAG00000038890,ortholog_many2many
ENSMUSG00000096164,ENSBTAG00000038416,ortholog_many2many
ENSMUSG00000096164,ENSBTAG00000040294,ortholog_many2many
ENSMUSG00000096164,ENSBTAG00000023349,ortholog_many2many
ENSMUSG00000096164,ENSBTAG00000030360,ortholog_many2many
