Ensembl Gene ID,Frog Ensembl Gene ID,Homology Type
ENSMUSG00000067525,,
ENSMUSG00000059867,,
ENSMUSG00000095745,,
ENSMUSG00000091539,,
ENSMUSG00000073956,ENSXETG00000000483,ortholog_one2many
ENSMUSG00000029622,ENSXETG00000006058,ortholog_one2one
ENSMUSG00000064370,ENSXETG00000034390,ortholog_one2one
ENSMUSG00000094757,,
ENSMUSG00000090497,,
ENSMUSG00000048299,,
ENSMUSG00000025041,ENSXETG00000009475,ortholog_one2one
ENSMUSG00000034384,ENSXETG00000023986,ortholog_one2one
ENSMUSG00000094886,ENSXETG00000021523,ortholog_one2many
ENSMUSG00000020441,ENSXETG00000025909,ortholog_one2one
ENSMUSG00000064368,ENSXETG00000034388,ortholog_one2one
ENSMUSG00000094298,,
ENSMUSG00000057461,ENSXETG00000026659,ortholog_one2many
ENSMUSG00000064367,ENSXETG00000034387,ortholog_one2one
ENSMUSG00000096730,,
ENSMUSG00000051362,,
ENSMUSG00000039483,ENSXETG00000014166,ortholog_one2one
ENSMUSG00000093976,,
ENSMUSG00000033166,ENSXETG00000012344,ortholog_one2one
ENSMUSG00000044994,,
ENSMUSG00000094735,,
ENSMUSG00000031444,ENSXETG00000025492,ortholog_one2one
ENSMUSG00000003585,ENSXETG00000016146,ortholog_one2many
ENSMUSG00000064363,ENSXETG00000034383,ortholog_one2one
ENSMUSG00000066268,,
ENSMUSG00000067526,,
ENSMUSG00000094011,,
ENSMUSG00000065947,ENSXETG00000034382,ortholog_one2many
ENSMUSG00000041025,ENSXETG00000018532,ortholog_one2many
ENSMUSG00000078080,,
ENSMUSG00000028517,ENSXETG00000011144,ortholog_one2one
ENSMUSG00000067528,,
ENSMUSG00000028883,ENSXETG00000014232,ortholog_one2one
ENSMUSG00000064360,ENSXETG00000034380,ortholog_one2one
ENSMUSG00000096164,,
ENSMUSG00000073959,ENSXETG00000032943,ortholog_many2many
ENSMUSG00000073959,ENSXETG00000032483,ortholog_many2many
ENSMUSG00000073959,ENSXETG00000031456,ortholog_many2many
ENSMUSG00000073959,ENSXETG00000024799,ortholog_many2many
ENSMUSG00000067529,,
ENSMUSG00000019891,ENSXETG00000008572,ortholog_one2one
ENSMUSG00000064358,ENSXETG00000034378,ortholog_one2one
ENSMUSG00000064357,ENSXETG00000034377,ortholog_one2one
ENSMUSG00000096152,,
ENSMUSG00000073960,,
ENSMUSG00000028259,ENSXETG00000001065,ortholog_one2one
ENSMUSG00000064356,,
ENSMUSG00000021440,ENSXETG00000027581,ortholog_one2many
ENSMUSG00000064354,ENSXETG00000034374,ortholog_one2one
ENSMUSG00000073961,ENSXETG00000032943,ortholog_many2many
ENSMUSG00000073961,ENSXETG00000032483,ortholog_many2many
ENSMUSG00000073961,ENSXETG00000031456,ortholog_many2many
ENSMUSG00000073961,ENSXETG00000024799,ortholog_many2many
ENSMUSG00000095076,,
ENSMUSG00000095201,,
ENSMUSG00000095637,,
ENSMUSG00000045792,,
ENSMUSG00000034687,ENSXETG00000000377,ortholog_one2one
ENSMUSG00000064351,ENSXETG00000034371,ortholog_one2one
ENSMUSG00000095728,,
ENSMUSG00000044042,ENSXETG00000018104,ortholog_one2one
ENSMUSG00000004748,ENSXETG00000016147,ortholog_one2one
ENSMUSG00000034424,ENSXETG00000000187,ortholog_one2one
ENSMUSG00000038112,ENSXETG00000002363,ortholog_many2many
ENSMUSG00000038112,ENSXETG00000032707,ortholog_many2many
ENSMUSG00000038112,ENSXETG00000014175,ortholog_many2many
ENSMUSG00000038112,ENSXETG00000032452,ortholog_many2many
ENSMUSG00000051285,ENSXETG00000033680,ortholog_one2one
ENSMUSG00000096645,ENSXETG00000010870,ortholog_one2many
ENSMUSG00000043354,,
ENSMUSG00000027596,,
ENSMUSG00000028249,ENSXETG00000005663,ortholog_one2one
ENSMUSG00000094722,,
ENSMUSG00000094351,ENSXETG00000024449,ortholog_one2many
ENSMUSG00000057446,ENSXETG00000027581,ortholog_one2many
ENSMUSG00000051234,ENSXETG00000014753,ortholog_one2many
ENSMUSG00000073962,,
ENSMUSG00000064345,ENSXETG00000034365,ortholog_one2one
ENSMUSG00000094352,,
ENSMUSG00000033285,ENSXETG00000009920,ortholog_one2one
ENSMUSG00000031847,,
ENSMUSG00000040372,ENSXETG00000001066,ortholog_one2one
ENSMUSG00000096244,,
ENSMUSG00000054752,ENSXETG00000000909,ortholog_one2one
ENSMUSG00000066269,,
ENSMUSG00000095229,,
ENSMUSG00000096776,,
ENSMUSG00000064341,ENSXETG00000034361,ortholog_one2one
ENSMUSG00000060508,,
ENSMUSG00000056418,,
ENSMUSG00000045824,,
ENSMUSG00000021441,ENSXETG00000027581,ortholog_one2many
ENSMUSG00000095754,ENSXETG00000010870,ortholog_one2many
ENSMUSG00000052785,ENSXETG00000014845,ortholog_one2many
ENSMUSG00000047388,ENSXETG00000000183,ortholog_one2one
ENSMUSG00000049076,ENSXETG00000003455,ortholog_one2one
ENSMUSG00000001552,ENSXETG00000006970,ortholog_one2one
ENSMUSG00000094391,,
ENSMUSG00000073963,ENSXETG00000014845,ortholog_one2many
ENSMUSG00000062038,ENSXETG00000027531,ortholog_one2many
ENSMUSG00000098112,,
ENSMUSG00000035910,ENSXETG00000021988,ortholog_one2one
ENSMUSG00000022070,ENSXETG00000012353,ortholog_one2one
ENSMUSG00000043310,,
ENSMUSG00000079834,ENSXETG00000018382,ortholog_one2one
ENSMUSG00000032412,ENSXETG00000014751,ortholog_one2one
ENSMUSG00000055679,ENSXETG00000027581,ortholog_one2many
ENSMUSG00000014547,ENSXETG00000020718,ortholog_one2one
ENSMUSG00000073964,,
ENSMUSG00000054986,ENSXETG00000016146,ortholog_one2many
ENSMUSG00000062142,ENSXETG00000032943,ortholog_many2many
ENSMUSG00000062142,ENSXETG00000032483,ortholog_many2many
ENSMUSG00000062142,ENSXETG00000031456,ortholog_many2many
ENSMUSG00000062142,ENSXETG00000024799,ortholog_many2many
ENSMUSG00000053110,ENSXETG00000032689,ortholog_one2one
ENSMUSG00000061654,ENSXETG00000031277,ortholog_one2one
ENSMUSG00000039128,ENSXETG00000009109,ortholog_one2one
ENSMUSG00000011171,ENSXETG00000030788,ortholog_one2one
ENSMUSG00000059923,ENSXETG00000012520,ortholog_one2one
ENSMUSG00000073965,,
ENSMUSG00000064105,ENSXETG00000009464,ortholog_one2many
ENSMUSG00000064105,ENSXETG00000009473,ortholog_one2many
ENSMUSG00000033186,ENSXETG00000024541,ortholog_one2one
ENSMUSG00000090805,,
ENSMUSG00000028518,ENSXETG00000011138,ortholog_one2one
ENSMUSG00000070777,,
ENSMUSG00000060888,,
ENSMUSG00000051412,ENSXETG00000018389,ortholog_one2one
ENSMUSG00000048469,,
ENSMUSG00000027787,ENSXETG00000027727,ortholog_one2one
ENSMUSG00000025402,ENSXETG00000004428,ortholog_one2one
ENSMUSG00000021732,ENSXETG00000025130,ortholog_one2one
ENSMUSG00000036860,,
ENSMUSG00000040254,ENSXETG00000005431,ortholog_one2one
ENSMUSG00000094799,ENSXETG00000032669,ortholog_one2many
ENSMUSG00000073966,,
ENSMUSG00000021339,ENSXETG00000021985,ortholog_one2one
ENSMUSG00000070778,ENSXETG00000005009,ortholog_one2many
ENSMUSG00000079794,ENSXETG00000032669,ortholog_one2many
ENSMUSG00000079192,ENSXETG00000032669,ortholog_one2many
ENSMUSG00000043366,ENSXETG00000014846,ortholog_one2many
ENSMUSG00000097411,,
ENSMUSG00000040498,,
ENSMUSG00000095092,ENSXETG00000032669,ortholog_one2many
ENSMUSG00000026857,ENSXETG00000014162,ortholog_one2one
ENSMUSG00000036438,ENSXETG00000015713,ortholog_one2one
ENSMUSG00000079800,,
ENSMUSG00000031756,ENSXETG00000000170,ortholog_one2one
ENSMUSG00000029621,ENSXETG00000006057,ortholog_one2one
ENSMUSG00000066272,,
ENSMUSG00000059366,,
ENSMUSG00000021843,ENSXETG00000015700,ortholog_one2one
ENSMUSG00000094065,,
ENSMUSG00000021731,ENSXETG00000017716,ortholog_one2one
ENSMUSG00000095041,ENSXETG00000004196,ortholog_one2one
ENSMUSG00000066273,,
ENSMUSG00000094759,,
ENSMUSG00000050853,,
ENSMUSG00000070423,ENSXETG00000014846,ortholog_one2many
ENSMUSG00000096543,,
ENSMUSG00000073967,ENSXETG00000014846,ortholog_one2many
ENSMUSG00000024687,ENSXETG00000020714,ortholog_one2one
ENSMUSG00000053559,,
ENSMUSG00000019368,ENSXETG00000016146,ortholog_one2many
ENSMUSG00000095322,,
ENSMUSG00000036557,,
ENSMUSG00000040511,ENSXETG00000024874,ortholog_one2many
ENSMUSG00000014633,,
ENSMUSG00000073968,,
ENSMUSG00000003559,ENSXETG00000009462,ortholog_one2many
ENSMUSG00000003559,ENSXETG00000031996,ortholog_one2many
ENSMUSG00000000346,ENSXETG00000025161,ortholog_one2one
ENSMUSG00000062649,,
ENSMUSG00000042063,,
ENSMUSG00000062760,,
ENSMUSG00000073969,,
ENSMUSG00000095019,,
ENSMUSG00000041718,ENSXETG00000023418,ortholog_one2many
ENSMUSG00000073970,ENSXETG00000014845,ortholog_one2many
ENSMUSG00000063176,,
ENSMUSG00000062376,,
ENSMUSG00000095326,,
ENSMUSG00000028261,ENSXETG00000022674,ortholog_one2one
ENSMUSG00000096850,,
ENSMUSG00000021439,ENSXETG00000027581,ortholog_one2many
ENSMUSG00000073971,ENSXETG00000026659,ortholog_one2many
ENSMUSG00000039145,ENSXETG00000009110,ortholog_one2one
ENSMUSG00000029620,,
ENSMUSG00000073972,ENSXETG00000026659,ortholog_one2many
ENSMUSG00000094745,,
ENSMUSG00000031758,ENSXETG00000032985,ortholog_one2one
ENSMUSG00000047434,ENSXETG00000003454,ortholog_one2one
ENSMUSG00000073973,ENSXETG00000026659,ortholog_one2many
ENSMUSG00000031443,ENSXETG00000001932,ortholog_one2one
ENSMUSG00000021072,ENSXETG00000016489,ortholog_one2one
ENSMUSG00000096466,ENSXETG00000004842,ortholog_one2many
ENSMUSG00000096768,,
ENSMUSG00000073974,ENSXETG00000026659,ortholog_one2many
ENSMUSG00000049848,,
ENSMUSG00000061707,,
ENSMUSG00000046546,,
ENSMUSG00000073975,ENSXETG00000014845,ortholog_one2many
ENSMUSG00000030243,ENSXETG00000013524,ortholog_one2one
ENSMUSG00000049721,ENSXETG00000016149,ortholog_one2one
ENSMUSG00000095134,ENSXETG00000015715,ortholog_one2many
ENSMUSG00000095366,,
ENSMUSG00000014686,,
ENSMUSG00000096178,,
ENSMUSG00000026676,ENSXETG00000027466,ortholog_one2one
ENSMUSG00000095099,,
ENSMUSG00000029062,ENSXETG00000019606,ortholog_one2one
ENSMUSG00000033740,ENSXETG00000005673,ortholog_one2one
ENSMUSG00000030966,,
ENSMUSG00000046139,ENSXETG00000011944,ortholog_one2one
ENSMUSG00000094375,,
ENSMUSG00000092216,,
ENSMUSG00000095800,,
ENSMUSG00000091060,,
ENSMUSG00000036356,ENSXETG00000004463,ortholog_one2one
ENSMUSG00000094909,,
ENSMUSG00000060878,ENSXETG00000031005,ortholog_one2many
ENSMUSG00000078612,,
ENSMUSG00000073977,,
ENSMUSG00000093881,,
ENSMUSG00000067545,ENSXETG00000031005,ortholog_one2many
ENSMUSG00000026697,ENSXETG00000010446,ortholog_one2one
ENSMUSG00000073978,,
ENSMUSG00000094459,,
ENSMUSG00000020064,ENSXETG00000023570,ortholog_one2one
ENSMUSG00000001052,ENSXETG00000021091,ortholog_one2one
ENSMUSG00000060556,ENSXETG00000031005,ortholog_one2many
ENSMUSG00000095083,,
ENSMUSG00000073979,,
ENSMUSG00000028240,ENSXETG00000005661,ortholog_one2one
ENSMUSG00000094399,,
ENSMUSG00000048292,ENSXETG00000031005,ortholog_one2many
ENSMUSG00000044824,ENSXETG00000033218,ortholog_many2many
ENSMUSG00000044824,ENSXETG00000030012,ortholog_many2many
ENSMUSG00000044824,ENSXETG00000033080,ortholog_many2many
ENSMUSG00000044824,ENSXETG00000033019,ortholog_many2many
ENSMUSG00000044824,ENSXETG00000031471,ortholog_many2many
ENSMUSG00000044824,ENSXETG00000032695,ortholog_many2many
ENSMUSG00000044824,ENSXETG00000034314,ortholog_many2many
ENSMUSG00000044824,ENSXETG00000032418,ortholog_many2many
ENSMUSG00000044824,ENSXETG00000034330,ortholog_many2many
ENSMUSG00000023953,,
ENSMUSG00000094716,,
ENSMUSG00000032000,ENSXETG00000022183,ortholog_one2many
ENSMUSG00000096625,,
ENSMUSG00000043925,ENSXETG00000033218,ortholog_many2many
ENSMUSG00000043925,ENSXETG00000030012,ortholog_many2many
ENSMUSG00000043925,ENSXETG00000033080,ortholog_many2many
ENSMUSG00000043925,ENSXETG00000033019,ortholog_many2many
ENSMUSG00000043925,ENSXETG00000031471,ortholog_many2many
ENSMUSG00000043925,ENSXETG00000032695,ortholog_many2many
ENSMUSG00000043925,ENSXETG00000034314,ortholog_many2many
ENSMUSG00000043925,ENSXETG00000032418,ortholog_many2many
ENSMUSG00000043925,ENSXETG00000034330,ortholog_many2many
ENSMUSG00000020884,ENSXETG00000000646,ortholog_many2many
ENSMUSG00000029486,ENSXETG00000000373,ortholog_one2one
ENSMUSG00000067848,,
ENSMUSG00000094761,,
ENSMUSG00000044814,ENSXETG00000033218,ortholog_many2many
ENSMUSG00000044814,ENSXETG00000030012,ortholog_many2many
ENSMUSG00000044814,ENSXETG00000033080,ortholog_many2many
ENSMUSG00000044814,ENSXETG00000033019,ortholog_many2many
ENSMUSG00000044814,ENSXETG00000031471,ortholog_many2many
ENSMUSG00000044814,ENSXETG00000032695,ortholog_many2many
ENSMUSG00000044814,ENSXETG00000034314,ortholog_many2many
ENSMUSG00000044814,ENSXETG00000032418,ortholog_many2many
ENSMUSG00000044814,ENSXETG00000034330,ortholog_many2many
ENSMUSG00000053175,ENSXETG00000030363,ortholog_one2one
ENSMUSG00000034467,ENSXETG00000024765,ortholog_one2one
ENSMUSG00000020048,ENSXETG00000005359,ortholog_one2one
ENSMUSG00000095303,,
ENSMUSG00000045391,,
ENSMUSG00000095386,,
ENSMUSG00000094744,,
ENSMUSG00000095838,,
ENSMUSG00000006930,ENSXETG00000012489,ortholog_one2one
ENSMUSG00000043300,ENSXETG00000011652,ortholog_many2many
ENSMUSG00000039963,ENSXETG00000004201,ortholog_one2many
ENSMUSG00000039963,ENSXETG00000004200,ortholog_one2many
ENSMUSG00000039963,ENSXETG00000033033,ortholog_one2many
ENSMUSG00000026672,ENSXETG00000009111,ortholog_one2one
ENSMUSG00000073682,,
ENSMUSG00000054423,ENSXETG00000022243,ortholog_one2one
ENSMUSG00000094418,,
ENSMUSG00000055435,ENSXETG00000000172,ortholog_one2one
ENSMUSG00000049742,,
ENSMUSG00000095443,,
ENSMUSG00000095167,,
ENSMUSG00000095760,,
ENSMUSG00000090468,ENSXETG00000006711,ortholog_many2many
ENSMUSG00000020430,ENSXETG00000030097,ortholog_one2one
ENSMUSG00000030978,ENSXETG00000003999,ortholog_one2one
ENSMUSG00000057367,ENSXETG00000022183,ortholog_one2many
ENSMUSG00000026696,ENSXETG00000010444,ortholog_one2one
ENSMUSG00000053886,ENSXETG00000004464,ortholog_one2one
ENSMUSG00000095650,,
ENSMUSG00000035161,ENSXETG00000020719,ortholog_one2one
ENSMUSG00000032411,ENSXETG00000014750,ortholog_one2one
ENSMUSG00000096187,,
ENSMUSG00000095306,,
ENSMUSG00000096575,,
ENSMUSG00000020444,ENSXETG00000013914,ortholog_one2one
ENSMUSG00000093832,,
ENSMUSG00000096418,,
ENSMUSG00000028063,ENSXETG00000024161,ortholog_one2one
ENSMUSG00000094036,,
ENSMUSG00000096671,,
ENSMUSG00000021730,ENSXETG00000017714,ortholog_one2one
ENSMUSG00000030987,ENSXETG00000018384,ortholog_one2one
ENSMUSG00000094660,,
ENSMUSG00000034493,,
ENSMUSG00000095688,,
ENSMUSG00000091155,ENSXETG00000032417,ortholog_one2one
ENSMUSG00000073255,,
ENSMUSG00000027363,ENSXETG00000016117,ortholog_one2one
ENSMUSG00000017165,,
ENSMUSG00000094469,,
ENSMUSG00000004637,ENSXETG00000004229,ortholog_many2many
ENSMUSG00000028330,ENSXETG00000010179,ortholog_one2one
ENSMUSG00000090308,,
ENSMUSG00000043448,ENSXETG00000006175,ortholog_one2one
ENSMUSG00000095153,,
ENSMUSG00000094205,,
ENSMUSG00000090816,,
ENSMUSG00000020720,ENSXETG00000001584,ortholog_one2one
ENSMUSG00000095109,,
ENSMUSG00000040525,,
ENSMUSG00000062372,ENSXETG00000003330,ortholog_one2one
ENSMUSG00000073982,ENSXETG00000026277,ortholog_one2many
ENSMUSG00000096125,,
ENSMUSG00000022449,ENSXETG00000006802,ortholog_one2one
ENSMUSG00000094105,,
ENSMUSG00000023952,ENSXETG00000010888,ortholog_one2one
ENSMUSG00000094857,,
ENSMUSG00000096552,,
ENSMUSG00000020044,ENSXETG00000011514,ortholog_one2one
ENSMUSG00000015733,ENSXETG00000021760,ortholog_one2one
ENSMUSG00000003555,ENSXETG00000015229,ortholog_one2one
ENSMUSG00000095582,,
ENSMUSG00000035530,ENSXETG00000025051,ortholog_many2many
ENSMUSG00000095726,,
ENSMUSG00000021743,ENSXETG00000022248,ortholog_one2one
ENSMUSG00000096816,,
ENSMUSG00000035184,ENSXETG00000027168,ortholog_one2one
ENSMUSG00000095815,,
ENSMUSG00000095921,,
ENSMUSG00000026669,ENSXETG00000009113,ortholog_one2one
ENSMUSG00000094629,,
ENSMUSG00000020432,ENSXETG00000019944,ortholog_one2one
ENSMUSG00000094348,,
ENSMUSG00000041488,ENSXETG00000023730,ortholog_one2one
ENSMUSG00000055298,ENSXETG00000027581,ortholog_one2many
ENSMUSG00000094209,,
ENSMUSG00000057610,ENSXETG00000004842,ortholog_one2many
ENSMUSG00000073257,,
ENSMUSG00000037526,ENSXETG00000015718,ortholog_one2one
ENSMUSG00000096104,,
ENSMUSG00000021185,ENSXETG00000030021,ortholog_one2one
ENSMUSG00000005667,ENSXETG00000012094,ortholog_many2many
ENSMUSG00000026694,ENSXETG00000010438,ortholog_one2one
ENSMUSG00000094047,,
ENSMUSG00000026942,ENSXETG00000003950,ortholog_one2one
ENSMUSG00000029290,ENSXETG00000006087,ortholog_one2one
ENSMUSG00000035031,ENSXETG00000011135,ortholog_one2one
ENSMUSG00000033834,,
ENSMUSG00000095067,,
ENSMUSG00000096548,,
ENSMUSG00000095750,,
ENSMUSG00000037536,ENSXETG00000030336,ortholog_one2one
ENSMUSG00000044258,,
ENSMUSG00000095441,,
ENSMUSG00000027994,ENSXETG00000021086,ortholog_one2one
ENSMUSG00000096778,,
ENSMUSG00000033111,,
ENSMUSG00000094279,,
ENSMUSG00000034509,,
ENSMUSG00000028412,ENSXETG00000000925,ortholog_one2one
ENSMUSG00000036918,ENSXETG00000022746,ortholog_one2one
ENSMUSG00000062705,,
ENSMUSG00000049287,ENSXETG00000006176,ortholog_one2one
ENSMUSG00000096032,,
ENSMUSG00000022439,ENSXETG00000031105,ortholog_one2one
ENSMUSG00000094742,,
ENSMUSG00000002980,ENSXETG00000019324,ortholog_one2one
ENSMUSG00000095578,,
ENSMUSG00000095084,,
ENSMUSG00000030990,,
ENSMUSG00000008874,ENSXETG00000012694,ortholog_one2one
ENSMUSG00000024683,ENSXETG00000024210,ortholog_one2one
ENSMUSG00000094207,,
ENSMUSG00000027867,ENSXETG00000020893,ortholog_one2one
ENSMUSG00000045750,,
ENSMUSG00000095114,,
ENSMUSG00000041255,,
ENSMUSG00000096369,,
ENSMUSG00000066752,,
ENSMUSG00000038770,ENSXETG00000007497,ortholog_one2one
ENSMUSG00000094746,,
ENSMUSG00000024682,ENSXETG00000025742,ortholog_one2one
