Ensembl Gene ID,Mus Ensembl Gene ID,Homology Type
ENSMUSG00000037816,ENSMUSG00000037816,ortholog_one2one
ENSMUSG00000055228,ENSMUSG00000055228,ortholog_one2one
ENSMUSG00000045160,ENSMUSG00000045160,ortholog_one2one
ENSMUSG00000061200,ENSMUSG00000061200,ortholog_one2one
ENSMUSG00000067513,ENSMUSG00000067513,ortholog_one2one
ENSMUSG00000094353,ENSMUSG00000094353,ortholog_one2one
ENSMUSG00000094942,ENSMUSG00000094942,ortholog_one2one
ENSMUSG00000079657,ENSMUSG00000079657,ortholog_one2one
ENSMUSG00000025453,ENSMUSG00000025453,ortholog_one2one
ENSMUSG00000045540,ENSMUSG00000045540,ortholog_one2one
ENSMUSG00000095640,ENSMUSG00000095640,ortholog_one2one
ENSMUSG00000095837,ENSMUSG00000095837,ortholog_one2one
ENSMUSG00000054763,ENSMUSG00000054763,ortholog_one2one
ENSMUSG00000045835,ENSMUSG00000045835,ortholog_one2one
ENSMUSG00000074656,ENSMUSG00000074656,ortholog_one2one
ENSMUSG00000073950,ENSMUSG00000073950,ortholog_one2one
ENSMUSG00000034416,ENSMUSG00000034416,ortholog_one2one
ENSMUSG00000074867,ENSMUSG00000074867,ortholog_one2one
ENSMUSG00000036106,ENSMUSG00000036106,ortholog_one2one
ENSMUSG00000096761,ENSMUSG00000096761,ortholog_one2one
ENSMUSG00000095839,ENSMUSG00000095839,ortholog_one2one
ENSMUSG00000036661,ENSMUSG00000036661,ortholog_one2one
ENSMUSG00000073951,ENSMUSG00000073951,ortholog_one2one
ENSMUSG00000048076,ENSMUSG00000048076,ortholog_one2one
ENSMUSG00000025817,ENSMUSG00000025817,ortholog_one2one
ENSMUSG00000096903,ENSMUSG00000096903,ortholog_one2one
ENSMUSG00000099269,ENSMUSG00000099269,ortholog_one2one
ENSMUSG00000019861,ENSMUSG00000019861,ortholog_one2one
ENSMUSG00000073952,ENSMUSG00000073952,ortholog_one2one
ENSMUSG00000074870,ENSMUSG00000074870,ortholog_one2one
ENSMUSG00000075571,ENSMUSG00000075571,ortholog_one2one
ENSMUSG00000062121,ENSMUSG00000062121,ortholog_one2one
ENSMUSG00000098049,ENSMUSG00000098049,ortholog_one2one
ENSMUSG00000045394,ENSMUSG00000045394,ortholog_one2one
ENSMUSG00000096663,ENSMUSG00000096663,ortholog_one2one
ENSMUSG00000096194,ENSMUSG00000096194,ortholog_one2one
ENSMUSG00000043131,ENSMUSG00000043131,ortholog_one2one
ENSMUSG00000060049,ENSMUSG00000060049,ortholog_one2one
ENSMUSG00000073953,ENSMUSG00000073953,ortholog_one2one
ENSMUSG00000055745,ENSMUSG00000055745,ortholog_one2one
ENSMUSG00000078747,ENSMUSG00000078747,ortholog_one2one
ENSMUSG00000094762,ENSMUSG00000094762,ortholog_one2one
ENSMUSG00000093857,ENSMUSG00000093857,ortholog_one2one
ENSMUSG00000098598,ENSMUSG00000098598,ortholog_one2one
ENSMUSG00000064110,ENSMUSG00000064110,ortholog_one2one
ENSMUSG00000003581,ENSMUSG00000003581,ortholog_one2one
ENSMUSG00000067519,ENSMUSG00000067519,ortholog_one2one
ENSMUSG00000074871,ENSMUSG00000074871,ortholog_one2one
ENSMUSG00000094545,ENSMUSG00000094545,ortholog_one2one
ENSMUSG00000057321,ENSMUSG00000057321,ortholog_one2one
ENSMUSG00000075572,ENSMUSG00000075572,ortholog_one2one
ENSMUSG00000099100,ENSMUSG00000099100,ortholog_one2one
ENSMUSG00000094133,ENSMUSG00000094133,ortholog_one2one
ENSMUSG00000095770,ENSMUSG00000095770,ortholog_one2one
ENSMUSG00000091096,ENSMUSG00000091096,ortholog_one2one
ENSMUSG00000059106,ENSMUSG00000059106,ortholog_one2one
ENSMUSG00000096386,ENSMUSG00000096386,ortholog_one2one
ENSMUSG00000075573,ENSMUSG00000075573,ortholog_one2one
ENSMUSG00000067522,ENSMUSG00000067522,ortholog_one2one
ENSMUSG00000073954,ENSMUSG00000073954,ortholog_one2one
ENSMUSG00000058435,ENSMUSG00000058435,ortholog_one2one
ENSMUSG00000095806,ENSMUSG00000095806,ortholog_one2one
ENSMUSG00000067524,ENSMUSG00000067524,ortholog_one2one
ENSMUSG00000042050,ENSMUSG00000042050,ortholog_one2one
ENSMUSG00000075574,ENSMUSG00000075574,ortholog_one2one
ENSMUSG00000095300,ENSMUSG00000095300,ortholog_one2one
ENSMUSG00000073955,ENSMUSG00000073955,ortholog_one2one
ENSMUSG00000048978,ENSMUSG00000048978,ortholog_one2one
ENSMUSG00000098034,ENSMUSG00000098034,ortholog_one2one
ENSMUSG00000094439,ENSMUSG00000094439,ortholog_one2one
ENSMUSG00000067525,ENSMUSG00000067525,ortholog_one2one
ENSMUSG00000059867,ENSMUSG00000059867,ortholog_one2one
ENSMUSG00000095745,ENSMUSG00000095745,ortholog_one2one
ENSMUSG00000091539,ENSMUSG00000091539,ortholog_one2one
ENSMUSG00000073956,ENSMUSG00000073956,ortholog_one2one
ENSMUSG00000029622,ENSMUSG00000029622,ortholog_one2one
ENSMUSG00000064370,ENSMUSG00000064370,ortholog_one2one
ENSMUSG00000094757,ENSMUSG00000094757,ortholog_one2one
ENSMUSG00000090497,ENSMUSG00000090497,ortholog_one2one
ENSMUSG00000048299,ENSMUSG00000048299,ortholog_one2one
ENSMUSG00000025041,ENSMUSG00000025041,ortholog_one2one
ENSMUSG00000034384,ENSMUSG00000034384,ortholog_one2one
ENSMUSG00000094886,ENSMUSG00000094886,ortholog_one2one
ENSMUSG00000020441,ENSMUSG00000020441,ortholog_one2one
ENSMUSG00000064368,ENSMUSG00000064368,ortholog_one2one
ENSMUSG00000094298,ENSMUSG00000094298,ortholog_one2one
ENSMUSG00000057461,ENSMUSG00000057461,ortholog_one2one
ENSMUSG00000064367,ENSMUSG00000064367,ortholog_one2one
ENSMUSG00000096730,ENSMUSG00000096730,ortholog_one2one
ENSMUSG00000051362,ENSMUSG00000051362,ortholog_one2one
ENSMUSG00000039483,ENSMUSG00000039483,ortholog_one2one
ENSMUSG00000093976,ENSMUSG00000093976,ortholog_one2one
ENSMUSG00000033166,ENSMUSG00000033166,ortholog_one2one
ENSMUSG00000044994,ENSMUSG00000044994,ortholog_one2one
ENSMUSG00000094735,ENSMUSG00000094735,ortholog_one2one
ENSMUSG00000031444,ENSMUSG00000031444,ortholog_one2one
ENSMUSG00000003585,ENSMUSG00000003585,ortholog_one2one
ENSMUSG00000064363,ENSMUSG00000064363,ortholog_one2one
ENSMUSG00000066268,ENSMUSG00000066268,ortholog_one2one
ENSMUSG00000067526,ENSMUSG00000067526,ortholog_one2one
ENSMUSG00000094011,ENSMUSG00000094011,ortholog_one2one
ENSMUSG00000065947,ENSMUSG00000065947,ortholog_one2one
ENSMUSG00000041025,ENSMUSG00000041025,ortholog_one2one
ENSMUSG00000078080,ENSMUSG00000078080,ortholog_one2one
ENSMUSG00000028517,ENSMUSG00000028517,ortholog_one2one
ENSMUSG00000067528,ENSMUSG00000067528,ortholog_one2one
ENSMUSG00000028883,ENSMUSG00000028883,ortholog_one2one
ENSMUSG00000064360,ENSMUSG00000064360,ortholog_one2one
ENSMUSG00000096164,ENSMUSG00000096164,ortholog_one2one
ENSMUSG00000073959,ENSMUSG00000073959,ortholog_one2one
ENSMUSG00000067529,ENSMUSG00000067529,ortholog_one2one
ENSMUSG00000019891,ENSMUSG00000019891,ortholog_one2one
ENSMUSG00000064358,ENSMUSG00000064358,ortholog_one2one
ENSMUSG00000064357,ENSMUSG00000064357,ortholog_one2one
ENSMUSG00000096152,ENSMUSG00000096152,ortholog_one2one
ENSMUSG00000073960,ENSMUSG00000073960,ortholog_one2one
ENSMUSG00000028259,ENSMUSG00000028259,ortholog_one2one
ENSMUSG00000064356,ENSMUSG00000064356,ortholog_one2one
ENSMUSG00000021440,ENSMUSG00000021440,ortholog_one2one
ENSMUSG00000064354,ENSMUSG00000064354,ortholog_one2one
ENSMUSG00000073961,ENSMUSG00000073961,ortholog_one2one
ENSMUSG00000095076,ENSMUSG00000095076,ortholog_one2one
ENSMUSG00000095201,ENSMUSG00000095201,ortholog_one2one
ENSMUSG00000095637,ENSMUSG00000095637,ortholog_one2one
ENSMUSG00000045792,ENSMUSG00000045792,ortholog_one2one
ENSMUSG00000034687,ENSMUSG00000034687,ortholog_one2one
ENSMUSG00000064351,ENSMUSG00000064351,ortholog_one2one
ENSMUSG00000095728,ENSMUSG00000095728,ortholog_one2one
ENSMUSG00000044042,ENSMUSG00000044042,ortholog_one2one
ENSMUSG00000004748,ENSMUSG00000004748,ortholog_one2one
ENSMUSG00000034424,ENSMUSG00000034424,ortholog_one2one
ENSMUSG00000038112,ENSMUSG00000038112,ortholog_one2one
ENSMUSG00000051285,ENSMUSG00000051285,ortholog_one2one
ENSMUSG00000096645,ENSMUSG00000096645,ortholog_one2one
ENSMUSG00000043354,ENSMUSG00000043354,ortholog_one2one
ENSMUSG00000027596,ENSMUSG00000027596,ortholog_one2one
ENSMUSG00000028249,ENSMUSG00000028249,ortholog_one2one
ENSMUSG00000094722,ENSMUSG00000094722,ortholog_one2one
ENSMUSG00000094351,ENSMUSG00000094351,ortholog_one2one
ENSMUSG00000057446,ENSMUSG00000057446,ortholog_one2one
ENSMUSG00000051234,ENSMUSG00000051234,ortholog_one2one
ENSMUSG00000073962,ENSMUSG00000073962,ortholog_one2one
ENSMUSG00000064345,ENSMUSG00000064345,ortholog_one2one
ENSMUSG00000094352,ENSMUSG00000094352,ortholog_one2one
ENSMUSG00000033285,ENSMUSG00000033285,ortholog_one2one
ENSMUSG00000031847,ENSMUSG00000031847,ortholog_one2one
ENSMUSG00000040372,ENSMUSG00000040372,ortholog_one2one
ENSMUSG00000096244,ENSMUSG00000096244,ortholog_one2one
ENSMUSG00000054752,ENSMUSG00000054752,ortholog_one2one
ENSMUSG00000066269,ENSMUSG00000066269,ortholog_one2one
ENSMUSG00000095229,ENSMUSG00000095229,ortholog_one2one
ENSMUSG00000096776,ENSMUSG00000096776,ortholog_one2one
ENSMUSG00000064341,ENSMUSG00000064341,ortholog_one2one
ENSMUSG00000060508,ENSMUSG00000060508,ortholog_one2one
ENSMUSG00000056418,ENSMUSG00000056418,ortholog_one2one
ENSMUSG00000045824,ENSMUSG00000045824,ortholog_one2one
ENSMUSG00000021441,ENSMUSG00000021441,ortholog_one2one
ENSMUSG00000095754,ENSMUSG00000095754,ortholog_one2one
ENSMUSG00000052785,ENSMUSG00000052785,ortholog_one2one
ENSMUSG00000047388,ENSMUSG00000047388,ortholog_one2one
ENSMUSG00000049076,ENSMUSG00000049076,ortholog_one2one
ENSMUSG00000001552,ENSMUSG00000001552,ortholog_one2one
ENSMUSG00000094391,ENSMUSG00000094391,ortholog_one2one
ENSMUSG00000073963,ENSMUSG00000073963,ortholog_one2one
ENSMUSG00000062038,ENSMUSG00000062038,ortholog_one2one
ENSMUSG00000098112,ENSMUSG00000098112,ortholog_one2one
ENSMUSG00000035910,ENSMUSG00000035910,ortholog_one2one
ENSMUSG00000022070,ENSMUSG00000022070,ortholog_one2one
ENSMUSG00000043310,ENSMUSG00000043310,ortholog_one2one
ENSMUSG00000079834,ENSMUSG00000079834,ortholog_one2one
ENSMUSG00000032412,ENSMUSG00000032412,ortholog_one2one
ENSMUSG00000055679,ENSMUSG00000055679,ortholog_one2one
ENSMUSG00000014547,ENSMUSG00000014547,ortholog_one2one
ENSMUSG00000073964,ENSMUSG00000073964,ortholog_one2one
ENSMUSG00000054986,ENSMUSG00000054986,ortholog_one2one
ENSMUSG00000062142,ENSMUSG00000062142,ortholog_one2one
ENSMUSG00000053110,ENSMUSG00000053110,ortholog_one2one
ENSMUSG00000061654,ENSMUSG00000061654,ortholog_one2one
ENSMUSG00000039128,ENSMUSG00000039128,ortholog_one2one
ENSMUSG00000011171,ENSMUSG00000011171,ortholog_one2one
ENSMUSG00000059923,ENSMUSG00000059923,ortholog_one2one
ENSMUSG00000073965,ENSMUSG00000073965,ortholog_one2one
ENSMUSG00000064105,ENSMUSG00000064105,ortholog_one2one
ENSMUSG00000033186,ENSMUSG00000033186,ortholog_one2one
ENSMUSG00000090805,ENSMUSG00000090805,ortholog_one2one
ENSMUSG00000028518,ENSMUSG00000028518,ortholog_one2one
ENSMUSG00000070777,ENSMUSG00000070777,ortholog_one2one
ENSMUSG00000060888,ENSMUSG00000060888,ortholog_one2one
ENSMUSG00000051412,ENSMUSG00000051412,ortholog_one2one
ENSMUSG00000048469,ENSMUSG00000048469,ortholog_one2one
ENSMUSG00000027787,ENSMUSG00000027787,ortholog_one2one
ENSMUSG00000025402,ENSMUSG00000025402,ortholog_one2one
ENSMUSG00000021732,ENSMUSG00000021732,ortholog_one2one
ENSMUSG00000036860,ENSMUSG00000036860,ortholog_one2one
ENSMUSG00000040254,ENSMUSG00000040254,ortholog_one2one
ENSMUSG00000094799,ENSMUSG00000094799,ortholog_one2one
ENSMUSG00000073966,ENSMUSG00000073966,ortholog_one2one
ENSMUSG00000021339,ENSMUSG00000021339,ortholog_one2one
ENSMUSG00000070778,ENSMUSG00000070778,ortholog_one2one
ENSMUSG00000079794,ENSMUSG00000079794,ortholog_one2one
ENSMUSG00000079192,ENSMUSG00000079192,ortholog_one2one
ENSMUSG00000043366,ENSMUSG00000043366,ortholog_one2one
ENSMUSG00000097411,ENSMUSG00000097411,ortholog_one2one
ENSMUSG00000040498,ENSMUSG00000040498,ortholog_one2one
ENSMUSG00000095092,ENSMUSG00000095092,ortholog_one2one
ENSMUSG00000026857,ENSMUSG00000026857,ortholog_one2one
ENSMUSG00000036438,ENSMUSG00000036438,ortholog_one2one
ENSMUSG00000079800,ENSMUSG00000079800,ortholog_one2one
ENSMUSG00000031756,ENSMUSG00000031756,ortholog_one2one
ENSMUSG00000029621,ENSMUSG00000029621,ortholog_one2one
ENSMUSG00000066272,ENSMUSG00000066272,ortholog_one2one
ENSMUSG00000059366,ENSMUSG00000059366,ortholog_one2one
ENSMUSG00000021843,ENSMUSG00000021843,ortholog_one2one
ENSMUSG00000094065,ENSMUSG00000094065,ortholog_one2one
ENSMUSG00000021731,ENSMUSG00000021731,ortholog_one2one
ENSMUSG00000095041,ENSMUSG00000095041,ortholog_one2one
ENSMUSG00000066273,ENSMUSG00000066273,ortholog_one2one
ENSMUSG00000094759,ENSMUSG00000094759,ortholog_one2one
ENSMUSG00000050853,ENSMUSG00000050853,ortholog_one2one
ENSMUSG00000070423,ENSMUSG00000070423,ortholog_one2one
ENSMUSG00000096543,ENSMUSG00000096543,ortholog_one2one
ENSMUSG00000073967,ENSMUSG00000073967,ortholog_one2one
ENSMUSG00000024687,ENSMUSG00000024687,ortholog_one2one
ENSMUSG00000053559,ENSMUSG00000053559,ortholog_one2one
ENSMUSG00000019368,ENSMUSG00000019368,ortholog_one2one
ENSMUSG00000095322,ENSMUSG00000095322,ortholog_one2one
ENSMUSG00000036557,ENSMUSG00000036557,ortholog_one2one
ENSMUSG00000040511,ENSMUSG00000040511,ortholog_one2one
ENSMUSG00000014633,ENSMUSG00000014633,ortholog_one2one
ENSMUSG00000073968,ENSMUSG00000073968,ortholog_one2one
ENSMUSG00000003559,ENSMUSG00000003559,ortholog_one2one
ENSMUSG00000000346,ENSMUSG00000000346,ortholog_one2one
ENSMUSG00000062649,ENSMUSG00000062649,ortholog_one2one
ENSMUSG00000042063,ENSMUSG00000042063,ortholog_one2one
ENSMUSG00000062760,ENSMUSG00000062760,ortholog_one2one
ENSMUSG00000073969,ENSMUSG00000073969,ortholog_one2one
ENSMUSG00000095019,ENSMUSG00000095019,ortholog_one2one
ENSMUSG00000041718,ENSMUSG00000041718,ortholog_one2one
ENSMUSG00000073970,ENSMUSG00000073970,ortholog_one2one
ENSMUSG00000063176,ENSMUSG00000063176,ortholog_one2one
ENSMUSG00000062376,ENSMUSG00000062376,ortholog_one2one
ENSMUSG00000095326,ENSMUSG00000095326,ortholog_one2one
ENSMUSG00000028261,ENSMUSG00000028261,ortholog_one2one
ENSMUSG00000096850,ENSMUSG00000096850,ortholog_one2one
ENSMUSG00000021439,ENSMUSG00000021439,ortholog_one2one
ENSMUSG00000073971,ENSMUSG00000073971,ortholog_one2one
ENSMUSG00000039145,ENSMUSG00000039145,ortholog_one2one
ENSMUSG00000029620,ENSMUSG00000029620,ortholog_one2one
ENSMUSG00000073972,ENSMUSG00000073972,ortholog_one2one
ENSMUSG00000094745,ENSMUSG00000094745,ortholog_one2one
ENSMUSG00000031758,ENSMUSG00000031758,ortholog_one2one
ENSMUSG00000047434,ENSMUSG00000047434,ortholog_one2one
ENSMUSG00000073973,ENSMUSG00000073973,ortholog_one2one
ENSMUSG00000031443,ENSMUSG00000031443,ortholog_one2one
ENSMUSG00000021072,ENSMUSG00000021072,ortholog_one2one
ENSMUSG00000096466,ENSMUSG00000096466,ortholog_one2one
ENSMUSG00000096768,ENSMUSG00000096768,ortholog_one2one
ENSMUSG00000073974,ENSMUSG00000073974,ortholog_one2one
ENSMUSG00000049848,ENSMUSG00000049848,ortholog_one2one
ENSMUSG00000061707,ENSMUSG00000061707,ortholog_one2one
ENSMUSG00000046546,ENSMUSG00000046546,ortholog_one2one
ENSMUSG00000073975,ENSMUSG00000073975,ortholog_one2one
ENSMUSG00000030243,ENSMUSG00000030243,ortholog_one2one
ENSMUSG00000049721,ENSMUSG00000049721,ortholog_one2one
ENSMUSG00000095134,ENSMUSG00000095134,ortholog_one2one
ENSMUSG00000095366,ENSMUSG00000095366,ortholog_one2one
ENSMUSG00000014686,ENSMUSG00000014686,ortholog_one2one
ENSMUSG00000096178,ENSMUSG00000096178,ortholog_one2one
ENSMUSG00000026676,ENSMUSG00000026676,ortholog_one2one
ENSMUSG00000095099,ENSMUSG00000095099,ortholog_one2one
ENSMUSG00000029062,ENSMUSG00000029062,ortholog_one2one
ENSMUSG00000033740,ENSMUSG00000033740,ortholog_one2one
ENSMUSG00000030966,ENSMUSG00000030966,ortholog_one2one
ENSMUSG00000046139,ENSMUSG00000046139,ortholog_one2one
ENSMUSG00000094375,ENSMUSG00000094375,ortholog_one2one
ENSMUSG00000092216,ENSMUSG00000092216,ortholog_one2one
ENSMUSG00000095800,ENSMUSG00000095800,ortholog_one2one
ENSMUSG00000091060,ENSMUSG00000091060,ortholog_one2one
ENSMUSG00000036356,ENSMUSG00000036356,ortholog_one2one
ENSMUSG00000094909,ENSMUSG00000094909,ortholog_one2one
ENSMUSG00000060878,ENSMUSG00000060878,ortholog_one2one
ENSMUSG00000078612,ENSMUSG00000078612,ortholog_one2one
ENSMUSG00000073977,ENSMUSG00000073977,ortholog_one2one
ENSMUSG00000093881,ENSMUSG00000093881,ortholog_one2one
ENSMUSG00000067545,ENSMUSG00000067545,ortholog_one2one
ENSMUSG00000026697,ENSMUSG00000026697,ortholog_one2one
ENSMUSG00000073978,ENSMUSG00000073978,ortholog_one2one
ENSMUSG00000094459,ENSMUSG00000094459,ortholog_one2one
ENSMUSG00000020064,ENSMUSG00000020064,ortholog_one2one
ENSMUSG00000001052,ENSMUSG00000001052,ortholog_one2one
ENSMUSG00000060556,ENSMUSG00000060556,ortholog_one2one
ENSMUSG00000095083,ENSMUSG00000095083,ortholog_one2one
ENSMUSG00000073979,ENSMUSG00000073979,ortholog_one2one
ENSMUSG00000028240,ENSMUSG00000028240,ortholog_one2one
ENSMUSG00000094399,ENSMUSG00000094399,ortholog_one2one
ENSMUSG00000048292,ENSMUSG00000048292,ortholog_one2one
ENSMUSG00000044824,ENSMUSG00000044824,ortholog_one2one
ENSMUSG00000023953,ENSMUSG00000023953,ortholog_one2one
ENSMUSG00000094716,ENSMUSG00000094716,ortholog_one2one
ENSMUSG00000032000,ENSMUSG00000032000,ortholog_one2one
ENSMUSG00000096625,ENSMUSG00000096625,ortholog_one2one
ENSMUSG00000043925,ENSMUSG00000043925,ortholog_one2one
ENSMUSG00000020884,ENSMUSG00000020884,ortholog_one2one
ENSMUSG00000029486,ENSMUSG00000029486,ortholog_one2one
ENSMUSG00000067848,ENSMUSG00000067848,ortholog_one2one
ENSMUSG00000094761,ENSMUSG00000094761,ortholog_one2one
ENSMUSG00000044814,ENSMUSG00000044814,ortholog_one2one
ENSMUSG00000053175,ENSMUSG00000053175,ortholog_one2one
ENSMUSG00000034467,ENSMUSG00000034467,ortholog_one2one
ENSMUSG00000020048,ENSMUSG00000020048,ortholog_one2one
ENSMUSG00000095303,ENSMUSG00000095303,ortholog_one2one
ENSMUSG00000045391,ENSMUSG00000045391,ortholog_one2one
