Ensembl.Gene.ID	Paralog.Ensembl.Gene.ID	Ancestor
ENSMUSG00000042796	ENSMUSG00000045392	Mus musculus
ENSMUSG00000043162	ENSMUSG00000098753	Mus musculus
ENSMUSG00000043346	ENSMUSG00000053916	Mus musculus
ENSMUSG00000043472	ENSMUSG00000054325	Mus musculus
ENSMUSG00000043549	ENSMUSG00000079112	Mus musculus
ENSMUSG00000043683	ENSMUSG00000078157	Mus musculus
ENSMUSG00000043687	ENSMUSG00000097919	Mus musculus
ENSMUSG00000043787	ENSMUSG00000058052	Mus musculus
ENSMUSG00000043866	ENSMUSG00000071151	Mus musculus
ENSMUSG00000043897	ENSMUSG00000068999	Mus musculus
ENSMUSG00000043945	ENSMUSG00000051804	Mus musculus
ENSMUSG00000044029	ENSMUSG00000090629	Mus musculus
ENSMUSG00000044121	ENSMUSG00000079522	Mus musculus
ENSMUSG00000044227	ENSMUSG00000068068	Mus musculus
ENSMUSG00000044258	ENSMUSG00000074874	Mus musculus
ENSMUSG00000044501	ENSMUSG00000071266	Mus musculus
ENSMUSG00000044792	ENSMUSG00000078139	Mus musculus
ENSMUSG00000045031	ENSMUSG00000096375	Mus musculus
ENSMUSG00000045062	ENSMUSG00000051242	Mus musculus
ENSMUSG00000045126	ENSMUSG00000048456	Mus musculus
ENSMUSG00000045148	ENSMUSG00000068806	Mus musculus
ENSMUSG00000045455	ENSMUSG00000048007	Mus musculus
ENSMUSG00000045713	ENSMUSG00000057161	Mus musculus
ENSMUSG00000045842	ENSMUSG00000062175	Mus musculus
ENSMUSG00000045868	ENSMUSG00000078606	Mus musculus
ENSMUSG00000045929	ENSMUSG00000093536	Mus musculus
ENSMUSG00000046130	ENSMUSG00000091924	Mus musculus
ENSMUSG00000046157	ENSMUSG00000056219	Mus musculus
ENSMUSG00000046364	ENSMUSG00000057036	Mus musculus
ENSMUSG00000046411	ENSMUSG00000063171	Mus musculus
ENSMUSG00000046516	ENSMUSG00000095464	Mus musculus
ENSMUSG00000046667	ENSMUSG00000052137	Mus musculus
ENSMUSG00000046687	ENSMUSG00000076441	Mus musculus
ENSMUSG00000046711	ENSMUSG00000078249	Mus musculus
ENSMUSG00000047079	ENSMUSG00000050435	Mus musculus
ENSMUSG00000047222	ENSMUSG00000059606	Mus musculus
ENSMUSG00000047370	ENSMUSG00000050628	Mus musculus
ENSMUSG00000047417	ENSMUSG00000094635	Mus musculus
ENSMUSG00000047667	ENSMUSG00000058515	Mus musculus
ENSMUSG00000047844	ENSMUSG00000075269	Mus musculus
ENSMUSG00000047889	ENSMUSG00000052180	Mus musculus
ENSMUSG00000047977	ENSMUSG00000098773	Mus musculus
ENSMUSG00000047980	ENSMUSG00000091411	Mus musculus
ENSMUSG00000048040	ENSMUSG00000048355	Mus musculus
ENSMUSG00000048185	ENSMUSG00000051234	Mus musculus
ENSMUSG00000048222	ENSMUSG00000068479	Mus musculus
ENSMUSG00000048292	ENSMUSG00000060556	Mus musculus
ENSMUSG00000048411	ENSMUSG00000073722	Mus musculus
ENSMUSG00000048440	ENSMUSG00000062464	Mus musculus
ENSMUSG00000048500	ENSMUSG00000052554	Mus musculus
ENSMUSG00000049123	ENSMUSG00000049676	Mus musculus
ENSMUSG00000049152	ENSMUSG00000072664	Mus musculus
ENSMUSG00000049214	ENSMUSG00000078599	Mus musculus
ENSMUSG00000049233	ENSMUSG00000079508	Mus musculus
ENSMUSG00000049362	ENSMUSG00000071510	Mus musculus
ENSMUSG00000049674	ENSMUSG00000073898	Mus musculus
ENSMUSG00000049758	ENSMUSG00000050776	Mus musculus
ENSMUSG00000049972	ENSMUSG00000057977	Mus musculus
ENSMUSG00000050043	ENSMUSG00000071035	Mus musculus
ENSMUSG00000050128	ENSMUSG00000057761	Mus musculus
ENSMUSG00000050141	ENSMUSG00000083929	Mus musculus
ENSMUSG00000050251	ENSMUSG00000052818	Mus musculus
ENSMUSG00000050347	ENSMUSG00000079523	Mus musculus
ENSMUSG00000050440	ENSMUSG00000056978	Mus musculus
ENSMUSG00000050490	ENSMUSG00000068749	Mus musculus
ENSMUSG00000050603	ENSMUSG00000075192	Mus musculus
ENSMUSG00000050621	ENSMUSG00000090733	Mus musculus
ENSMUSG00000050708	ENSMUSG00000062382	Mus musculus
ENSMUSG00000050756	ENSMUSG00000059230	Mus musculus
ENSMUSG00000051029	ENSMUSG00000079049	Mus musculus
ENSMUSG00000051255	ENSMUSG00000078427	Mus musculus
ENSMUSG00000051355	ENSMUSG00000098650	Mus musculus
ENSMUSG00000052270	ENSMUSG00000079700	Mus musculus
ENSMUSG00000052305	ENSMUSG00000073940	Mus musculus
ENSMUSG00000052414	ENSMUSG00000099083	Mus musculus
ENSMUSG00000052776	ENSMUSG00000066861	Mus musculus
ENSMUSG00000052909	ENSMUSG00000071291	Mus musculus
ENSMUSG00000053128	ENSMUSG00000072476	Mus musculus
ENSMUSG00000053205	ENSMUSG00000071748	Mus musculus
ENSMUSG00000053219	ENSMUSG00000078452	Mus musculus
ENSMUSG00000053251	ENSMUSG00000081649	Mus musculus
ENSMUSG00000053287	ENSMUSG00000059379	Mus musculus
ENSMUSG00000053769	ENSMUSG00000094935	Mus musculus
ENSMUSG00000054072	ENSMUSG00000073555	Mus musculus
ENSMUSG00000054385	ENSMUSG00000074272	Mus musculus
ENSMUSG00000054545	ENSMUSG00000090145	Mus musculus
ENSMUSG00000054759	ENSMUSG00000056885	Mus musculus
ENSMUSG00000055172	ENSMUSG00000098470	Mus musculus
ENSMUSG00000055302	ENSMUSG00000096361	Mus musculus
ENSMUSG00000055416	ENSMUSG00000057497	Mus musculus
ENSMUSG00000055452	ENSMUSG00000075600	Mus musculus
ENSMUSG00000055594	ENSMUSG00000095412	Mus musculus
ENSMUSG00000056019	ENSMUSG00000091388	Mus musculus
ENSMUSG00000056116	ENSMUSG00000079491	Mus musculus
ENSMUSG00000056133	ENSMUSG00000067049	Mus musculus
ENSMUSG00000056144	ENSMUSG00000090215	Mus musculus
ENSMUSG00000056383	ENSMUSG00000074166	Mus musculus
ENSMUSG00000056815	ENSMUSG00000059690	Mus musculus
ENSMUSG00000056822	ENSMUSG00000061361	Mus musculus
ENSMUSG00000056853	ENSMUSG00000059762	Mus musculus
ENSMUSG00000056858	ENSMUSG00000062314	Mus musculus
ENSMUSG00000056921	ENSMUSG00000094488	Mus musculus
ENSMUSG00000057103	ENSMUSG00000089634	Mus musculus
ENSMUSG00000057179	ENSMUSG00000059069	Mus musculus
ENSMUSG00000057207	ENSMUSG00000059873	Mus musculus
ENSMUSG00000057270	ENSMUSG00000059105	Mus musculus
ENSMUSG00000057346	ENSMUSG00000068246	Mus musculus
ENSMUSG00000057400	ENSMUSG00000078964	Mus musculus
ENSMUSG00000057443	ENSMUSG00000096840	Mus musculus
ENSMUSG00000057444	ENSMUSG00000060114	Mus musculus
ENSMUSG00000057465	ENSMUSG00000074115	Mus musculus
ENSMUSG00000057770	ENSMUSG00000063582	Mus musculus
ENSMUSG00000057817	ENSMUSG00000060303	Mus musculus
ENSMUSG00000057903	ENSMUSG00000095917	Mus musculus
ENSMUSG00000057981	ENSMUSG00000093692	Mus musculus
ENSMUSG00000058101	ENSMUSG00000063888	Mus musculus
ENSMUSG00000058188	ENSMUSG00000060084	Mus musculus
ENSMUSG00000058295	ENSMUSG00000059934	Mus musculus
ENSMUSG00000058435	ENSMUSG00000058762	Mus musculus
ENSMUSG00000058491	ENSMUSG00000066897	Mus musculus
ENSMUSG00000058550	ENSMUSG00000092039	Mus musculus
ENSMUSG00000058773	ENSMUSG00000091230	Mus musculus
ENSMUSG00000058799	ENSMUSG00000079139	Mus musculus
ENSMUSG00000058820	ENSMUSG00000095194	Mus musculus
ENSMUSG00000058856	ENSMUSG00000063176	Mus musculus
ENSMUSG00000058923	ENSMUSG00000090346	Mus musculus
ENSMUSG00000058927	ENSMUSG00000063694	Mus musculus
ENSMUSG00000059040	ENSMUSG00000063524	Mus musculus
ENSMUSG00000059128	ENSMUSG00000060747	Mus musculus
ENSMUSG00000059134	ENSMUSG00000061961	Mus musculus
ENSMUSG00000059142	ENSMUSG00000096433	Mus musculus
ENSMUSG00000059179	ENSMUSG00000092086	Mus musculus
ENSMUSG00000059205	ENSMUSG00000062272	Mus musculus
ENSMUSG00000059280	ENSMUSG00000059305	Mus musculus
ENSMUSG00000059429	ENSMUSG00000078198	Mus musculus
ENSMUSG00000059503	ENSMUSG00000066672	Mus musculus
ENSMUSG00000059663	ENSMUSG00000072888	Mus musculus
ENSMUSG00000059729	ENSMUSG00000062285	Mus musculus
ENSMUSG00000059830	ENSMUSG00000064326	Mus musculus
ENSMUSG00000059839	ENSMUSG00000069206	Mus musculus
ENSMUSG00000059874	ENSMUSG00000073953	Mus musculus
ENSMUSG00000059910	ENSMUSG00000075067	Mus musculus
ENSMUSG00000059964	ENSMUSG00000060017	Mus musculus
ENSMUSG00000059990	ENSMUSG00000075215	Mus musculus
ENSMUSG00000060030	ENSMUSG00000063549	Mus musculus
ENSMUSG00000060049	ENSMUSG00000094133	Mus musculus
ENSMUSG00000060057	ENSMUSG00000094539	Mus musculus
ENSMUSG00000060105	ENSMUSG00000073923	Mus musculus
ENSMUSG00000060256	ENSMUSG00000096879	Mus musculus
ENSMUSG00000060317	ENSMUSG00000070985	Mus musculus
ENSMUSG00000060404	ENSMUSG00000071522	Mus musculus
ENSMUSG00000060407	ENSMUSG00000091867	Mus musculus
ENSMUSG00000060422	ENSMUSG00000061704	Mus musculus
ENSMUSG00000060503	ENSMUSG00000062987	Mus musculus
ENSMUSG00000060523	ENSMUSG00000068437	Mus musculus
ENSMUSG00000060759	ENSMUSG00000070421	Mus musculus
ENSMUSG00000060816	ENSMUSG00000062546	Mus musculus
ENSMUSG00000061000	ENSMUSG00000096209	Mus musculus
ENSMUSG00000061283	ENSMUSG00000063242	Mus musculus
ENSMUSG00000061342	ENSMUSG00000075132	Mus musculus
ENSMUSG00000061392	ENSMUSG00000064129	Mus musculus
ENSMUSG00000061457	ENSMUSG00000066899	Mus musculus
ENSMUSG00000061477	ENSMUSG00000095597	Mus musculus
ENSMUSG00000061479	ENSMUSG00000071273	Mus musculus
ENSMUSG00000061518	ENSMUSG00000079941	Mus musculus
ENSMUSG00000061520	ENSMUSG00000068819	Mus musculus
ENSMUSG00000061544	ENSMUSG00000067928	Mus musculus
ENSMUSG00000061561	ENSMUSG00000069998	Mus musculus
ENSMUSG00000061619	ENSMUSG00000073131	Mus musculus
ENSMUSG00000061637	ENSMUSG00000062199	Mus musculus
ENSMUSG00000061798	ENSMUSG00000064084	Mus musculus
ENSMUSG00000061991	ENSMUSG00000071516	Mus musculus
ENSMUSG00000062042	ENSMUSG00000062878	Mus musculus
ENSMUSG00000062070	ENSMUSG00000066632	Mus musculus
ENSMUSG00000062087	ENSMUSG00000062501	Mus musculus
ENSMUSG00000062103	ENSMUSG00000064333	Mus musculus
ENSMUSG00000062181	ENSMUSG00000069922	Mus musculus
ENSMUSG00000062186	ENSMUSG00000070383	Mus musculus
ENSMUSG00000062417	ENSMUSG00000075032	Mus musculus
ENSMUSG00000062488	ENSMUSG00000074896	Mus musculus
ENSMUSG00000062496	ENSMUSG00000090284	Mus musculus
ENSMUSG00000062511	ENSMUSG00000091053	Mus musculus
ENSMUSG00000062518	ENSMUSG00000066007	Mus musculus
ENSMUSG00000062543	ENSMUSG00000093867	Mus musculus
ENSMUSG00000062593	ENSMUSG00000089672	Mus musculus
ENSMUSG00000062621	ENSMUSG00000094810	Mus musculus
ENSMUSG00000062914	ENSMUSG00000063452	Mus musculus
ENSMUSG00000063020	ENSMUSG00000068182	Mus musculus
ENSMUSG00000063047	ENSMUSG00000070709	Mus musculus
ENSMUSG00000063116	ENSMUSG00000070379	Mus musculus
ENSMUSG00000063120	ENSMUSG00000063764	Mus musculus
ENSMUSG00000063316	ENSMUSG00000073640	Mus musculus
ENSMUSG00000063364	ENSMUSG00000095315	Mus musculus
ENSMUSG00000063374	ENSMUSG00000069430	Mus musculus
ENSMUSG00000063480	ENSMUSG00000063543	Mus musculus
ENSMUSG00000063611	ENSMUSG00000091831	Mus musculus
ENSMUSG00000063696	ENSMUSG00000067274	Mus musculus
ENSMUSG00000063953	ENSMUSG00000075232	Mus musculus
ENSMUSG00000063994	ENSMUSG00000080990	Mus musculus
ENSMUSG00000063998	ENSMUSG00000069294	Mus musculus
ENSMUSG00000064016	ENSMUSG00000073173	Mus musculus
ENSMUSG00000064223	ENSMUSG00000073900	Mus musculus
ENSMUSG00000064266	ENSMUSG00000095586	Mus musculus
ENSMUSG00000064299	ENSMUSG00000074146	Mus musculus
ENSMUSG00000065947	ENSMUSG00000067736	Mus musculus
ENSMUSG00000066061	ENSMUSG00000095218	Mus musculus
ENSMUSG00000066071	ENSMUSG00000078597	Mus musculus
ENSMUSG00000066100	ENSMUSG00000073785	Mus musculus
ENSMUSG00000066122	ENSMUSG00000094819	Mus musculus
ENSMUSG00000066272	ENSMUSG00000066273	Mus musculus
ENSMUSG00000066364	ENSMUSG00000079013	Mus musculus
ENSMUSG00000066442	ENSMUSG00000079427	Mus musculus
ENSMUSG00000066583	ENSMUSG00000078752	Mus musculus
ENSMUSG00000066584	ENSMUSG00000066586	Mus musculus
ENSMUSG00000066592	ENSMUSG00000070343	Mus musculus
ENSMUSG00000066682	ENSMUSG00000066684	Mus musculus
ENSMUSG00000067229	ENSMUSG00000067231	Mus musculus
ENSMUSG00000067297	ENSMUSG00000079339	Mus musculus
ENSMUSG00000067513	ENSMUSG00000096436	Mus musculus
ENSMUSG00000067561	ENSMUSG00000067562	Mus musculus
ENSMUSG00000067833	ENSMUSG00000072829	Mus musculus
ENSMUSG00000067924	ENSMUSG00000067925	Mus musculus
ENSMUSG00000067929	ENSMUSG00000073448	Mus musculus
ENSMUSG00000067996	ENSMUSG00000067998	Mus musculus
ENSMUSG00000068046	ENSMUSG00000099234	Mus musculus
ENSMUSG00000068113	ENSMUSG00000090102	Mus musculus
ENSMUSG00000068349	ENSMUSG00000068600	Mus musculus
ENSMUSG00000068523	ENSMUSG00000096173	Mus musculus
ENSMUSG00000068604	ENSMUSG00000096177	Mus musculus
ENSMUSG00000068874	ENSMUSG00000068877	Mus musculus
ENSMUSG00000069273	ENSMUSG00000074403	Mus musculus
ENSMUSG00000069324	ENSMUSG00000074768	Mus musculus
ENSMUSG00000069390	ENSMUSG00000073899	Mus musculus
ENSMUSG00000069515	ENSMUSG00000069516	Mus musculus
ENSMUSG00000069668	ENSMUSG00000090298	Mus musculus
ENSMUSG00000069721	ENSMUSG00000069722	Mus musculus
ENSMUSG00000069874	ENSMUSG00000078853	Mus musculus
ENSMUSG00000069899	ENSMUSG00000073468	Mus musculus
ENSMUSG00000069917	ENSMUSG00000069919	Mus musculus
ENSMUSG00000070313	ENSMUSG00000074448	Mus musculus
ENSMUSG00000070374	ENSMUSG00000070375	Mus musculus
ENSMUSG00000070377	ENSMUSG00000070378	Mus musculus
ENSMUSG00000070459	ENSMUSG00000070460	Mus musculus
ENSMUSG00000070522	ENSMUSG00000075054	Mus musculus
ENSMUSG00000070550	ENSMUSG00000070551	Mus musculus
