Ensembl.Gene.ID	Human.Paralog.Ensembl.Gene.ID	Paralogs.Number	Ancestor
ENSG00000136697	ENSG00000136694	5	Amniota
ENSG00000136697	ENSG00000136696	5	Amniota
ENSG00000136697	ENSG00000125571	5	Amniota
ENSG00000240764	ENSG00000242419	1	Amniota
ENSG00000089127	ENSG00000111331	3	Amniota
ENSG00000089127	ENSG00000111335	3	Amniota
ENSG00000089127	ENSG00000135114	3	Amniota
ENSG00000255974	ENSG00000197408	1	Amniota
ENSG00000221937	ENSG00000127364	7	Amniota
ENSG00000221937	ENSG00000169777	7	Amniota
ENSG00000221937	ENSG00000257138	7	Amniota
ENSG00000221937	ENSG00000221855	7	Amniota
ENSG00000221937	ENSG00000185899	7	Amniota
ENSG00000221937	ENSG00000127366	7	Amniota
ENSG00000221937	ENSG00000128519	7	Amniota
ENSG00000136689	ENSG00000136695	6	Amniota
ENSG00000136689	ENSG00000136697	6	Amniota
ENSG00000136689	ENSG00000136688	6	Amniota
ENSG00000136689	ENSG00000136694	6	Amniota
ENSG00000136689	ENSG00000136696	6	Amniota
ENSG00000136689	ENSG00000125571	6	Amniota
ENSG00000198077	ENSG00000197408	1	Amniota
ENSG00000222036	ENSG00000170160	3	Amniota
ENSG00000222036	ENSG00000266302	3	Amniota
ENSG00000222036	ENSG00000106013	3	Amniota
ENSG00000197408	ENSG00000198077	3	Amniota
ENSG00000197408	ENSG00000197838	3	Amniota
ENSG00000197408	ENSG00000255974	3	Amniota
ENSG00000198161	ENSG00000196262	1	Amniota
ENSG00000133048	ENSG00000064886	2	Amniota
ENSG00000133048	ENSG00000133063	2	Amniota
ENSG00000111331	ENSG00000111335	3	Amniota
ENSG00000111331	ENSG00000089127	3	Amniota
ENSG00000111331	ENSG00000135114	3	Amniota
ENSG00000133063	ENSG00000133048	2	Amniota
ENSG00000133063	ENSG00000064886	2	Amniota
ENSG00000204427	ENSG00000183260	1	Amniota
ENSG00000183558	ENSG00000246705	4	Amniota
ENSG00000183558	ENSG00000184260	4	Amniota
ENSG00000183558	ENSG00000180573	4	Amniota
ENSG00000183558	ENSG00000181218	4	Amniota
ENSG00000187537	ENSG00000170160	3	Amniota
ENSG00000187537	ENSG00000266302	3	Amniota
ENSG00000187537	ENSG00000106013	3	Amniota
ENSG00000203812	ENSG00000246705	4	Amniota
ENSG00000203812	ENSG00000184260	4	Amniota
ENSG00000203812	ENSG00000180573	4	Amniota
ENSG00000203812	ENSG00000181218	4	Amniota
ENSG00000171115	ENSG00000133561	4	Amniota
ENSG00000171115	ENSG00000196329	4	Amniota
ENSG00000171115	ENSG00000213203	4	Amniota
ENSG00000171115	ENSG00000106560	4	Amniota
ENSG00000197838	ENSG00000197408	1	Amniota
ENSG00000161572	ENSG00000141316	1	Amniota
ENSG00000176294	ENSG00000182974	6	Amniota
ENSG00000176294	ENSG00000176299	6	Amniota
ENSG00000176294	ENSG00000171014	6	Amniota
ENSG00000176294	ENSG00000182652	6	Amniota
ENSG00000176294	ENSG00000221977	6	Amniota
ENSG00000176294	ENSG00000196383	6	Amniota
ENSG00000182652	ENSG00000183706	8	Amniota
ENSG00000182652	ENSG00000182974	8	Amniota
ENSG00000182652	ENSG00000171014	8	Amniota
ENSG00000182652	ENSG00000184394	8	Amniota
ENSG00000182652	ENSG00000176299	8	Amniota
ENSG00000182652	ENSG00000176294	8	Amniota
ENSG00000182652	ENSG00000221977	8	Amniota
ENSG00000182652	ENSG00000196383	8	Amniota
ENSG00000176299	ENSG00000183706	7	Amniota
ENSG00000176299	ENSG00000184394	7	Amniota
ENSG00000176299	ENSG00000176294	7	Amniota
ENSG00000176299	ENSG00000171014	7	Amniota
ENSG00000176299	ENSG00000182652	7	Amniota
ENSG00000176299	ENSG00000221977	7	Amniota
ENSG00000176299	ENSG00000196383	7	Amniota
ENSG00000179144	ENSG00000133574	1	Amniota
ENSG00000184260	ENSG00000183558	5	Amniota
ENSG00000184260	ENSG00000203812	5	Amniota
ENSG00000184260	ENSG00000246705	5	Amniota
ENSG00000184260	ENSG00000180573	5	Amniota
ENSG00000184260	ENSG00000181218	5	Amniota
ENSG00000184394	ENSG00000182974	6	Amniota
ENSG00000184394	ENSG00000176299	6	Amniota
ENSG00000184394	ENSG00000171014	6	Amniota
ENSG00000184394	ENSG00000182652	6	Amniota
ENSG00000184394	ENSG00000221977	6	Amniota
ENSG00000184394	ENSG00000196383	6	Amniota
ENSG00000100077	ENSG00000173020	1	Amniota
ENSG00000013441	ENSG00000113240	1	Amniota
ENSG00000104921	ENSG00000182566	2	Amniota
ENSG00000104921	ENSG00000187912	2	Amniota
ENSG00000161573	ENSG00000161570	1	Amniota
ENSG00000133574	ENSG00000179144	1	Amniota
ENSG00000182566	ENSG00000187912	2	Amniota
ENSG00000182566	ENSG00000104921	2	Amniota
ENSG00000133561	ENSG00000171115	1	Amniota
ENSG00000198585	ENSG00000168101	1	Amniota
ENSG00000106560	ENSG00000171115	1	Amniota
ENSG00000197208	ENSG00000197375	1	Amniota
ENSG00000213203	ENSG00000171115	1	Amniota
ENSG00000196329	ENSG00000171115	1	Amniota
ENSG00000197375	ENSG00000197208	1	Amniota
ENSG00000148513	ENSG00000170160	3	Amniota
ENSG00000148513	ENSG00000266302	3	Amniota
ENSG00000148513	ENSG00000106013	3	Amniota
ENSG00000111335	ENSG00000111331	3	Amniota
ENSG00000111335	ENSG00000089127	3	Amniota
ENSG00000111335	ENSG00000135114	3	Amniota
ENSG00000006606	ENSG00000161570	1	Amniota
ENSG00000025423	ENSG00000170426	1	Amniota
ENSG00000223443	ENSG00000106346	1	Amniota
ENSG00000134042	ENSG00000171495	1	Amniota
ENSG00000135114	ENSG00000111331	3	Amniota
ENSG00000135114	ENSG00000089127	3	Amniota
ENSG00000135114	ENSG00000111335	3	Amniota
ENSG00000170426	ENSG00000139547	2	Amniota
ENSG00000170426	ENSG00000025423	2	Amniota
ENSG00000139547	ENSG00000170426	1	Amniota
ENSG00000176979	ENSG00000204599	3	Amniota
ENSG00000176979	ENSG00000248167	3	Amniota
ENSG00000176979	ENSG00000146054	3	Amniota
ENSG00000164256	ENSG00000256566	3	Amniota
ENSG00000164256	ENSG00000256087	3	Amniota
ENSG00000164256	ENSG00000088876	3	Amniota
ENSG00000244242	ENSG00000185885	3	Amniota
ENSG00000244242	ENSG00000142089	3	Amniota
ENSG00000244242	ENSG00000185201	3	Amniota
ENSG00000174501	ENSG00000170160	3	Amniota
ENSG00000174501	ENSG00000266302	3	Amniota
ENSG00000174501	ENSG00000106013	3	Amniota
ENSG00000250644	ENSG00000185885	3	Amniota
ENSG00000250644	ENSG00000142089	3	Amniota
ENSG00000250644	ENSG00000185201	3	Amniota
ENSG00000172381	ENSG00000197532	3	Amniota
ENSG00000172381	ENSG00000184933	3	Amniota
ENSG00000172381	ENSG00000186440	3	Amniota
ENSG00000180475	ENSG00000172289	2	Amniota
ENSG00000180475	ENSG00000172772	2	Amniota
ENSG00000172772	ENSG00000172289	2	Amniota
ENSG00000172772	ENSG00000180475	2	Amniota
ENSG00000182170	ENSG00000130368	1	Amniota
ENSG00000184350	ENSG00000130368	1	Amniota
ENSG00000205542	ENSG00000154620	3	Amniota
ENSG00000205542	ENSG00000158427	3	Amniota
ENSG00000205542	ENSG00000158164	3	Amniota
ENSG00000149124	ENSG00000203972	1	Amniota
ENSG00000156689	ENSG00000203972	1	Amniota
ENSG00000170613	ENSG00000172717	4	Amniota
ENSG00000170613	ENSG00000267706	4	Amniota
ENSG00000170613	ENSG00000142530	4	Amniota
ENSG00000170613	ENSG00000180043	4	Amniota
ENSG00000182952	ENSG00000198830	1	Amniota
ENSG00000166840	ENSG00000203972	1	Amniota
ENSG00000181315	ENSG00000196391	1	Amniota
ENSG00000125945	ENSG00000196391	1	Amniota
ENSG00000105227	ENSG00000185567	2	Amniota
ENSG00000105227	ENSG00000124942	2	Amniota
ENSG00000185899	ENSG00000221937	4	Amniota
ENSG00000185899	ENSG00000127364	4	Amniota
ENSG00000185899	ENSG00000169777	4	Amniota
ENSG00000185899	ENSG00000236398	4	Amniota
ENSG00000221855	ENSG00000221937	4	Amniota
ENSG00000221855	ENSG00000127364	4	Amniota
ENSG00000221855	ENSG00000169777	4	Amniota
ENSG00000221855	ENSG00000236398	4	Amniota
ENSG00000111701	ENSG00000243811	7	Amniota
ENSG00000111701	ENSG00000128394	7	Amniota
ENSG00000111701	ENSG00000244509	7	Amniota
ENSG00000111701	ENSG00000179750	7	Amniota
ENSG00000111701	ENSG00000100298	7	Amniota
ENSG00000111701	ENSG00000239713	7	Amniota
ENSG00000111701	ENSG00000128383	7	Amniota
ENSG00000126233	ENSG00000197353	1	Amniota
ENSG00000197353	ENSG00000126233	1	Amniota
ENSG00000172289	ENSG00000180475	2	Amniota
ENSG00000172289	ENSG00000172772	2	Amniota
ENSG00000147081	ENSG00000111254	1	Amniota
ENSG00000254535	ENSG00000090621	1	Amniota
ENSG00000134830	ENSG00000171051	4	Amniota
ENSG00000134830	ENSG00000187474	4	Amniota
ENSG00000134830	ENSG00000171049	4	Amniota
ENSG00000134830	ENSG00000142511	4	Amniota
ENSG00000154620	ENSG00000205542	3	Amniota
ENSG00000154620	ENSG00000158427	3	Amniota
ENSG00000154620	ENSG00000158164	3	Amniota
ENSG00000197140	ENSG00000104755	3	Amniota
ENSG00000197140	ENSG00000168619	3	Amniota
ENSG00000197140	ENSG00000134028	3	Amniota
ENSG00000130368	ENSG00000183695	9	Amniota
ENSG00000130368	ENSG00000184350	9	Amniota
ENSG00000130368	ENSG00000179817	9	Amniota
ENSG00000130368	ENSG00000172938	9	Amniota
ENSG00000130368	ENSG00000179826	9	Amniota
ENSG00000130368	ENSG00000182170	9	Amniota
ENSG00000130368	ENSG00000170255	9	Amniota
ENSG00000130368	ENSG00000204687	9	Amniota
ENSG00000130368	ENSG00000172935	9	Amniota
ENSG00000183260	ENSG00000204427	1	Amniota
ENSG00000168619	ENSG00000197140	3	Amniota
ENSG00000168619	ENSG00000104755	3	Amniota
ENSG00000168619	ENSG00000134028	3	Amniota
ENSG00000166526	ENSG00000160908	5	Amniota
ENSG00000166526	ENSG00000103199	5	Amniota
ENSG00000166526	ENSG00000182318	5	Amniota
ENSG00000166526	ENSG00000103343	5	Amniota
ENSG00000166526	ENSG00000235109	5	Amniota
ENSG00000244067	ENSG00000170899	1	Amniota
ENSG00000073050	ENSG00000268361	1	Amniota
ENSG00000110079	ENSG00000214782	4	Amniota
ENSG00000110079	ENSG00000166961	4	Amniota
ENSG00000110079	ENSG00000071203	4	Amniota
ENSG00000110079	ENSG00000166959	4	Amniota
ENSG00000120563	ENSG00000141316	1	Amniota
ENSG00000104755	ENSG00000197140	3	Amniota
ENSG00000104755	ENSG00000168619	3	Amniota
ENSG00000104755	ENSG00000134028	3	Amniota
ENSG00000127364	ENSG00000221937	8	Amniota
ENSG00000127364	ENSG00000236398	8	Amniota
ENSG00000127364	ENSG00000169777	8	Amniota
ENSG00000127364	ENSG00000257138	8	Amniota
ENSG00000127364	ENSG00000221855	8	Amniota
ENSG00000127364	ENSG00000185899	8	Amniota
ENSG00000127364	ENSG00000127366	8	Amniota
ENSG00000127364	ENSG00000128519	8	Amniota
ENSG00000127366	ENSG00000221937	4	Amniota
ENSG00000127366	ENSG00000127364	4	Amniota
ENSG00000127366	ENSG00000169777	4	Amniota
ENSG00000127366	ENSG00000236398	4	Amniota
ENSG00000243955	ENSG00000170899	1	Amniota
ENSG00000268361	ENSG00000073050	1	Amniota
ENSG00000181803	ENSG00000221931	2	Amniota
ENSG00000181803	ENSG00000181499	2	Amniota
ENSG00000165076	ENSG00000213022	4	Amniota
ENSG00000165076	ENSG00000167757	4	Amniota
ENSG00000165076	ENSG00000186474	4	Amniota
ENSG00000165076	ENSG00000269741	4	Amniota
ENSG00000142224	ENSG00000162891	2	Amniota
ENSG00000142224	ENSG00000162892	2	Amniota
ENSG00000258818	ENSG00000214274	1	Amniota
ENSG00000162891	ENSG00000142224	2	Amniota
ENSG00000162891	ENSG00000162892	2	Amniota
ENSG00000162892	ENSG00000162891	2	Amniota
ENSG00000162892	ENSG00000142224	2	Amniota
ENSG00000214274	ENSG00000165799	7	Amniota
ENSG00000214274	ENSG00000169413	7	Amniota
ENSG00000214274	ENSG00000173431	7	Amniota
ENSG00000214274	ENSG00000169397	7	Amniota
ENSG00000214274	ENSG00000258818	7	Amniota
ENSG00000214274	ENSG00000129538	7	Amniota
ENSG00000214274	ENSG00000169385	7	Amniota
ENSG00000162894	ENSG00000162897	1	Amniota
ENSG00000169413	ENSG00000214274	1	Amniota
ENSG00000129538	ENSG00000214274	1	Amniota
ENSG00000162897	ENSG00000162894	1	Amniota
ENSG00000071203	ENSG00000166961	2	Amniota
ENSG00000071203	ENSG00000110079	2	Amniota
ENSG00000116176	ENSG00000172382	2	Amniota
ENSG00000116176	ENSG00000005001	2	Amniota
ENSG00000182793	ENSG00000170899	1	Amniota
ENSG00000221996	ENSG00000181616	2	Amniota
ENSG00000221996	ENSG00000187747	2	Amniota
ENSG00000166959	ENSG00000166961	2	Amniota
ENSG00000166959	ENSG00000110079	2	Amniota
ENSG00000243566	ENSG00000205236	2	Amniota
ENSG00000243566	ENSG00000267368	2	Amniota
ENSG00000214782	ENSG00000166961	2	Amniota
ENSG00000214782	ENSG00000110079	2	Amniota
ENSG00000166961	ENSG00000214782	4	Amniota
ENSG00000166961	ENSG00000071203	4	Amniota
ENSG00000166961	ENSG00000166959	4	Amniota
ENSG00000166961	ENSG00000110079	4	Amniota
ENSG00000169397	ENSG00000214274	1	Amniota
ENSG00000169385	ENSG00000214274	1	Amniota
ENSG00000174156	ENSG00000170899	1	Amniota
ENSG00000184357	ENSG00000124610	2	Amniota
ENSG00000184357	ENSG00000187475	2	Amniota
ENSG00000149506	ENSG00000116996	1	Amniota
ENSG00000123838	ENSG00000196352	1	Amniota
ENSG00000197428	ENSG00000167332	1	Amniota
ENSG00000180785	ENSG00000167332	1	Amniota
ENSG00000167332	ENSG00000180785	2	Amniota
ENSG00000167332	ENSG00000197428	2	Amniota
ENSG00000171855	ENSG00000147896	1	Amniota
ENSG00000258083	ENSG00000169214	1	Amniota
ENSG00000196352	ENSG00000123838	2	Amniota
ENSG00000196352	ENSG00000117335	2	Amniota
ENSG00000176937	ENSG00000180988	4	Amniota
ENSG00000176937	ENSG00000181001	4	Amniota
ENSG00000176937	ENSG00000181074	4	Amniota
ENSG00000176937	ENSG00000181009	4	Amniota
ENSG00000176904	ENSG00000176798	1	Amniota
ENSG00000184995	ENSG00000147896	1	Amniota
ENSG00000257138	ENSG00000221937	4	Amniota
ENSG00000257138	ENSG00000127364	4	Amniota
ENSG00000257138	ENSG00000169777	4	Amniota
ENSG00000257138	ENSG00000236398	4	Amniota
ENSG00000176798	ENSG00000176904	1	Amniota
ENSG00000176742	ENSG00000167360	2	Amniota
ENSG00000176742	ENSG00000184698	2	Amniota
ENSG00000170899	ENSG00000243955	4	Amniota
ENSG00000170899	ENSG00000174156	4	Amniota
ENSG00000170899	ENSG00000244067	4	Amniota
ENSG00000170899	ENSG00000182793	4	Amniota
ENSG00000267706	ENSG00000162771	3	Amniota
ENSG00000267706	ENSG00000170613	3	Amniota
ENSG00000267706	ENSG00000172717	3	Amniota
ENSG00000180043	ENSG00000142530	5	Amniota
ENSG00000180043	ENSG00000162771	5	Amniota
ENSG00000180043	ENSG00000170613	5	Amniota
ENSG00000180043	ENSG00000172717	5	Amniota
ENSG00000180043	ENSG00000180219	5	Amniota
ENSG00000124610	ENSG00000187837	4	Amniota
ENSG00000124610	ENSG00000168298	4	Amniota
ENSG00000124610	ENSG00000124575	4	Amniota
ENSG00000124610	ENSG00000184357	4	Amniota
ENSG00000258223	ENSG00000213022	4	Amniota
ENSG00000258223	ENSG00000167757	4	Amniota
ENSG00000258223	ENSG00000186474	4	Amniota
ENSG00000258223	ENSG00000269741	4	Amniota
ENSG00000187837	ENSG00000124610	2	Amniota
ENSG00000187837	ENSG00000187475	2	Amniota
ENSG00000183251	ENSG00000167360	2	Amniota
ENSG00000183251	ENSG00000184698	2	Amniota
ENSG00000184881	ENSG00000167360	2	Amniota
ENSG00000184881	ENSG00000184698	2	Amniota
ENSG00000242180	ENSG00000167360	2	Amniota
ENSG00000242180	ENSG00000184698	2	Amniota
ENSG00000176239	ENSG00000167360	2	Amniota
ENSG00000176239	ENSG00000184698	2	Amniota
ENSG00000184698	ENSG00000167360	6	Amniota
ENSG00000184698	ENSG00000184881	6	Amniota
ENSG00000184698	ENSG00000176239	6	Amniota
ENSG00000184698	ENSG00000242180	6	Amniota
ENSG00000184698	ENSG00000176742	6	Amniota
ENSG00000184698	ENSG00000183251	6	Amniota
ENSG00000167360	ENSG00000184698	6	Amniota
ENSG00000167360	ENSG00000184881	6	Amniota
ENSG00000167360	ENSG00000176239	6	Amniota
ENSG00000167360	ENSG00000242180	6	Amniota
ENSG00000167360	ENSG00000176742	6	Amniota
ENSG00000167360	ENSG00000183251	6	Amniota
ENSG00000204839	ENSG00000184313	3	Amniota
ENSG00000204839	ENSG00000271723	3	Amniota
ENSG00000204839	ENSG00000101353	3	Amniota
ENSG00000178980	ENSG00000186838	1	Amniota
ENSG00000181616	ENSG00000255307	4	Amniota
ENSG00000181616	ENSG00000180909	4	Amniota
ENSG00000181616	ENSG00000221996	4	Amniota
ENSG00000181616	ENSG00000187747	4	Amniota
ENSG00000187747	ENSG00000255307	4	Amniota
ENSG00000187747	ENSG00000180909	4	Amniota
ENSG00000187747	ENSG00000221996	4	Amniota
ENSG00000187747	ENSG00000181616	4	Amniota
ENSG00000105398	ENSG00000088002	1	Amniota
ENSG00000117335	ENSG00000196352	1	Amniota
ENSG00000179300	ENSG00000242265	1	Amniota
ENSG00000173020	ENSG00000100077	1	Amniota
ENSG00000198692	ENSG00000173674	1	Amniota
ENSG00000147896	ENSG00000171855	2	Amniota
ENSG00000147896	ENSG00000184995	2	Amniota
ENSG00000256574	ENSG00000197437	1	Amniota
ENSG00000173674	ENSG00000198692	1	Amniota
ENSG00000235109	ENSG00000103199	4	Amniota
ENSG00000235109	ENSG00000182318	4	Amniota
ENSG00000235109	ENSG00000103343	4	Amniota
ENSG00000235109	ENSG00000166526	4	Amniota
ENSG00000170788	ENSG00000133665	1	Amniota
ENSG00000106608	ENSG00000132357	1	Amniota
ENSG00000179919	ENSG00000206474	1	Amniota
ENSG00000167384	ENSG00000180938	2	Amniota
ENSG00000167384	ENSG00000180787	2	Amniota
ENSG00000181074	ENSG00000176937	1	Amniota
ENSG00000133665	ENSG00000170788	1	Amniota
ENSG00000181009	ENSG00000176937	1	Amniota
ENSG00000181001	ENSG00000176937	1	Amniota
ENSG00000180988	ENSG00000176937	1	Amniota
ENSG00000090238	ENSG00000166793	1	Amniota
ENSG00000125571	ENSG00000136689	3	Amniota
ENSG00000125571	ENSG00000136695	3	Amniota
ENSG00000125571	ENSG00000136697	3	Amniota
ENSG00000180909	ENSG00000181616	2	Amniota
ENSG00000180909	ENSG00000187747	2	Amniota
ENSG00000255307	ENSG00000181616	2	Amniota
ENSG00000255307	ENSG00000187747	2	Amniota
ENSG00000136688	ENSG00000136689	3	Amniota
ENSG00000136688	ENSG00000136695	3	Amniota
ENSG00000136688	ENSG00000136697	3	Amniota
ENSG00000162378	ENSG00000203995	1	Amniota
ENSG00000203995	ENSG00000162378	1	Amniota
ENSG00000151033	ENSG00000141316	1	Amniota
ENSG00000170955	ENSG00000168497	1	Amniota
ENSG00000136694	ENSG00000136689	3	Amniota
ENSG00000136694	ENSG00000136695	3	Amniota
ENSG00000136694	ENSG00000136697	3	Amniota
ENSG00000167685	ENSG00000196652	1	Amniota
ENSG00000071859	ENSG00000145945	1	Amniota
ENSG00000131462	ENSG00000037042	1	Amniota
ENSG00000136696	ENSG00000136689	3	Amniota
ENSG00000136696	ENSG00000136695	3	Amniota
ENSG00000136696	ENSG00000136697	3	Amniota
ENSG00000187475	ENSG00000187837	4	Amniota
ENSG00000187475	ENSG00000168298	4	Amniota
ENSG00000187475	ENSG00000124575	4	Amniota
ENSG00000187475	ENSG00000184357	4	Amniota
ENSG00000180573	ENSG00000183558	4	Amniota
ENSG00000180573	ENSG00000203812	4	Amniota
ENSG00000180573	ENSG00000184260	4	Amniota
ENSG00000180573	ENSG00000246705	4	Amniota
ENSG00000136695	ENSG00000136689	5	Amniota
ENSG00000136695	ENSG00000136688	5	Amniota
ENSG00000136695	ENSG00000136694	5	Amniota
ENSG00000136695	ENSG00000136696	5	Amniota
ENSG00000136695	ENSG00000125571	5	Amniota
ENSG00000168298	ENSG00000124610	2	Amniota
ENSG00000168298	ENSG00000187475	2	Amniota
ENSG00000197024	ENSG00000196453	5	Amniota
ENSG00000197024	ENSG00000170265	5	Amniota
ENSG00000197024	ENSG00000170260	5	Amniota
ENSG00000197024	ENSG00000181220	5	Amniota
ENSG00000197024	ENSG00000204946	5	Amniota
ENSG00000243414	ENSG00000134970	1	Amniota
ENSG00000251201	ENSG00000134970	1	Amniota
ENSG00000134970	ENSG00000243414	2	Amniota
ENSG00000134970	ENSG00000251201	2	Amniota
ENSG00000230453	ENSG00000170160	3	Amniota
ENSG00000230453	ENSG00000266302	3	Amniota
ENSG00000230453	ENSG00000106013	3	Amniota
ENSG00000170265	ENSG00000197024	5	Amniota
ENSG00000170265	ENSG00000196453	5	Amniota
ENSG00000170265	ENSG00000170260	5	Amniota
ENSG00000170265	ENSG00000181220	5	Amniota
ENSG00000170265	ENSG00000204946	5	Amniota
ENSG00000196622	ENSG00000005379	1	Amniota
ENSG00000037042	ENSG00000131462	1	Amniota
ENSG00000170260	ENSG00000204946	5	Amniota
ENSG00000170260	ENSG00000181220	5	Amniota
ENSG00000170260	ENSG00000197024	5	Amniota
ENSG00000170260	ENSG00000196453	5	Amniota
ENSG00000170260	ENSG00000170265	5	Amniota
ENSG00000263809	ENSG00000161970	1	Amniota
ENSG00000161970	ENSG00000263809	1	Amniota
ENSG00000107890	ENSG00000170160	3	Amniota
ENSG00000107890	ENSG00000266302	3	Amniota
ENSG00000107890	ENSG00000106013	3	Amniota
ENSG00000160180	ENSG00000160182	1	Amniota
ENSG00000186446	ENSG00000179965	1	Amniota
ENSG00000160182	ENSG00000160180	1	Amniota
ENSG00000132357	ENSG00000106608	1	Amniota
ENSG00000162771	ENSG00000172717	4	Amniota
ENSG00000162771	ENSG00000267706	4	Amniota
ENSG00000162771	ENSG00000142530	4	Amniota
ENSG00000162771	ENSG00000180043	4	Amniota
ENSG00000204946	ENSG00000170260	5	Amniota
ENSG00000204946	ENSG00000181220	5	Amniota
ENSG00000204946	ENSG00000197024	5	Amniota
ENSG00000204946	ENSG00000196453	5	Amniota
ENSG00000204946	ENSG00000170265	5	Amniota
ENSG00000136816	ENSG00000136827	1	Amniota
ENSG00000136827	ENSG00000136816	1	Amniota
ENSG00000196453	ENSG00000197024	5	Amniota
ENSG00000196453	ENSG00000170265	5	Amniota
ENSG00000196453	ENSG00000170260	5	Amniota
ENSG00000196453	ENSG00000181220	5	Amniota
ENSG00000196453	ENSG00000204946	5	Amniota
ENSG00000181220	ENSG00000170260	5	Amniota
ENSG00000181220	ENSG00000204946	5	Amniota
ENSG00000181220	ENSG00000197024	5	Amniota
ENSG00000181220	ENSG00000196453	5	Amniota
ENSG00000181220	ENSG00000170265	5	Amniota
ENSG00000140265	ENSG00000155592	3	Amniota
ENSG00000140265	ENSG00000140987	3	Amniota
ENSG00000140265	ENSG00000121903	3	Amniota
ENSG00000124575	ENSG00000124610	2	Amniota
ENSG00000124575	ENSG00000187475	2	Amniota
ENSG00000088002	ENSG00000105398	1	Amniota
ENSG00000179965	ENSG00000186446	1	Amniota
ENSG00000215475	ENSG00000181788	1	Amniota
ENSG00000196209	ENSG00000125900	5	Amniota
ENSG00000196209	ENSG00000101307	5	Amniota
ENSG00000196209	ENSG00000089012	5	Amniota
ENSG00000196209	ENSG00000198053	5	Amniota
ENSG00000196209	ENSG00000260861	5	Amniota
ENSG00000171495	ENSG00000134042	2	Amniota
ENSG00000171495	ENSG00000185038	2	Amniota
ENSG00000125900	ENSG00000196209	1	Amniota
ENSG00000260861	ENSG00000196209	1	Amniota
ENSG00000101307	ENSG00000196209	1	Amniota
ENSG00000089012	ENSG00000196209	1	Amniota
ENSG00000198053	ENSG00000196209	1	Amniota
