Ensembl Gene ID,Macaca Ensembl Gene ID,Homology Type
ENSMUSG00000064357,ENSMMUG00000028683,ortholog_one2one
ENSMUSG00000096152,,
ENSMUSG00000073960,,
ENSMUSG00000028259,ENSMMUG00000012621,ortholog_one2one
ENSMUSG00000064356,,
ENSMUSG00000021440,ENSMMUG00000013861,ortholog_one2many
ENSMUSG00000064354,ENSMMUG00000028686,ortholog_one2one
ENSMUSG00000073961,,
ENSMUSG00000095076,,
ENSMUSG00000095201,,
ENSMUSG00000095637,,
ENSMUSG00000045792,,
ENSMUSG00000034687,ENSMMUG00000002564,ortholog_one2one
ENSMUSG00000064351,ENSMMUG00000028689,ortholog_one2one
ENSMUSG00000095728,,
ENSMUSG00000044042,ENSMMUG00000001811,ortholog_one2one
ENSMUSG00000004748,,
ENSMUSG00000034424,ENSMMUG00000013088,ortholog_one2many
ENSMUSG00000034424,ENSMMUG00000028763,ortholog_one2many
ENSMUSG00000034424,ENSMMUG00000031120,ortholog_one2many
ENSMUSG00000034424,ENSMMUG00000032597,ortholog_one2many
ENSMUSG00000038112,ENSMMUG00000020491,ortholog_one2many
ENSMUSG00000051285,ENSMMUG00000003347,ortholog_one2one
ENSMUSG00000096645,ENSMMUG00000016045,ortholog_one2many
ENSMUSG00000043354,ENSMMUG00000013811,ortholog_one2one
ENSMUSG00000027596,ENSMMUG00000003052,ortholog_one2many
ENSMUSG00000027596,ENSMMUG00000030402,ortholog_one2many
ENSMUSG00000028249,ENSMMUG00000017296,ortholog_one2many
ENSMUSG00000028249,ENSMMUG00000017979,ortholog_one2many
ENSMUSG00000094722,,
ENSMUSG00000094351,,
ENSMUSG00000057446,ENSMMUG00000013861,ortholog_one2many
ENSMUSG00000051234,ENSMMUG00000006648,ortholog_one2many
ENSMUSG00000073962,ENSMMUG00000030977,ortholog_one2one
ENSMUSG00000064345,ENSMMUG00000028695,ortholog_one2one
ENSMUSG00000094352,,
ENSMUSG00000033285,ENSMMUG00000008513,ortholog_one2one
ENSMUSG00000031847,ENSMMUG00000013087,ortholog_one2one
ENSMUSG00000040372,ENSMMUG00000014142,ortholog_one2one
ENSMUSG00000096244,,
ENSMUSG00000054752,ENSMMUG00000002665,ortholog_one2one
ENSMUSG00000066269,ENSMMUG00000013809,ortholog_one2one
ENSMUSG00000095229,,
ENSMUSG00000096776,,
ENSMUSG00000064341,ENSMMUG00000028699,ortholog_one2one
ENSMUSG00000060508,ENSMMUG00000012566,ortholog_many2many
ENSMUSG00000060508,ENSMMUG00000029506,ortholog_many2many
ENSMUSG00000056418,,
ENSMUSG00000045824,ENSMMUG00000013810,ortholog_one2one
ENSMUSG00000021441,ENSMMUG00000013861,ortholog_one2many
ENSMUSG00000095754,ENSMMUG00000016045,ortholog_one2many
ENSMUSG00000052785,,
ENSMUSG00000047388,ENSMMUG00000013086,ortholog_one2one
ENSMUSG00000049076,ENSMMUG00000013092,ortholog_one2one
ENSMUSG00000001552,ENSMMUG00000013048,ortholog_one2one
ENSMUSG00000094391,,
ENSMUSG00000073963,,
ENSMUSG00000062038,ENSMMUG00000016443,ortholog_many2many
ENSMUSG00000062038,ENSMMUG00000008788,ortholog_many2many
ENSMUSG00000062038,ENSMMUG00000029621,ortholog_many2many
ENSMUSG00000098112,,
ENSMUSG00000035910,ENSMMUG00000008452,ortholog_one2one
ENSMUSG00000022070,ENSMMUG00000000784,ortholog_one2one
ENSMUSG00000043310,ENSMMUG00000013624,ortholog_one2one
ENSMUSG00000079834,ENSMMUG00000009481,ortholog_one2one
ENSMUSG00000032412,ENSMMUG00000007203,ortholog_one2many
ENSMUSG00000032412,ENSMMUG00000012256,ortholog_one2many
ENSMUSG00000055679,ENSMMUG00000013861,ortholog_one2many
ENSMUSG00000014547,ENSMMUG00000009421,ortholog_one2one
ENSMUSG00000073964,ENSMMUG00000001065,ortholog_many2many
ENSMUSG00000054986,ENSMMUG00000019374,ortholog_one2one
ENSMUSG00000062142,,
ENSMUSG00000053110,ENSMMUG00000003396,ortholog_one2one
ENSMUSG00000061654,ENSMMUG00000001662,ortholog_one2one
ENSMUSG00000039128,ENSMMUG00000017145,ortholog_one2one
ENSMUSG00000011171,ENSMMUG00000009611,ortholog_one2one
ENSMUSG00000059923,ENSMMUG00000004756,ortholog_one2one
ENSMUSG00000073965,,
ENSMUSG00000064105,ENSMMUG00000003747,ortholog_one2one
ENSMUSG00000033186,ENSMMUG00000030697,ortholog_one2one
ENSMUSG00000090805,,
ENSMUSG00000028518,ENSMMUG00000010406,ortholog_one2one
ENSMUSG00000070777,,
ENSMUSG00000060888,,
ENSMUSG00000051412,ENSMMUG00000002015,ortholog_one2one
ENSMUSG00000048469,,
ENSMUSG00000027787,ENSMMUG00000009564,ortholog_one2one
ENSMUSG00000025402,ENSMMUG00000017525,ortholog_one2one
ENSMUSG00000021732,ENSMMUG00000015527,ortholog_one2one
ENSMUSG00000036860,ENSMMUG00000002790,ortholog_one2one
ENSMUSG00000040254,ENSMMUG00000021730,ortholog_one2one
ENSMUSG00000094799,ENSMMUG00000012197,ortholog_one2many
ENSMUSG00000073966,,
ENSMUSG00000021339,ENSMMUG00000001018,ortholog_one2one
ENSMUSG00000070778,ENSMMUG00000030679,ortholog_many2many
ENSMUSG00000070778,ENSMMUG00000029237,ortholog_many2many
ENSMUSG00000079794,ENSMMUG00000012199,ortholog_one2many
ENSMUSG00000079192,ENSMMUG00000012199,ortholog_one2many
ENSMUSG00000043366,ENSMMUG00000030974,ortholog_one2one
ENSMUSG00000097411,,
ENSMUSG00000040498,ENSMMUG00000028750,ortholog_one2one
ENSMUSG00000095092,ENSMMUG00000012197,ortholog_one2many
ENSMUSG00000026857,ENSMMUG00000006057,ortholog_one2one
ENSMUSG00000036438,ENSMMUG00000005928,ortholog_one2many
ENSMUSG00000036438,ENSMMUG00000017466,ortholog_one2many
ENSMUSG00000036438,ENSMMUG00000028962,ortholog_one2many
ENSMUSG00000036438,ENSMMUG00000012851,ortholog_one2many
ENSMUSG00000079800,,
ENSMUSG00000031756,ENSMMUG00000013082,ortholog_one2one
ENSMUSG00000029621,ENSMMUG00000019342,ortholog_one2one
ENSMUSG00000066272,,
ENSMUSG00000059366,ENSMMUG00000015424,ortholog_many2many
ENSMUSG00000021843,ENSMMUG00000006650,ortholog_one2one
ENSMUSG00000094065,ENSMMUG00000016529,ortholog_one2many
ENSMUSG00000021731,ENSMMUG00000016180,ortholog_one2one
ENSMUSG00000095041,ENSMMUG00000002182,ortholog_one2one
ENSMUSG00000066273,,
ENSMUSG00000094759,,
ENSMUSG00000050853,ENSMMUG00000015425,ortholog_one2one
ENSMUSG00000070423,ENSMMUG00000014901,ortholog_one2one
ENSMUSG00000096543,,
ENSMUSG00000073967,,
ENSMUSG00000024687,ENSMMUG00000001745,ortholog_one2one
ENSMUSG00000053559,ENSMMUG00000017484,ortholog_one2one
ENSMUSG00000019368,ENSMMUG00000005806,ortholog_one2one
ENSMUSG00000095322,,
ENSMUSG00000036557,ENSMMUG00000013898,ortholog_one2one
ENSMUSG00000040511,ENSMMUG00000003101,ortholog_one2one
ENSMUSG00000014633,ENSMMUG00000013081,ortholog_one2one
ENSMUSG00000073968,ENSMMUG00000022682,ortholog_one2one
ENSMUSG00000003559,ENSMMUG00000007662,ortholog_one2one
ENSMUSG00000000346,ENSMMUG00000001884,ortholog_one2one
ENSMUSG00000062649,ENSMMUG00000015426,ortholog_one2many
ENSMUSG00000042063,ENSMMUG00000028833,ortholog_one2many
ENSMUSG00000042063,ENSMMUG00000022527,ortholog_one2many
ENSMUSG00000042063,ENSMMUG00000028832,ortholog_one2many
ENSMUSG00000042063,ENSMMUG00000028830,ortholog_one2many
ENSMUSG00000042063,ENSMMUG00000020610,ortholog_one2many
ENSMUSG00000062760,ENSMMUG00000003720,ortholog_one2one
ENSMUSG00000073969,,
ENSMUSG00000095019,,
ENSMUSG00000041718,ENSMMUG00000010421,ortholog_one2many
ENSMUSG00000073970,,
ENSMUSG00000063176,,
ENSMUSG00000062376,ENSMMUG00000007660,ortholog_one2one
ENSMUSG00000095326,,
ENSMUSG00000028261,ENSMMUG00000018843,ortholog_one2one
ENSMUSG00000096850,,
ENSMUSG00000021439,ENSMMUG00000013861,ortholog_one2many
ENSMUSG00000073971,ENSMMUG00000001056,ortholog_one2one
ENSMUSG00000039145,ENSMMUG00000011956,ortholog_one2one
ENSMUSG00000029620,,
ENSMUSG00000073972,ENSMMUG00000010884,ortholog_many2many
ENSMUSG00000094745,ENSMMUG00000015426,ortholog_one2many
ENSMUSG00000031758,ENSMMUG00000011847,ortholog_one2one
ENSMUSG00000047434,ENSMMUG00000013091,ortholog_one2one
ENSMUSG00000073973,ENSMMUG00000008894,ortholog_one2many
ENSMUSG00000031443,ENSMMUG00000001036,ortholog_one2one
ENSMUSG00000021072,ENSMMUG00000001901,ortholog_one2one
ENSMUSG00000096466,ENSMMUG00000006902,ortholog_many2many
ENSMUSG00000096768,,
ENSMUSG00000073974,ENSMMUG00000018447,ortholog_one2one
ENSMUSG00000049848,ENSMMUG00000010247,ortholog_one2one
ENSMUSG00000061707,,
ENSMUSG00000046546,ENSMMUG00000010709,ortholog_one2one
ENSMUSG00000073975,,
ENSMUSG00000030243,ENSMMUG00000010857,ortholog_one2one
ENSMUSG00000049721,ENSMMUG00000002677,ortholog_one2one
ENSMUSG00000095134,ENSMMUG00000020179,ortholog_one2many
ENSMUSG00000095366,,
ENSMUSG00000014686,ENSMMUG00000010037,ortholog_one2one
ENSMUSG00000096178,,
ENSMUSG00000026676,ENSMMUG00000007820,ortholog_one2one
ENSMUSG00000095099,,
ENSMUSG00000029062,ENSMMUG00000001894,ortholog_one2one
ENSMUSG00000033740,ENSMMUG00000008439,ortholog_one2one
ENSMUSG00000030966,ENSMMUG00000004974,ortholog_one2one
ENSMUSG00000046139,ENSMMUG00000017287,ortholog_one2one
ENSMUSG00000094375,,
ENSMUSG00000092216,,
ENSMUSG00000095800,,
ENSMUSG00000091060,,
ENSMUSG00000036356,ENSMMUG00000000130,ortholog_one2one
ENSMUSG00000094909,,
ENSMUSG00000060878,,
ENSMUSG00000078612,ENSMMUG00000010408,ortholog_one2one
ENSMUSG00000073977,,
ENSMUSG00000093881,,
ENSMUSG00000067545,,
ENSMUSG00000026697,ENSMMUG00000013649,ortholog_one2one
ENSMUSG00000073978,,
ENSMUSG00000094459,,
ENSMUSG00000020064,ENSMMUG00000010105,ortholog_one2one
ENSMUSG00000001052,ENSMMUG00000023240,ortholog_one2one
ENSMUSG00000060556,,
ENSMUSG00000095083,,
ENSMUSG00000073979,,
ENSMUSG00000028240,ENSMMUG00000006543,ortholog_one2one
ENSMUSG00000094399,,
ENSMUSG00000048292,,
ENSMUSG00000044824,,
ENSMUSG00000023953,ENSMMUG00000008903,ortholog_one2one
ENSMUSG00000094716,,
ENSMUSG00000032000,ENSMMUG00000003398,ortholog_one2one
ENSMUSG00000096625,,
ENSMUSG00000043925,,
ENSMUSG00000020884,ENSMMUG00000003247,ortholog_one2one
ENSMUSG00000029486,ENSMMUG00000030770,ortholog_one2many
ENSMUSG00000029486,ENSMMUG00000030317,ortholog_one2many
ENSMUSG00000067848,,
ENSMUSG00000094761,,
ENSMUSG00000044814,,
ENSMUSG00000053175,ENSMMUG00000013776,ortholog_one2one
ENSMUSG00000034467,ENSMMUG00000001907,ortholog_one2one
ENSMUSG00000020048,ENSMMUG00000023469,ortholog_one2one
ENSMUSG00000095303,,
ENSMUSG00000045391,,
ENSMUSG00000095386,,
ENSMUSG00000094744,,
ENSMUSG00000095838,,
ENSMUSG00000006930,,
ENSMUSG00000043300,ENSMMUG00000003541,ortholog_one2one
ENSMUSG00000039963,ENSMMUG00000009588,ortholog_one2one
ENSMUSG00000026672,ENSMMUG00000005601,ortholog_one2one
ENSMUSG00000073682,,
ENSMUSG00000054423,ENSMMUG00000031902,ortholog_one2many
ENSMUSG00000054423,ENSMMUG00000021595,ortholog_one2many
ENSMUSG00000094418,,
ENSMUSG00000055435,,
ENSMUSG00000049742,,
ENSMUSG00000095443,,
ENSMUSG00000095167,,
ENSMUSG00000095760,,
ENSMUSG00000090468,ENSMMUG00000013256,ortholog_many2many
ENSMUSG00000090468,ENSMMUG00000031017,ortholog_many2many
ENSMUSG00000090468,ENSMMUG00000013255,ortholog_many2many
ENSMUSG00000090468,ENSMMUG00000032219,ortholog_many2many
ENSMUSG00000090468,ENSMMUG00000030326,ortholog_many2many
ENSMUSG00000090468,ENSMMUG00000013257,ortholog_many2many
ENSMUSG00000090468,ENSMMUG00000029345,ortholog_many2many
ENSMUSG00000020430,ENSMMUG00000017562,ortholog_one2one
ENSMUSG00000030978,ENSMMUG00000003962,ortholog_one2one
ENSMUSG00000057367,ENSMMUG00000003400,ortholog_one2one
ENSMUSG00000026696,ENSMMUG00000023203,ortholog_one2one
ENSMUSG00000053886,ENSMMUG00000000129,ortholog_one2one
ENSMUSG00000095650,,
ENSMUSG00000035161,ENSMMUG00000017085,ortholog_one2many
ENSMUSG00000035161,ENSMMUG00000013191,ortholog_one2many
ENSMUSG00000032411,ENSMMUG00000011134,ortholog_one2one
ENSMUSG00000096187,,
ENSMUSG00000095306,,
ENSMUSG00000096575,,
ENSMUSG00000020444,ENSMMUG00000023085,ortholog_one2one
ENSMUSG00000093832,,
ENSMUSG00000096418,,
ENSMUSG00000028063,ENSMMUG00000016096,ortholog_one2one
ENSMUSG00000094036,,
ENSMUSG00000096671,,
ENSMUSG00000021730,ENSMMUG00000002022,ortholog_one2one
ENSMUSG00000030987,ENSMMUG00000003958,ortholog_one2one
ENSMUSG00000094660,,
ENSMUSG00000034493,,
ENSMUSG00000095688,,
ENSMUSG00000091155,ENSMMUG00000013190,ortholog_one2one
ENSMUSG00000073255,,
ENSMUSG00000027363,ENSMMUG00000014884,ortholog_one2one
ENSMUSG00000017165,ENSMMUG00000018729,ortholog_one2one
ENSMUSG00000094469,,
ENSMUSG00000004637,ENSMMUG00000010610,ortholog_one2one
ENSMUSG00000028330,ENSMMUG00000012281,ortholog_one2one
ENSMUSG00000090308,,
ENSMUSG00000043448,ENSMMUG00000023086,ortholog_one2one
ENSMUSG00000095153,,
ENSMUSG00000094205,,
ENSMUSG00000090816,,
ENSMUSG00000020720,ENSMMUG00000002132,ortholog_one2one
ENSMUSG00000095109,,
ENSMUSG00000040525,ENSMMUG00000003271,ortholog_one2one
ENSMUSG00000062372,ENSMMUG00000014292,ortholog_one2one
ENSMUSG00000073982,ENSMMUG00000003957,ortholog_one2one
ENSMUSG00000096125,,
ENSMUSG00000022449,ENSMMUG00000013942,ortholog_one2one
ENSMUSG00000094105,,
ENSMUSG00000023952,ENSMMUG00000008890,ortholog_one2one
ENSMUSG00000094857,,
ENSMUSG00000096552,,
ENSMUSG00000020044,ENSMMUG00000006734,ortholog_one2one
ENSMUSG00000015733,ENSMMUG00000006784,ortholog_one2one
ENSMUSG00000003555,ENSMMUG00000017601,ortholog_one2one
ENSMUSG00000095582,,
ENSMUSG00000035530,ENSMMUG00000019505,ortholog_one2many
