Ensembl Gene ID,Platypus Ensembl Gene ID,Homology Type
ENSMUSG00000095973,,
ENSMUSG00000025579,ENSOANG00000005232,ortholog_one2one
ENSMUSG00000094449,,
ENSMUSG00000045584,,
ENSMUSG00000032413,ENSOANG00000002775,ortholog_one2one
ENSMUSG00000021939,ENSOANG00000013012,ortholog_one2one
ENSMUSG00000041134,ENSOANG00000015352,ortholog_one2one
ENSMUSG00000046396,,
ENSMUSG00000091435,,
ENSMUSG00000028738,ENSOANG00000000560,ortholog_one2one
ENSMUSG00000043461,,
ENSMUSG00000039982,ENSOANG00000000125,ortholog_one2one
ENSMUSG00000093934,,
ENSMUSG00000031636,ENSOANG00000006867,ortholog_one2one
ENSMUSG00000031864,ENSOANG00000005365,ortholog_one2many
ENSMUSG00000031864,ENSOANG00000000688,ortholog_one2many
ENSMUSG00000073948,ENSOANG00000020138,ortholog_many2many
ENSMUSG00000073948,ENSOANG00000013433,ortholog_many2many
ENSMUSG00000073948,ENSOANG00000020187,ortholog_many2many
ENSMUSG00000094085,,
ENSMUSG00000027364,ENSOANG00000006882,ortholog_one2one
ENSMUSG00000034832,ENSOANG00000004099,ortholog_one2one
ENSMUSG00000042402,,
ENSMUSG00000095774,,
ENSMUSG00000091638,,
ENSMUSG00000094601,,
ENSMUSG00000046805,ENSOANG00000000124,ortholog_one2many
ENSMUSG00000073949,,
ENSMUSG00000094309,,
ENSMUSG00000024151,ENSOANG00000013431,ortholog_one2one
ENSMUSG00000025909,ENSOANG00000007270,ortholog_one2one
ENSMUSG00000048285,ENSOANG00000013962,ortholog_one2one
ENSMUSG00000058079,,
ENSMUSG00000006931,ENSOANG00000003838,ortholog_one2one
ENSMUSG00000094254,,
ENSMUSG00000040065,ENSOANG00000000124,ortholog_one2many
ENSMUSG00000094284,,
ENSMUSG00000051427,ENSOANG00000031775,ortholog_one2one
ENSMUSG00000058976,,
ENSMUSG00000024027,ENSOANG00000013162,ortholog_one2one
ENSMUSG00000072066,,
ENSMUSG00000095190,,
ENSMUSG00000058762,ENSOANG00000005130,ortholog_many2many
ENSMUSG00000095903,,
ENSMUSG00000050815,ENSOANG00000000123,ortholog_one2one
ENSMUSG00000028329,ENSOANG00000006385,ortholog_one2one
ENSMUSG00000083780,ENSOANG00000007587,ortholog_many2many
ENSMUSG00000074865,ENSOANG00000001557,ortholog_one2many
ENSMUSG00000028737,ENSOANG00000001073,ortholog_one2one
ENSMUSG00000095768,,
ENSMUSG00000046650,,
ENSMUSG00000040963,,
ENSMUSG00000021342,ENSOANG00000011127,ortholog_one2many
ENSMUSG00000055820,,
ENSMUSG00000095275,,
ENSMUSG00000096436,,
ENSMUSG00000059874,ENSOANG00000011359,ortholog_many2many
ENSMUSG00000059874,ENSOANG00000014030,ortholog_many2many
ENSMUSG00000037816,ENSOANG00000021360,ortholog_one2many
ENSMUSG00000055228,,
ENSMUSG00000045160,,
ENSMUSG00000061200,,
ENSMUSG00000067513,,
ENSMUSG00000094353,,
ENSMUSG00000094942,ENSOANG00000001557,ortholog_one2many
ENSMUSG00000079657,ENSOANG00000000833,ortholog_one2one
ENSMUSG00000025453,ENSOANG00000014892,ortholog_one2one
ENSMUSG00000045540,,
ENSMUSG00000095640,,
ENSMUSG00000095837,,
ENSMUSG00000054763,,
ENSMUSG00000045835,ENSOANG00000013711,ortholog_many2many
ENSMUSG00000074656,ENSOANG00000012907,ortholog_one2one
ENSMUSG00000073950,ENSOANG00000005308,ortholog_one2many
ENSMUSG00000034416,ENSOANG00000011090,ortholog_one2one
ENSMUSG00000074867,ENSOANG00000004265,ortholog_one2many
ENSMUSG00000036106,,
ENSMUSG00000096761,,
ENSMUSG00000095839,,
ENSMUSG00000036661,ENSOANG00000007128,ortholog_one2one
ENSMUSG00000073951,ENSOANG00000005308,ortholog_one2many
ENSMUSG00000048076,ENSOANG00000014517,ortholog_one2one
ENSMUSG00000025817,ENSOANG00000015421,ortholog_one2one
ENSMUSG00000096903,,
ENSMUSG00000099269,,
ENSMUSG00000019861,ENSOANG00000003691,ortholog_one2one
ENSMUSG00000073952,ENSOANG00000005308,ortholog_one2many
ENSMUSG00000074870,ENSOANG00000010814,ortholog_one2many
ENSMUSG00000075571,,
ENSMUSG00000062121,,
ENSMUSG00000098049,ENSOANG00000007771,ortholog_one2many
ENSMUSG00000045394,ENSOANG00000009081,ortholog_one2one
ENSMUSG00000096663,,
ENSMUSG00000096194,,
ENSMUSG00000043131,,
ENSMUSG00000060049,,
ENSMUSG00000073953,ENSOANG00000011359,ortholog_many2many
ENSMUSG00000073953,ENSOANG00000014030,ortholog_many2many
ENSMUSG00000055745,,
ENSMUSG00000078747,ENSOANG00000002083,ortholog_one2many
ENSMUSG00000094762,,
ENSMUSG00000093857,,
ENSMUSG00000098598,ENSOANG00000007677,ortholog_one2many
ENSMUSG00000064110,,
ENSMUSG00000003581,ENSOANG00000020334,ortholog_one2one
ENSMUSG00000067519,ENSOANG00000021044,ortholog_many2many
ENSMUSG00000074871,ENSOANG00000010814,ortholog_one2many
ENSMUSG00000094545,,
ENSMUSG00000057321,,
ENSMUSG00000075572,,
ENSMUSG00000099100,ENSOANG00000013995,ortholog_one2many
ENSMUSG00000094133,,
ENSMUSG00000095770,,
ENSMUSG00000091096,,
ENSMUSG00000059106,,
ENSMUSG00000096386,,
ENSMUSG00000075573,,
ENSMUSG00000067522,ENSOANG00000021043,ortholog_one2many
ENSMUSG00000073954,ENSOANG00000011359,ortholog_many2many
ENSMUSG00000073954,ENSOANG00000014030,ortholog_many2many
ENSMUSG00000058435,ENSOANG00000013368,ortholog_one2many
ENSMUSG00000095806,,
ENSMUSG00000067524,ENSOANG00000020054,ortholog_many2many
ENSMUSG00000067524,ENSOANG00000020300,ortholog_many2many
ENSMUSG00000067524,ENSOANG00000019739,ortholog_many2many
ENSMUSG00000067524,ENSOANG00000020301,ortholog_many2many
ENSMUSG00000042050,ENSOANG00000006118,ortholog_one2one
ENSMUSG00000075574,,
ENSMUSG00000095300,,
ENSMUSG00000073955,ENSOANG00000008161,ortholog_one2many
ENSMUSG00000048978,ENSOANG00000011126,ortholog_one2one
ENSMUSG00000098034,,
ENSMUSG00000094439,ENSOANG00000013872,ortholog_one2many
ENSMUSG00000067525,ENSOANG00000020054,ortholog_many2many
ENSMUSG00000067525,ENSOANG00000020300,ortholog_many2many
ENSMUSG00000067525,ENSOANG00000019739,ortholog_many2many
ENSMUSG00000067525,ENSOANG00000020301,ortholog_many2many
ENSMUSG00000059867,,
ENSMUSG00000095745,,
ENSMUSG00000091539,,
ENSMUSG00000073956,ENSOANG00000007649,ortholog_one2one
ENSMUSG00000029622,ENSOANG00000007725,ortholog_one2one
ENSMUSG00000064370,ENSOANG00000019359,ortholog_one2one
ENSMUSG00000094757,,
ENSMUSG00000090497,,
ENSMUSG00000048299,,
ENSMUSG00000025041,ENSOANG00000001640,ortholog_one2one
ENSMUSG00000034384,ENSOANG00000009226,ortholog_one2one
ENSMUSG00000094886,,
ENSMUSG00000020441,,
ENSMUSG00000064368,ENSOANG00000019361,ortholog_one2one
ENSMUSG00000094298,,
ENSMUSG00000057461,ENSOANG00000008161,ortholog_one2many
ENSMUSG00000064367,ENSOANG00000009248,ortholog_one2many
ENSMUSG00000064367,ENSOANG00000019362,ortholog_one2many
ENSMUSG00000096730,,
ENSMUSG00000051362,ENSOANG00000011359,ortholog_many2many
ENSMUSG00000051362,ENSOANG00000014030,ortholog_many2many
ENSMUSG00000039483,ENSOANG00000001314,ortholog_one2one
ENSMUSG00000093976,,
ENSMUSG00000033166,ENSOANG00000010027,ortholog_one2one
ENSMUSG00000044994,ENSOANG00000020054,ortholog_many2many
ENSMUSG00000044994,ENSOANG00000020300,ortholog_many2many
ENSMUSG00000044994,ENSOANG00000019739,ortholog_many2many
ENSMUSG00000044994,ENSOANG00000020301,ortholog_many2many
ENSMUSG00000094735,,
ENSMUSG00000031444,ENSOANG00000015639,ortholog_one2one
ENSMUSG00000003585,ENSOANG00000022298,ortholog_one2many
ENSMUSG00000003585,ENSOANG00000019737,ortholog_one2many
ENSMUSG00000003585,ENSOANG00000030419,ortholog_one2many
ENSMUSG00000003585,ENSOANG00000013412,ortholog_one2many
ENSMUSG00000064363,ENSOANG00000019366,ortholog_one2one
ENSMUSG00000066268,,
ENSMUSG00000067526,ENSOANG00000020054,ortholog_many2many
ENSMUSG00000067526,ENSOANG00000020300,ortholog_many2many
ENSMUSG00000067526,ENSOANG00000019739,ortholog_many2many
ENSMUSG00000067526,ENSOANG00000020301,ortholog_many2many
ENSMUSG00000094011,,
ENSMUSG00000065947,ENSOANG00000007092,ortholog_many2many
ENSMUSG00000065947,ENSOANG00000003650,ortholog_many2many
ENSMUSG00000065947,ENSOANG00000019367,ortholog_many2many
ENSMUSG00000041025,ENSOANG00000013872,ortholog_one2many
ENSMUSG00000078080,,
ENSMUSG00000028517,ENSOANG00000012045,ortholog_one2one
ENSMUSG00000067528,ENSOANG00000020054,ortholog_many2many
ENSMUSG00000067528,ENSOANG00000020300,ortholog_many2many
ENSMUSG00000067528,ENSOANG00000019739,ortholog_many2many
ENSMUSG00000067528,ENSOANG00000020301,ortholog_many2many
ENSMUSG00000028883,ENSOANG00000013046,ortholog_one2one
ENSMUSG00000064360,ENSOANG00000019369,ortholog_one2one
ENSMUSG00000096164,,
ENSMUSG00000073959,,
ENSMUSG00000067529,ENSOANG00000020054,ortholog_many2many
ENSMUSG00000067529,ENSOANG00000020300,ortholog_many2many
ENSMUSG00000067529,ENSOANG00000019739,ortholog_many2many
ENSMUSG00000067529,ENSOANG00000020301,ortholog_many2many
ENSMUSG00000019891,ENSOANG00000019847,ortholog_one2one
ENSMUSG00000064358,ENSOANG00000019371,ortholog_one2one
ENSMUSG00000064357,ENSOANG00000019372,ortholog_one2one
ENSMUSG00000096152,,
ENSMUSG00000073960,,
ENSMUSG00000028259,,
ENSMUSG00000064356,,
ENSMUSG00000021440,ENSOANG00000010814,ortholog_one2many
ENSMUSG00000064354,ENSOANG00000019375,ortholog_one2one
ENSMUSG00000073961,,
ENSMUSG00000095076,,
ENSMUSG00000095201,,
ENSMUSG00000095637,,
ENSMUSG00000045792,,
ENSMUSG00000034687,ENSOANG00000003565,ortholog_one2one
ENSMUSG00000064351,ENSOANG00000019378,ortholog_one2one
ENSMUSG00000095728,,
ENSMUSG00000044042,ENSOANG00000012397,ortholog_one2one
ENSMUSG00000004748,,
ENSMUSG00000034424,ENSOANG00000011089,ortholog_one2one
ENSMUSG00000038112,ENSOANG00000015191,ortholog_many2many
ENSMUSG00000038112,ENSOANG00000020553,ortholog_many2many
ENSMUSG00000038112,ENSOANG00000013936,ortholog_many2many
ENSMUSG00000051285,ENSOANG00000007273,ortholog_one2one
ENSMUSG00000096645,,
ENSMUSG00000043354,,
ENSMUSG00000027596,,
ENSMUSG00000028249,ENSOANG00000005034,ortholog_one2one
ENSMUSG00000094722,,
ENSMUSG00000094351,ENSOANG00000005715,ortholog_one2many
ENSMUSG00000057446,ENSOANG00000010814,ortholog_one2many
ENSMUSG00000051234,ENSOANG00000004269,ortholog_one2many
ENSMUSG00000073962,,
ENSMUSG00000064345,ENSOANG00000019384,ortholog_one2one
ENSMUSG00000094352,,
ENSMUSG00000033285,ENSOANG00000003070,ortholog_one2one
ENSMUSG00000031847,ENSOANG00000011088,ortholog_one2one
ENSMUSG00000040372,,
ENSMUSG00000096244,,
ENSMUSG00000054752,ENSOANG00000004196,ortholog_one2one
ENSMUSG00000066269,,
ENSMUSG00000095229,,
ENSMUSG00000096776,,
ENSMUSG00000064341,ENSOANG00000019388,ortholog_one2one
ENSMUSG00000060508,,
ENSMUSG00000056418,,
ENSMUSG00000045824,,
ENSMUSG00000021441,ENSOANG00000010814,ortholog_one2many
ENSMUSG00000095754,,
ENSMUSG00000052785,,
ENSMUSG00000047388,ENSOANG00000011087,ortholog_one2one
ENSMUSG00000049076,ENSOANG00000012746,ortholog_one2one
ENSMUSG00000001552,ENSOANG00000031440,ortholog_one2many
ENSMUSG00000001552,ENSOANG00000029013,ortholog_one2many
ENSMUSG00000001552,ENSOANG00000013831,ortholog_one2many
ENSMUSG00000094391,,
ENSMUSG00000073963,,
ENSMUSG00000062038,ENSOANG00000009156,ortholog_one2many
ENSMUSG00000098112,ENSOANG00000030258,ortholog_one2one
ENSMUSG00000035910,ENSOANG00000011125,ortholog_one2one
ENSMUSG00000022070,ENSOANG00000010025,ortholog_one2one
ENSMUSG00000043310,,
ENSMUSG00000079834,ENSOANG00000008712,ortholog_one2one
ENSMUSG00000032412,ENSOANG00000000433,ortholog_one2one
ENSMUSG00000055679,ENSOANG00000010814,ortholog_one2many
ENSMUSG00000014547,ENSOANG00000015529,ortholog_one2one
ENSMUSG00000073964,,
ENSMUSG00000054986,ENSOANG00000014792,ortholog_one2one
ENSMUSG00000062142,,
ENSMUSG00000053110,ENSOANG00000010488,ortholog_one2one
ENSMUSG00000061654,ENSOANG00000007063,ortholog_one2one
ENSMUSG00000039128,ENSOANG00000015419,ortholog_one2one
ENSMUSG00000011171,ENSOANG00000006114,ortholog_one2one
ENSMUSG00000059923,ENSOANG00000008328,ortholog_one2one
ENSMUSG00000073965,,
ENSMUSG00000064105,ENSOANG00000001643,ortholog_one2one
ENSMUSG00000033186,ENSOANG00000030424,ortholog_one2one
ENSMUSG00000090805,,
ENSMUSG00000028518,ENSOANG00000011385,ortholog_one2one
ENSMUSG00000070777,ENSOANG00000031576,ortholog_many2many
ENSMUSG00000070777,ENSOANG00000009707,ortholog_many2many
ENSMUSG00000060888,,
ENSMUSG00000051412,ENSOANG00000008702,ortholog_one2one
ENSMUSG00000048469,,
ENSMUSG00000027787,ENSOANG00000000870,ortholog_one2one
ENSMUSG00000025402,,
ENSMUSG00000021732,ENSOANG00000001660,ortholog_one2one
ENSMUSG00000036860,,
ENSMUSG00000040254,ENSOANG00000013043,ortholog_one2one
ENSMUSG00000094799,ENSOANG00000032275,ortholog_one2many
ENSMUSG00000073966,,
ENSMUSG00000021339,,
ENSMUSG00000070778,ENSOANG00000007060,ortholog_one2many
ENSMUSG00000079794,ENSOANG00000029061,ortholog_many2many
ENSMUSG00000079192,ENSOANG00000029061,ortholog_many2many
ENSMUSG00000043366,,
ENSMUSG00000097411,,
ENSMUSG00000040498,,
ENSMUSG00000095092,ENSOANG00000032275,ortholog_one2many
ENSMUSG00000026857,,
ENSMUSG00000036438,ENSOANG00000001711,ortholog_one2one
ENSMUSG00000079800,,
ENSMUSG00000031756,ENSOANG00000011086,ortholog_one2one
ENSMUSG00000029621,ENSOANG00000007724,ortholog_one2one
ENSMUSG00000066272,,
ENSMUSG00000059366,,
ENSMUSG00000021843,ENSOANG00000022259,ortholog_one2many
ENSMUSG00000021843,ENSOANG00000001899,ortholog_one2many
ENSMUSG00000021843,ENSOANG00000031642,ortholog_one2many
ENSMUSG00000094065,ENSOANG00000029593,ortholog_one2many
ENSMUSG00000021731,ENSOANG00000001659,ortholog_one2one
ENSMUSG00000095041,ENSOANG00000010677,ortholog_one2one
ENSMUSG00000066273,,
ENSMUSG00000094759,,
ENSMUSG00000050853,,
ENSMUSG00000070423,ENSOANG00000000111,ortholog_one2one
ENSMUSG00000096543,,
ENSMUSG00000073967,,
ENSMUSG00000024687,ENSOANG00000013150,ortholog_one2one
ENSMUSG00000053559,ENSOANG00000000628,ortholog_one2one
ENSMUSG00000019368,,
ENSMUSG00000095322,,
ENSMUSG00000036557,ENSOANG00000020255,ortholog_one2one
ENSMUSG00000040511,ENSOANG00000029385,ortholog_many2many
ENSMUSG00000040511,ENSOANG00000012179,ortholog_many2many
ENSMUSG00000014633,,
ENSMUSG00000073968,ENSOANG00000003479,ortholog_many2many
ENSMUSG00000073968,ENSOANG00000007045,ortholog_many2many
ENSMUSG00000073968,ENSOANG00000004667,ortholog_many2many
ENSMUSG00000073968,ENSOANG00000020060,ortholog_many2many
ENSMUSG00000073968,ENSOANG00000007046,ortholog_many2many
ENSMUSG00000003559,ENSOANG00000001644,ortholog_one2one
ENSMUSG00000000346,,
ENSMUSG00000062649,,
ENSMUSG00000042063,,
ENSMUSG00000062760,ENSOANG00000004190,ortholog_one2one
ENSMUSG00000073969,,
ENSMUSG00000095019,,
ENSMUSG00000041718,ENSOANG00000002403,ortholog_one2many
ENSMUSG00000073970,,
ENSMUSG00000063176,,
ENSMUSG00000062376,ENSOANG00000001647,ortholog_one2one
ENSMUSG00000095326,,
ENSMUSG00000028261,,
ENSMUSG00000096850,,
ENSMUSG00000021439,ENSOANG00000010814,ortholog_one2many
ENSMUSG00000073971,,
ENSMUSG00000039145,ENSOANG00000015417,ortholog_one2one
ENSMUSG00000029620,,
ENSMUSG00000073972,,
ENSMUSG00000094745,,
ENSMUSG00000031758,,
ENSMUSG00000047434,ENSOANG00000012745,ortholog_one2one
ENSMUSG00000073973,,
ENSMUSG00000031443,,
ENSMUSG00000021072,ENSOANG00000013964,ortholog_one2one
ENSMUSG00000096466,ENSOANG00000001917,ortholog_many2many
ENSMUSG00000096768,,
ENSMUSG00000073974,,
ENSMUSG00000049848,,
ENSMUSG00000061707,,
ENSMUSG00000046546,ENSOANG00000012743,ortholog_one2one
ENSMUSG00000073975,ENSOANG00000010220,ortholog_one2one
ENSMUSG00000030243,ENSOANG00000002400,ortholog_one2many
ENSMUSG00000030243,ENSOANG00000021930,ortholog_one2many
ENSMUSG00000049721,ENSOANG00000001884,ortholog_one2one
ENSMUSG00000095134,ENSOANG00000002628,ortholog_one2many
ENSMUSG00000095366,,
ENSMUSG00000014686,ENSOANG00000012180,ortholog_one2one
ENSMUSG00000096178,,
ENSMUSG00000026676,ENSOANG00000015416,ortholog_one2one
ENSMUSG00000095099,,
ENSMUSG00000029062,ENSOANG00000000645,ortholog_one2one
ENSMUSG00000033740,ENSOANG00000007275,ortholog_one2one
ENSMUSG00000030966,,
ENSMUSG00000046139,ENSOANG00000013151,ortholog_one2many
ENSMUSG00000046139,ENSOANG00000011117,ortholog_one2many
ENSMUSG00000094375,,
ENSMUSG00000092216,,
ENSMUSG00000095800,,
ENSMUSG00000091060,,
ENSMUSG00000036356,ENSOANG00000005364,ortholog_one2one
ENSMUSG00000094909,,
ENSMUSG00000060878,ENSOANG00000004766,ortholog_one2one
ENSMUSG00000078612,,
ENSMUSG00000073977,,
ENSMUSG00000093881,,
ENSMUSG00000067545,,
ENSMUSG00000026697,ENSOANG00000000901,ortholog_one2one
ENSMUSG00000073978,,
ENSMUSG00000094459,,
ENSMUSG00000020064,ENSOANG00000004618,ortholog_one2one
ENSMUSG00000001052,ENSOANG00000020462,ortholog_one2many
ENSMUSG00000001052,ENSOANG00000013878,ortholog_one2many
ENSMUSG00000060556,,
ENSMUSG00000095083,,
ENSMUSG00000073979,,
ENSMUSG00000028240,ENSOANG00000005032,ortholog_one2one
ENSMUSG00000094399,,
ENSMUSG00000048292,,
ENSMUSG00000044824,,
ENSMUSG00000023953,ENSOANG00000002234,ortholog_one2one
ENSMUSG00000094716,,
ENSMUSG00000032000,ENSOANG00000010486,ortholog_one2many
ENSMUSG00000096625,,
ENSMUSG00000043925,,
ENSMUSG00000020884,,
ENSMUSG00000029486,ENSOANG00000003564,ortholog_one2one
ENSMUSG00000067848,,
ENSMUSG00000094761,,
ENSMUSG00000044814,,
ENSMUSG00000053175,ENSOANG00000001350,ortholog_one2one
ENSMUSG00000034467,ENSOANG00000029292,ortholog_one2many
ENSMUSG00000034467,ENSOANG00000021963,ortholog_one2many
ENSMUSG00000034467,ENSOANG00000020189,ortholog_one2many
ENSMUSG00000020048,ENSOANG00000005554,ortholog_one2one
ENSMUSG00000095303,,
ENSMUSG00000045391,,
ENSMUSG00000095386,,
ENSMUSG00000094744,,
ENSMUSG00000095838,,
ENSMUSG00000006930,ENSOANG00000030145,ortholog_one2one
ENSMUSG00000043300,ENSOANG00000008981,ortholog_one2one
ENSMUSG00000039963,ENSOANG00000005233,ortholog_one2one
ENSMUSG00000026672,ENSOANG00000015410,ortholog_one2one
ENSMUSG00000073682,,
ENSMUSG00000054423,ENSOANG00000021354,ortholog_one2many
ENSMUSG00000054423,ENSOANG00000029782,ortholog_one2many
ENSMUSG00000054423,ENSOANG00000006013,ortholog_one2many
ENSMUSG00000054423,ENSOANG00000028848,ortholog_one2many
ENSMUSG00000054423,ENSOANG00000012992,ortholog_one2many
ENSMUSG00000094418,,
ENSMUSG00000055435,ENSOANG00000004812,ortholog_one2one
ENSMUSG00000049742,,
ENSMUSG00000095443,,
ENSMUSG00000095167,,
ENSMUSG00000095760,,
ENSMUSG00000090468,,
ENSMUSG00000020430,ENSOANG00000020817,ortholog_one2one
ENSMUSG00000030978,ENSOANG00000010680,ortholog_one2one
ENSMUSG00000057367,ENSOANG00000010486,ortholog_one2many
ENSMUSG00000026696,ENSOANG00000000902,ortholog_one2one
ENSMUSG00000053886,ENSOANG00000005363,ortholog_one2one
ENSMUSG00000095650,,
ENSMUSG00000035161,ENSOANG00000015531,ortholog_one2one
ENSMUSG00000032411,ENSOANG00000000434,ortholog_one2one
ENSMUSG00000096187,,
ENSMUSG00000095306,,
ENSMUSG00000096575,,
ENSMUSG00000020444,ENSOANG00000014826,ortholog_one2one
ENSMUSG00000093832,,
ENSMUSG00000096418,,
ENSMUSG00000028063,ENSOANG00000012813,ortholog_one2one
ENSMUSG00000094036,,
ENSMUSG00000096671,,
ENSMUSG00000021730,ENSOANG00000003864,ortholog_one2one
ENSMUSG00000030987,ENSOANG00000009489,ortholog_one2one
ENSMUSG00000094660,,
ENSMUSG00000034493,,
ENSMUSG00000095688,,
ENSMUSG00000091155,,
ENSMUSG00000073255,,
ENSMUSG00000027363,ENSOANG00000006879,ortholog_one2one
ENSMUSG00000017165,,
ENSMUSG00000094469,,
ENSMUSG00000004637,ENSOANG00000004504,ortholog_many2many
ENSMUSG00000028330,ENSOANG00000001918,ortholog_one2one
ENSMUSG00000090308,,
ENSMUSG00000043448,,
ENSMUSG00000095153,,
ENSMUSG00000094205,,
ENSMUSG00000090816,,
ENSMUSG00000020720,ENSOANG00000008054,ortholog_one2one
ENSMUSG00000095109,,
ENSMUSG00000040525,ENSOANG00000031170,ortholog_one2one
ENSMUSG00000062372,ENSOANG00000000520,ortholog_one2one
ENSMUSG00000073982,ENSOANG00000008920,ortholog_one2one
ENSMUSG00000096125,,
ENSMUSG00000022449,ENSOANG00000004962,ortholog_one2one
ENSMUSG00000094105,,
ENSMUSG00000023952,ENSOANG00000030774,ortholog_one2one
ENSMUSG00000094857,,
ENSMUSG00000096552,,
ENSMUSG00000020044,ENSOANG00000005518,ortholog_one2one
ENSMUSG00000015733,ENSOANG00000000893,ortholog_one2one
ENSMUSG00000003555,ENSOANG00000013139,ortholog_many2many
ENSMUSG00000095582,,
ENSMUSG00000035530,,
ENSMUSG00000095726,,
ENSMUSG00000021743,ENSOANG00000006012,ortholog_one2one
ENSMUSG00000096816,,
ENSMUSG00000035184,ENSOANG00000015533,ortholog_one2one
ENSMUSG00000095815,,
ENSMUSG00000095921,,
ENSMUSG00000026669,ENSOANG00000000173,ortholog_one2one
ENSMUSG00000094629,,
ENSMUSG00000020432,ENSOANG00000011553,ortholog_one2one
ENSMUSG00000094348,,
ENSMUSG00000041488,ENSOANG00000008018,ortholog_one2one
ENSMUSG00000055298,ENSOANG00000010814,ortholog_one2many
ENSMUSG00000094209,,
ENSMUSG00000057610,ENSOANG00000013542,ortholog_many2many
ENSMUSG00000073257,,
ENSMUSG00000037526,ENSOANG00000029092,ortholog_one2one
ENSMUSG00000096104,,
ENSMUSG00000021185,ENSOANG00000003808,ortholog_one2one
ENSMUSG00000005667,ENSOANG00000013784,ortholog_many2many
ENSMUSG00000026694,ENSOANG00000000905,ortholog_one2one
ENSMUSG00000094047,,
ENSMUSG00000026942,ENSOANG00000004940,ortholog_one2one
ENSMUSG00000029290,ENSOANG00000009225,ortholog_one2one
ENSMUSG00000035031,ENSOANG00000009676,ortholog_one2one
ENSMUSG00000033834,,
ENSMUSG00000095067,,
ENSMUSG00000096548,,
ENSMUSG00000095750,,
ENSMUSG00000037536,,
ENSMUSG00000044258,,
ENSMUSG00000095441,,
ENSMUSG00000027994,ENSOANG00000003662,ortholog_one2one
ENSMUSG00000096778,,
ENSMUSG00000033111,ENSOANG00000021032,ortholog_one2one
ENSMUSG00000094279,,
ENSMUSG00000034509,ENSOANG00000001957,ortholog_one2one
ENSMUSG00000028412,ENSOANG00000004197,ortholog_one2one
ENSMUSG00000036918,ENSOANG00000021152,ortholog_one2one
ENSMUSG00000062705,,
ENSMUSG00000049287,,
ENSMUSG00000096032,,
ENSMUSG00000022439,ENSOANG00000022000,ortholog_one2one
ENSMUSG00000094742,,
ENSMUSG00000002980,ENSOANG00000008975,ortholog_one2one
ENSMUSG00000095578,,
ENSMUSG00000095084,,
ENSMUSG00000030990,ENSOANG00000002044,ortholog_one2one
ENSMUSG00000008874,ENSOANG00000000788,ortholog_one2one
ENSMUSG00000024683,ENSOANG00000008017,ortholog_one2one
ENSMUSG00000094207,,
ENSMUSG00000027867,ENSOANG00000003071,ortholog_one2one
ENSMUSG00000045750,,
