Ensembl Gene ID,Hum Ensembl Gene ID,Homology Type
ENSMUSG00000083780,ENSG00000256374,ortholog_one2many
ENSMUSG00000083780,ENSG00000255854,ortholog_one2many
ENSMUSG00000083780,ENSG00000198161,ortholog_one2many
ENSMUSG00000083780,ENSG00000236334,ortholog_one2many
ENSMUSG00000074865,,
ENSMUSG00000028737,ENSG00000159423,ortholog_one2one
ENSMUSG00000095768,,
ENSMUSG00000046650,,
ENSMUSG00000040963,ENSG00000161944,ortholog_one2one
ENSMUSG00000021342,ENSG00000172179,ortholog_one2many
ENSMUSG00000055820,,
ENSMUSG00000095275,,
ENSMUSG00000096436,ENSG00000176495,ortholog_one2many
ENSMUSG00000059874,,
ENSMUSG00000037816,,
ENSMUSG00000055228,,
ENSMUSG00000045160,ENSG00000163170,ortholog_one2one
ENSMUSG00000061200,,
ENSMUSG00000067513,ENSG00000176495,ortholog_one2many
ENSMUSG00000094353,,
ENSMUSG00000094942,,
ENSMUSG00000079657,ENSG00000167964,ortholog_one2one
ENSMUSG00000025453,ENSG00000112992,ortholog_one2one
ENSMUSG00000045540,,
ENSMUSG00000095640,ENSG00000176495,ortholog_one2many
ENSMUSG00000095837,,
ENSMUSG00000054763,ENSG00000205884,ortholog_one2one
ENSMUSG00000045835,ENSG00000112273,ortholog_one2one
ENSMUSG00000074656,ENSG00000125977,ortholog_one2one
ENSMUSG00000073950,,
ENSMUSG00000034416,,
ENSMUSG00000074867,ENSG00000180626,ortholog_many2many
ENSMUSG00000036106,ENSG00000186654,ortholog_one2one
ENSMUSG00000096761,,
ENSMUSG00000095839,,
ENSMUSG00000036661,ENSG00000105339,ortholog_one2one
ENSMUSG00000073951,,
ENSMUSG00000048076,ENSG00000143761,ortholog_one2one
ENSMUSG00000025817,ENSG00000165609,ortholog_one2one
ENSMUSG00000096903,,
ENSMUSG00000099269,,
ENSMUSG00000019861,ENSG00000047932,ortholog_one2one
ENSMUSG00000073952,,
ENSMUSG00000074870,ENSG00000135047,ortholog_one2many
ENSMUSG00000075571,ENSG00000205883,ortholog_one2one
ENSMUSG00000062121,,
ENSMUSG00000098049,ENSG00000183347,ortholog_one2many
ENSMUSG00000045394,ENSG00000119888,ortholog_one2one
ENSMUSG00000096663,,
ENSMUSG00000096194,,
ENSMUSG00000043131,ENSG00000114978,ortholog_one2one
ENSMUSG00000060049,ENSG00000176495,ortholog_one2many
ENSMUSG00000073953,,
ENSMUSG00000055745,ENSG00000188636,ortholog_one2one
ENSMUSG00000078747,ENSG00000187186,ortholog_one2many
ENSMUSG00000094762,,
ENSMUSG00000093857,,
ENSMUSG00000098598,ENSG00000184271,ortholog_one2many
ENSMUSG00000064110,,
ENSMUSG00000003581,ENSG00000099999,ortholog_one2one
ENSMUSG00000067519,ENSG00000176495,ortholog_one2many
ENSMUSG00000074871,ENSG00000135047,ortholog_one2many
ENSMUSG00000094545,,
ENSMUSG00000057321,ENSG00000233136,ortholog_many2many
ENSMUSG00000057321,ENSG00000228856,ortholog_many2many
ENSMUSG00000057321,ENSG00000227140,ortholog_many2many
ENSMUSG00000057321,ENSG00000231396,ortholog_many2many
ENSMUSG00000057321,ENSG00000223569,ortholog_many2many
ENSMUSG00000057321,ENSG00000250844,ortholog_many2many
ENSMUSG00000057321,ENSG00000232399,ortholog_many2many
ENSMUSG00000057321,ENSG00000248933,ortholog_many2many
ENSMUSG00000057321,ENSG00000231051,ortholog_many2many
ENSMUSG00000057321,ENSG00000223443,ortholog_many2many
ENSMUSG00000057321,ENSG00000248920,ortholog_many2many
ENSMUSG00000057321,ENSG00000235780,ortholog_many2many
ENSMUSG00000057321,ENSG00000232264,ortholog_many2many
ENSMUSG00000057321,ENSG00000231637,ortholog_many2many
ENSMUSG00000057321,ENSG00000227551,ortholog_many2many
ENSMUSG00000057321,ENSG00000250745,ortholog_many2many
ENSMUSG00000057321,ENSG00000249104,ortholog_many2many
ENSMUSG00000057321,ENSG00000230430,ortholog_many2many
ENSMUSG00000057321,ENSG00000249811,ortholog_many2many
ENSMUSG00000057321,ENSG00000229579,ortholog_many2many
ENSMUSG00000057321,ENSG00000250913,ortholog_many2many
ENSMUSG00000075572,ENSG00000186146,ortholog_one2one
ENSMUSG00000099100,ENSG00000139915,ortholog_many2many
ENSMUSG00000099100,ENSG00000272781,ortholog_many2many
ENSMUSG00000094133,ENSG00000176495,ortholog_one2many
ENSMUSG00000095770,ENSG00000204271,ortholog_many2many
ENSMUSG00000091096,,
ENSMUSG00000059106,,
ENSMUSG00000096386,,
ENSMUSG00000075573,ENSG00000233050,ortholog_one2many
ENSMUSG00000075573,ENSG00000232948,ortholog_one2many
ENSMUSG00000067522,ENSG00000172320,ortholog_one2one
ENSMUSG00000073954,ENSG00000273085,ortholog_many2many
ENSMUSG00000058435,ENSG00000111801,ortholog_many2many
ENSMUSG00000095806,,
ENSMUSG00000067524,ENSG00000166884,ortholog_one2one
ENSMUSG00000042050,ENSG00000126870,ortholog_one2one
ENSMUSG00000075574,,
ENSMUSG00000095300,,
ENSMUSG00000073955,,
ENSMUSG00000048978,ENSG00000152954,ortholog_one2one
ENSMUSG00000098034,ENSG00000242550,ortholog_one2many
ENSMUSG00000094439,ENSG00000255275,ortholog_one2one
ENSMUSG00000067525,ENSG00000172742,ortholog_many2many
ENSMUSG00000059867,,
ENSMUSG00000095745,,
ENSMUSG00000091539,,
ENSMUSG00000073956,ENSG00000205495,ortholog_one2one
ENSMUSG00000029622,ENSG00000130429,ortholog_one2one
ENSMUSG00000064370,ENSG00000198727,ortholog_one2one
ENSMUSG00000094757,,
ENSMUSG00000090497,,
ENSMUSG00000048299,,
ENSMUSG00000025041,ENSG00000076685,ortholog_one2one
ENSMUSG00000034384,ENSG00000143032,ortholog_one2one
ENSMUSG00000094886,ENSG00000267228,ortholog_many2many
ENSMUSG00000020441,ENSG00000143793,ortholog_one2one
ENSMUSG00000064368,ENSG00000198695,ortholog_one2one
ENSMUSG00000094298,,
ENSMUSG00000057461,,
ENSMUSG00000064367,ENSG00000198786,ortholog_one2one
ENSMUSG00000096730,,
ENSMUSG00000051362,ENSG00000176787,ortholog_one2one
ENSMUSG00000039483,ENSG00000148331,ortholog_one2one
ENSMUSG00000093976,,
ENSMUSG00000033166,ENSG00000083520,ortholog_one2one
ENSMUSG00000044994,ENSG00000254466,ortholog_one2many
ENSMUSG00000094735,,
ENSMUSG00000031444,ENSG00000126218,ortholog_one2one
ENSMUSG00000003585,ENSG00000100003,ortholog_one2one
ENSMUSG00000064363,ENSG00000198886,ortholog_one2one
ENSMUSG00000066268,,
ENSMUSG00000067526,ENSG00000254466,ortholog_one2many
ENSMUSG00000094011,,
ENSMUSG00000065947,ENSG00000212907,ortholog_one2many
ENSMUSG00000041025,ENSG00000169991,ortholog_many2many
ENSMUSG00000078080,ENSG00000188069,ortholog_one2many
ENSMUSG00000028517,ENSG00000162407,ortholog_one2one
ENSMUSG00000067528,ENSG00000254466,ortholog_one2many
ENSMUSG00000028883,ENSG00000075213,ortholog_one2one
ENSMUSG00000064360,ENSG00000198840,ortholog_one2one
ENSMUSG00000096164,,
ENSMUSG00000073959,ENSG00000176937,ortholog_one2many
ENSMUSG00000067529,ENSG00000176200,ortholog_one2one
ENSMUSG00000019891,ENSG00000164465,ortholog_one2one
ENSMUSG00000064358,ENSG00000198938,ortholog_one2one
ENSMUSG00000064357,ENSG00000198899,ortholog_one2one
ENSMUSG00000096152,,
ENSMUSG00000073960,ENSG00000188069,ortholog_one2many
ENSMUSG00000028259,ENSG00000112214,ortholog_one2one
ENSMUSG00000064356,,
ENSMUSG00000021440,ENSG00000135047,ortholog_one2many
ENSMUSG00000064354,ENSG00000198712,ortholog_one2one
ENSMUSG00000073961,ENSG00000176937,ortholog_one2many
ENSMUSG00000095076,,
ENSMUSG00000095201,,
ENSMUSG00000095637,,
ENSMUSG00000045792,ENSG00000176879,ortholog_one2one
ENSMUSG00000034687,ENSG00000138759,ortholog_one2one
ENSMUSG00000064351,ENSG00000198804,ortholog_one2one
ENSMUSG00000095728,,
ENSMUSG00000044042,ENSG00000248905,ortholog_one2one
ENSMUSG00000004748,ENSG00000242114,ortholog_one2one
ENSMUSG00000034424,ENSG00000140905,ortholog_one2one
ENSMUSG00000038112,ENSG00000110002,ortholog_one2many
ENSMUSG00000051285,ENSG00000168300,ortholog_one2one
ENSMUSG00000096645,ENSG00000147059,ortholog_many2many
ENSMUSG00000043354,ENSG00000176893,ortholog_one2one
ENSMUSG00000027596,ENSG00000101440,ortholog_one2one
ENSMUSG00000028249,ENSG00000137575,ortholog_one2one
ENSMUSG00000094722,,
ENSMUSG00000094351,,
ENSMUSG00000057446,ENSG00000135047,ortholog_one2many
ENSMUSG00000051234,ENSG00000114125,ortholog_one2many
ENSMUSG00000073962,ENSG00000176895,ortholog_one2one
ENSMUSG00000064345,ENSG00000198763,ortholog_one2one
ENSMUSG00000094352,,
ENSMUSG00000033285,ENSG00000065183,ortholog_one2one
ENSMUSG00000031847,ENSG00000166455,ortholog_one2one
ENSMUSG00000040372,ENSG00000112218,ortholog_one2one
ENSMUSG00000096244,,
ENSMUSG00000054752,ENSG00000106701,ortholog_one2one
ENSMUSG00000066269,ENSG00000205497,ortholog_many2many
ENSMUSG00000095229,,
ENSMUSG00000096776,,
ENSMUSG00000064341,ENSG00000198888,ortholog_one2one
ENSMUSG00000060508,ENSG00000185792,ortholog_one2many
ENSMUSG00000056418,,
ENSMUSG00000045824,ENSG00000176900,ortholog_one2one
ENSMUSG00000021441,ENSG00000135047,ortholog_one2many
ENSMUSG00000095754,ENSG00000147059,ortholog_many2many
ENSMUSG00000052785,ENSG00000176904,ortholog_one2many
ENSMUSG00000047388,ENSG00000166454,ortholog_one2one
ENSMUSG00000049076,ENSG00000114331,ortholog_one2one
ENSMUSG00000001552,ENSG00000173801,ortholog_one2one
ENSMUSG00000094391,,
ENSMUSG00000073963,,
ENSMUSG00000062038,ENSG00000172115,ortholog_many2many
ENSMUSG00000098112,ENSG00000110934,ortholog_one2one
ENSMUSG00000035910,ENSG00000146038,ortholog_one2one
ENSMUSG00000022070,ENSG00000136122,ortholog_one2one
ENSMUSG00000043310,ENSG00000176922,ortholog_one2one
ENSMUSG00000079834,ENSG00000185973,ortholog_one2one
ENSMUSG00000032412,ENSG00000069849,ortholog_one2one
ENSMUSG00000055679,ENSG00000135047,ortholog_one2many
ENSMUSG00000014547,ENSG00000139668,ortholog_one2one
ENSMUSG00000073964,ENSG00000205496,ortholog_many2many
ENSMUSG00000054986,ENSG00000100012,ortholog_one2one
ENSMUSG00000062142,ENSG00000176937,ortholog_one2many
ENSMUSG00000053110,ENSG00000137693,ortholog_one2one
ENSMUSG00000061654,ENSG00000168939,ortholog_one2one
ENSMUSG00000039128,ENSG00000151465,ortholog_one2one
ENSMUSG00000011171,ENSG00000106018,ortholog_one2one
ENSMUSG00000059923,ENSG00000177885,ortholog_one2one
ENSMUSG00000073965,ENSG00000176925,ortholog_one2one
ENSMUSG00000064105,ENSG00000148842,ortholog_one2one
ENSMUSG00000033186,ENSG00000204899,ortholog_one2one
ENSMUSG00000090805,,
ENSMUSG00000028518,ENSG00000162409,ortholog_one2one
ENSMUSG00000070777,,
ENSMUSG00000060888,ENSG00000188069,ortholog_one2many
ENSMUSG00000051412,ENSG00000124333,ortholog_one2one
ENSMUSG00000048469,,
ENSMUSG00000027787,ENSG00000169251,ortholog_one2one
ENSMUSG00000025402,ENSG00000166886,ortholog_one2one
ENSMUSG00000021732,ENSG00000070193,ortholog_one2one
ENSMUSG00000036860,ENSG00000162910,ortholog_one2one
ENSMUSG00000040254,ENSG00000153993,ortholog_one2one
ENSMUSG00000094799,ENSG00000135899,ortholog_one2many
ENSMUSG00000073966,,
ENSMUSG00000021339,ENSG00000124532,ortholog_one2one
ENSMUSG00000070778,ENSG00000148303,ortholog_one2many
ENSMUSG00000079794,ENSG00000079263,ortholog_one2many
ENSMUSG00000079192,ENSG00000079263,ortholog_one2many
ENSMUSG00000043366,ENSG00000167332,ortholog_one2one
ENSMUSG00000097411,,
ENSMUSG00000040498,ENSG00000216588,ortholog_one2one
ENSMUSG00000095092,ENSG00000135899,ortholog_one2many
ENSMUSG00000026857,ENSG00000148335,ortholog_one2one
ENSMUSG00000036438,ENSG00000143933,ortholog_one2one
ENSMUSG00000079800,,
ENSMUSG00000031756,ENSG00000166451,ortholog_one2one
ENSMUSG00000029621,ENSG00000241685,ortholog_one2one
ENSMUSG00000066272,,
ENSMUSG00000059366,,
ENSMUSG00000021843,ENSG00000126777,ortholog_one2one
ENSMUSG00000094065,ENSG00000137077,ortholog_one2many
ENSMUSG00000021731,ENSG00000112996,ortholog_one2one
ENSMUSG00000095041,ENSG00000241878,ortholog_one2one
ENSMUSG00000066273,,
ENSMUSG00000094759,,
ENSMUSG00000050853,ENSG00000197309,ortholog_one2one
ENSMUSG00000070423,ENSG00000180785,ortholog_one2one
ENSMUSG00000096543,,
ENSMUSG00000073967,ENSG00000197428,ortholog_one2one
ENSMUSG00000024687,ENSG00000110048,ortholog_one2one
ENSMUSG00000053559,ENSG00000170545,ortholog_one2one
ENSMUSG00000019368,ENSG00000133488,ortholog_one2one
ENSMUSG00000095322,,
ENSMUSG00000036557,ENSG00000239605,ortholog_one2one
ENSMUSG00000040511,ENSG00000073008,ortholog_one2one
ENSMUSG00000014633,ENSG00000103121,ortholog_one2one
ENSMUSG00000073968,ENSG00000167333,ortholog_one2one
ENSMUSG00000003559,ENSG00000214435,ortholog_one2one
ENSMUSG00000000346,ENSG00000183283,ortholog_one2one
ENSMUSG00000062649,ENSG00000255298,ortholog_many2many
ENSMUSG00000042063,ENSG00000213988,ortholog_one2many
ENSMUSG00000042063,ENSG00000081665,ortholog_one2many
ENSMUSG00000042063,ENSG00000188171,ortholog_one2many
ENSMUSG00000042063,ENSG00000256229,ortholog_one2many
ENSMUSG00000042063,ENSG00000237440,ortholog_one2many
ENSMUSG00000042063,ENSG00000256771,ortholog_one2many
ENSMUSG00000042063,ENSG00000160229,ortholog_one2many
ENSMUSG00000042063,ENSG00000184635,ortholog_one2many
ENSMUSG00000062760,ENSG00000138944,ortholog_one2one
ENSMUSG00000073969,ENSG00000226288,ortholog_one2many
ENSMUSG00000073969,ENSG00000232268,ortholog_one2many
ENSMUSG00000095019,,
ENSMUSG00000041718,,
ENSMUSG00000073970,ENSG00000176904,ortholog_one2many
ENSMUSG00000063176,,
ENSMUSG00000062376,ENSG00000166275,ortholog_one2many
ENSMUSG00000062376,ENSG00000270316,ortholog_one2many
ENSMUSG00000095326,,
ENSMUSG00000028261,ENSG00000123545,ortholog_one2one
ENSMUSG00000096850,,
ENSMUSG00000021439,ENSG00000135047,ortholog_one2many
ENSMUSG00000073971,ENSG00000197790,ortholog_one2one
ENSMUSG00000039145,ENSG00000183049,ortholog_one2one
ENSMUSG00000029620,,
ENSMUSG00000073972,,
ENSMUSG00000094745,ENSG00000255298,ortholog_many2many
ENSMUSG00000031758,ENSG00000166446,ortholog_one2one
ENSMUSG00000047434,ENSG00000173950,ortholog_one2one
ENSMUSG00000073973,ENSG00000181963,ortholog_one2many
ENSMUSG00000031443,ENSG00000057593,ortholog_one2one
ENSMUSG00000021072,ENSG00000139921,ortholog_one2one
ENSMUSG00000096466,ENSG00000211950,ortholog_one2many
ENSMUSG00000096768,,
ENSMUSG00000073974,,
ENSMUSG00000049848,ENSG00000186567,ortholog_one2one
ENSMUSG00000061707,,
ENSMUSG00000046546,ENSG00000185112,ortholog_one2one
ENSMUSG00000073975,,
ENSMUSG00000030243,ENSG00000004700,ortholog_one2one
ENSMUSG00000049721,ENSG00000128242,ortholog_one2one
ENSMUSG00000095134,ENSG00000101871,ortholog_one2many
ENSMUSG00000095366,,
ENSMUSG00000014686,ENSG00000213892,ortholog_one2one
ENSMUSG00000096178,,
ENSMUSG00000026676,ENSG00000151468,ortholog_one2one
ENSMUSG00000095099,,
ENSMUSG00000029062,ENSG00000248333,ortholog_one2many
ENSMUSG00000029062,ENSG00000008128,ortholog_one2many
ENSMUSG00000033740,ENSG00000147488,ortholog_one2one
ENSMUSG00000030966,ENSG00000132109,ortholog_one2one
ENSMUSG00000046139,ENSG00000166889,ortholog_one2one
ENSMUSG00000094375,,
ENSMUSG00000092216,,
ENSMUSG00000095800,,
ENSMUSG00000091060,,
ENSMUSG00000036356,ENSG00000147408,ortholog_one2one
ENSMUSG00000094909,,
ENSMUSG00000060878,ENSG00000172289,ortholog_one2one
ENSMUSG00000078612,ENSG00000187889,ortholog_one2one
ENSMUSG00000073977,,
ENSMUSG00000093881,,
ENSMUSG00000067545,,
ENSMUSG00000026697,ENSG00000034971,ortholog_one2one
ENSMUSG00000073978,ENSG00000221996,ortholog_one2many
ENSMUSG00000094459,,
ENSMUSG00000020064,ENSG00000148634,ortholog_one2one
ENSMUSG00000001052,ENSG00000138802,ortholog_one2one
ENSMUSG00000060556,,
ENSMUSG00000095083,,
ENSMUSG00000073979,ENSG00000221996,ortholog_one2many
ENSMUSG00000028240,ENSG00000167910,ortholog_one2one
ENSMUSG00000094399,,
ENSMUSG00000048292,,
ENSMUSG00000044824,,
ENSMUSG00000023953,ENSG00000170734,ortholog_one2one
ENSMUSG00000094716,,
ENSMUSG00000032000,ENSG00000023445,ortholog_one2one
ENSMUSG00000096625,,
ENSMUSG00000043925,,
ENSMUSG00000020884,ENSG00000141505,ortholog_one2one
ENSMUSG00000029486,ENSG00000169288,ortholog_one2one
ENSMUSG00000067848,,
ENSMUSG00000094761,,
ENSMUSG00000044814,,
ENSMUSG00000053175,ENSG00000069399,ortholog_one2one
ENSMUSG00000034467,ENSG00000168589,ortholog_one2one
ENSMUSG00000020048,ENSG00000166598,ortholog_one2one
ENSMUSG00000095303,,
ENSMUSG00000045391,,
ENSMUSG00000095386,,
ENSMUSG00000094744,,
ENSMUSG00000095838,,
ENSMUSG00000006930,ENSG00000173805,ortholog_one2one
ENSMUSG00000043300,ENSG00000169255,ortholog_one2one
ENSMUSG00000039963,ENSG00000141519,ortholog_one2one
ENSMUSG00000026672,ENSG00000123240,ortholog_one2one
ENSMUSG00000073682,,
ENSMUSG00000054423,ENSG00000163618,ortholog_one2one
ENSMUSG00000094418,,
ENSMUSG00000055435,ENSG00000178573,ortholog_one2one
ENSMUSG00000049742,,
ENSMUSG00000095443,,
ENSMUSG00000095167,,
ENSMUSG00000095760,,
ENSMUSG00000090468,ENSG00000185885,ortholog_many2many
ENSMUSG00000090468,ENSG00000142089,ortholog_many2many
ENSMUSG00000090468,ENSG00000185201,ortholog_many2many
ENSMUSG00000020430,ENSG00000100029,ortholog_one2one
ENSMUSG00000030978,ENSG00000167325,ortholog_one2one
ENSMUSG00000057367,ENSG00000110330,ortholog_one2one
ENSMUSG00000026696,ENSG00000117533,ortholog_one2one
ENSMUSG00000053886,ENSG00000104611,ortholog_one2one
ENSMUSG00000095650,,
ENSMUSG00000035161,ENSG00000102786,ortholog_one2one
ENSMUSG00000032411,ENSG00000114126,ortholog_one2one
ENSMUSG00000096187,,
ENSMUSG00000095306,,
ENSMUSG00000096575,,
ENSMUSG00000020444,ENSG00000143774,ortholog_one2one
ENSMUSG00000093832,,
ENSMUSG00000096418,,
ENSMUSG00000028063,ENSG00000160789,ortholog_one2one
ENSMUSG00000094036,,
ENSMUSG00000096671,,
ENSMUSG00000021730,ENSG00000164588,ortholog_one2one
ENSMUSG00000030987,ENSG00000167323,ortholog_one2one
ENSMUSG00000094660,,
ENSMUSG00000034493,,
ENSMUSG00000095688,,
ENSMUSG00000091155,ENSG00000253309,ortholog_one2one
ENSMUSG00000073255,,
ENSMUSG00000027363,ENSG00000138592,ortholog_one2one
ENSMUSG00000017165,ENSG00000184502,ortholog_one2one
ENSMUSG00000094469,,
ENSMUSG00000004637,ENSG00000186153,ortholog_one2one
ENSMUSG00000028330,ENSG00000136937,ortholog_one2one
ENSMUSG00000090308,,
ENSMUSG00000043448,ENSG00000198835,ortholog_one2one
ENSMUSG00000095153,,
ENSMUSG00000094205,,
ENSMUSG00000090816,,
ENSMUSG00000020720,ENSG00000197170,ortholog_one2one
ENSMUSG00000095109,,
ENSMUSG00000040525,ENSG00000142273,ortholog_one2one
ENSMUSG00000062372,ENSG00000115155,ortholog_one2one
ENSMUSG00000073982,ENSG00000177105,ortholog_one2one
ENSMUSG00000096125,,
ENSMUSG00000022449,ENSG00000173157,ortholog_one2one
ENSMUSG00000094105,,
ENSMUSG00000023952,ENSG00000172432,ortholog_one2one
ENSMUSG00000094857,,
ENSMUSG00000096552,,
ENSMUSG00000020044,ENSG00000100234,ortholog_one2one
ENSMUSG00000015733,ENSG00000198898,ortholog_one2one
ENSMUSG00000003555,ENSG00000148795,ortholog_one2one
ENSMUSG00000095582,,
ENSMUSG00000035530,ENSG00000173812,ortholog_one2one
ENSMUSG00000095726,,
ENSMUSG00000021743,ENSG00000153266,ortholog_one2one
ENSMUSG00000096816,,
ENSMUSG00000035184,ENSG00000150510,ortholog_one2one
ENSMUSG00000095815,,
ENSMUSG00000095921,,
ENSMUSG00000026669,ENSG00000065328,ortholog_one2one
ENSMUSG00000094629,,
ENSMUSG00000020432,ENSG00000185339,ortholog_one2one
ENSMUSG00000094348,,
ENSMUSG00000041488,ENSG00000166900,ortholog_one2one
ENSMUSG00000055298,ENSG00000135047,ortholog_one2many
ENSMUSG00000094209,,
ENSMUSG00000057610,ENSG00000211950,ortholog_one2many
ENSMUSG00000073257,,
ENSMUSG00000037526,ENSG00000126775,ortholog_one2one
ENSMUSG00000096104,,
ENSMUSG00000021185,ENSG00000133943,ortholog_one2one
ENSMUSG00000005667,ENSG00000065911,ortholog_one2one
ENSMUSG00000026694,ENSG00000010165,ortholog_one2one
ENSMUSG00000094047,,
