Ensembl Gene ID,Chicken Ensembl Gene ID,Homology Type
ENSMUSG00000051427,ENSGALG00000007907,ortholog_one2one
ENSMUSG00000058976,,
ENSMUSG00000024027,ENSGALG00000010078,ortholog_one2one
ENSMUSG00000072066,,
ENSMUSG00000095190,ENSGALG00000025768,ortholog_one2many
ENSMUSG00000058762,,
ENSMUSG00000095903,,
ENSMUSG00000050815,,
ENSMUSG00000028329,ENSGALG00000028998,ortholog_one2one
ENSMUSG00000083780,ENSGALG00000001269,ortholog_many2many
ENSMUSG00000074865,,
ENSMUSG00000028737,ENSGALG00000003804,ortholog_one2one
ENSMUSG00000095768,,
ENSMUSG00000046650,,
ENSMUSG00000040963,,
ENSMUSG00000021342,ENSGALG00000012671,ortholog_one2many
ENSMUSG00000055820,,
ENSMUSG00000095275,,
ENSMUSG00000096436,,
ENSMUSG00000059874,,
ENSMUSG00000037816,,
ENSMUSG00000055228,,
ENSMUSG00000045160,,
ENSMUSG00000061200,,
ENSMUSG00000067513,,
ENSMUSG00000094353,,
ENSMUSG00000094942,,
ENSMUSG00000079657,ENSGALG00000005751,ortholog_one2one
ENSMUSG00000025453,ENSGALG00000014869,ortholog_one2one
ENSMUSG00000045540,,
ENSMUSG00000095640,,
ENSMUSG00000095837,,
ENSMUSG00000054763,,
ENSMUSG00000045835,ENSGALG00000022570,ortholog_one2many
ENSMUSG00000074656,ENSGALG00000002045,ortholog_one2one
ENSMUSG00000073950,,
ENSMUSG00000034416,ENSGALG00000005435,ortholog_one2one
ENSMUSG00000074867,,
ENSMUSG00000036106,ENSGALG00000014213,ortholog_one2one
ENSMUSG00000096761,,
ENSMUSG00000095839,,
ENSMUSG00000036661,ENSGALG00000016167,ortholog_one2one
ENSMUSG00000073951,,
ENSMUSG00000048076,ENSGALG00000005393,ortholog_one2one
ENSMUSG00000025817,ENSGALG00000013967,ortholog_one2one
ENSMUSG00000096903,,
ENSMUSG00000099269,,
ENSMUSG00000019861,ENSGALG00000014902,ortholog_one2one
ENSMUSG00000073952,,
ENSMUSG00000074870,ENSGALG00000012610,ortholog_one2many
ENSMUSG00000075571,,
ENSMUSG00000062121,,
ENSMUSG00000098049,ENSGALG00000026451,ortholog_many2many
ENSMUSG00000045394,ENSGALG00000008969,ortholog_one2one
ENSMUSG00000096663,,
ENSMUSG00000096194,,
ENSMUSG00000043131,ENSGALG00000026133,ortholog_one2one
ENSMUSG00000060049,,
ENSMUSG00000073953,,
ENSMUSG00000055745,,
ENSMUSG00000078747,,
ENSMUSG00000094762,,
ENSMUSG00000093857,,
ENSMUSG00000098598,,
ENSMUSG00000064110,,
ENSMUSG00000003581,ENSGALG00000007891,ortholog_one2one
ENSMUSG00000067519,,
ENSMUSG00000074871,ENSGALG00000012610,ortholog_one2many
ENSMUSG00000094545,,
ENSMUSG00000057321,,
ENSMUSG00000075572,,
ENSMUSG00000099100,ENSGALG00000012228,ortholog_one2many
ENSMUSG00000094133,,
ENSMUSG00000095770,ENSGALG00000014916,ortholog_many2many
ENSMUSG00000095770,ENSGALG00000029162,ortholog_many2many
ENSMUSG00000091096,,
ENSMUSG00000059106,,
ENSMUSG00000096386,,
ENSMUSG00000075573,,
ENSMUSG00000067522,,
ENSMUSG00000073954,,
ENSMUSG00000058435,,
ENSMUSG00000095806,,
ENSMUSG00000067524,,
ENSMUSG00000042050,ENSGALG00000006558,ortholog_one2one
ENSMUSG00000075574,,
ENSMUSG00000095300,,
ENSMUSG00000073955,,
ENSMUSG00000048978,ENSGALG00000012670,ortholog_one2one
ENSMUSG00000098034,ENSGALG00000019553,ortholog_many2many
ENSMUSG00000098034,ENSGALG00000019554,ortholog_many2many
ENSMUSG00000098034,ENSGALG00000012866,ortholog_many2many
ENSMUSG00000094439,ENSGALG00000003817,ortholog_one2many
ENSMUSG00000067525,,
ENSMUSG00000059867,,
ENSMUSG00000095745,,
ENSMUSG00000091539,,
ENSMUSG00000073956,,
ENSMUSG00000029622,ENSGALG00000022490,ortholog_one2one
ENSMUSG00000064370,ENSGALG00000018360,ortholog_one2one
ENSMUSG00000094757,,
ENSMUSG00000090497,,
ENSMUSG00000048299,,
ENSMUSG00000025041,ENSGALG00000008179,ortholog_one2one
ENSMUSG00000034384,,
ENSMUSG00000094886,,
ENSMUSG00000020441,ENSGALG00000026648,ortholog_one2one
ENSMUSG00000064368,ENSGALG00000018357,ortholog_one2one
ENSMUSG00000094298,,
ENSMUSG00000057461,,
ENSMUSG00000064367,ENSGALG00000018361,ortholog_one2one
ENSMUSG00000096730,,
ENSMUSG00000051362,,
ENSMUSG00000039483,ENSGALG00000004378,ortholog_one2one
ENSMUSG00000093976,,
ENSMUSG00000033166,ENSGALG00000016930,ortholog_one2one
ENSMUSG00000044994,,
ENSMUSG00000094735,,
ENSMUSG00000031444,ENSGALG00000026677,ortholog_one2one
ENSMUSG00000003585,ENSGALG00000007840,ortholog_one2many
ENSMUSG00000064363,ENSGALG00000018364,ortholog_one2one
ENSMUSG00000066268,,
ENSMUSG00000067526,,
ENSMUSG00000094011,,
ENSMUSG00000065947,ENSGALG00000021719,ortholog_one2many
ENSMUSG00000041025,ENSGALG00000003817,ortholog_one2many
ENSMUSG00000078080,,
ENSMUSG00000028517,ENSGALG00000010818,ortholog_one2one
ENSMUSG00000067528,,
ENSMUSG00000028883,ENSGALG00000006560,ortholog_one2one
ENSMUSG00000064360,ENSGALG00000018366,ortholog_one2one
ENSMUSG00000096164,,
ENSMUSG00000073959,,
ENSMUSG00000067529,,
ENSMUSG00000019891,ENSGALG00000014907,ortholog_one2one
ENSMUSG00000064358,ENSGALG00000018367,ortholog_one2one
ENSMUSG00000064357,ENSGALG00000018368,ortholog_one2one
ENSMUSG00000096152,,
ENSMUSG00000073960,,
ENSMUSG00000028259,ENSGALG00000015573,ortholog_one2one
ENSMUSG00000064356,,
ENSMUSG00000021440,ENSGALG00000012610,ortholog_one2many
ENSMUSG00000064354,ENSGALG00000018370,ortholog_one2one
ENSMUSG00000073961,,
ENSMUSG00000095076,,
ENSMUSG00000095201,,
ENSMUSG00000095637,,
ENSMUSG00000045792,,
ENSMUSG00000034687,ENSGALG00000010316,ortholog_one2one
ENSMUSG00000064351,ENSGALG00000018373,ortholog_one2one
ENSMUSG00000095728,,
ENSMUSG00000044042,ENSGALG00000009723,ortholog_one2one
ENSMUSG00000004748,,
ENSMUSG00000034424,ENSGALG00000027469,ortholog_one2many
ENSMUSG00000034424,ENSGALG00000005446,ortholog_one2many
ENSMUSG00000038112,ENSGALG00000000193,ortholog_many2many
ENSMUSG00000038112,ENSGALG00000028815,ortholog_many2many
ENSMUSG00000051285,ENSGALG00000015250,ortholog_one2one
ENSMUSG00000096645,ENSGALG00000014916,ortholog_many2many
ENSMUSG00000096645,ENSGALG00000029162,ortholog_many2many
ENSMUSG00000043354,,
ENSMUSG00000027596,ENSGALG00000021455,ortholog_one2one
ENSMUSG00000028249,ENSGALG00000015436,ortholog_one2one
ENSMUSG00000094722,,
ENSMUSG00000094351,,
ENSMUSG00000057446,ENSGALG00000012610,ortholog_one2many
ENSMUSG00000051234,ENSGALG00000021117,ortholog_one2many
ENSMUSG00000073962,,
ENSMUSG00000064345,ENSGALG00000018378,ortholog_one2one
ENSMUSG00000094352,,
ENSMUSG00000033285,ENSGALG00000014791,ortholog_one2one
ENSMUSG00000031847,,
ENSMUSG00000040372,ENSGALG00000015570,ortholog_one2one
ENSMUSG00000096244,,
ENSMUSG00000054752,ENSGALG00000015442,ortholog_one2one
ENSMUSG00000066269,,
ENSMUSG00000095229,,
ENSMUSG00000096776,,
ENSMUSG00000064341,ENSGALG00000018382,ortholog_one2one
ENSMUSG00000060508,,
ENSMUSG00000056418,,
ENSMUSG00000045824,,
ENSMUSG00000021441,ENSGALG00000012610,ortholog_one2many
ENSMUSG00000095754,ENSGALG00000014916,ortholog_many2many
ENSMUSG00000095754,ENSGALG00000029162,ortholog_many2many
ENSMUSG00000052785,,
ENSMUSG00000047388,ENSGALG00000013486,ortholog_one2one
ENSMUSG00000049076,ENSGALG00000007040,ortholog_one2one
ENSMUSG00000001552,ENSGALG00000017414,ortholog_one2one
ENSMUSG00000094391,,
ENSMUSG00000073963,,
ENSMUSG00000062038,ENSGALG00000011020,ortholog_one2many
ENSMUSG00000098112,ENSGALG00000028433,ortholog_one2one
ENSMUSG00000035910,ENSGALG00000012668,ortholog_one2one
ENSMUSG00000022070,ENSGALG00000016931,ortholog_one2one
ENSMUSG00000043310,,
ENSMUSG00000079834,ENSGALG00000007443,ortholog_one2one
ENSMUSG00000032412,ENSGALG00000002764,ortholog_one2one
ENSMUSG00000055679,ENSGALG00000012610,ortholog_one2many
ENSMUSG00000014547,ENSGALG00000017019,ortholog_one2one
ENSMUSG00000073964,,
ENSMUSG00000054986,ENSGALG00000007840,ortholog_one2many
ENSMUSG00000062142,,
ENSMUSG00000053110,ENSGALG00000017188,ortholog_one2one
ENSMUSG00000061654,ENSGALG00000007448,ortholog_one2one
ENSMUSG00000039128,ENSGALG00000014038,ortholog_one2one
ENSMUSG00000011171,ENSGALG00000006575,ortholog_one2one
ENSMUSG00000059923,ENSGALG00000008016,ortholog_one2one
ENSMUSG00000073965,,
ENSMUSG00000064105,ENSGALG00000008160,ortholog_one2one
ENSMUSG00000033186,ENSGALG00000016932,ortholog_one2one
ENSMUSG00000090805,,
ENSMUSG00000028518,ENSGALG00000010826,ortholog_one2one
ENSMUSG00000070777,,
ENSMUSG00000060888,,
ENSMUSG00000051412,ENSGALG00000007476,ortholog_one2one
ENSMUSG00000048469,,
ENSMUSG00000027787,ENSGALG00000009533,ortholog_one2one
ENSMUSG00000025402,,
ENSMUSG00000021732,ENSGALG00000014872,ortholog_one2one
ENSMUSG00000036860,ENSGALG00000027824,ortholog_one2one
ENSMUSG00000040254,ENSGALG00000006563,ortholog_one2one
ENSMUSG00000094799,,
ENSMUSG00000073966,,
ENSMUSG00000021339,ENSGALG00000012667,ortholog_one2one
ENSMUSG00000070778,ENSGALG00000003197,ortholog_one2many
ENSMUSG00000079794,,
ENSMUSG00000079192,,
ENSMUSG00000043366,,
ENSMUSG00000097411,,
ENSMUSG00000040498,,
ENSMUSG00000095092,,
ENSMUSG00000026857,ENSGALG00000017611,ortholog_one2one
ENSMUSG00000036438,ENSGALG00000010023,ortholog_one2one
ENSMUSG00000079800,,
ENSMUSG00000031756,ENSGALG00000013494,ortholog_one2one
ENSMUSG00000029621,ENSGALG00000004693,ortholog_one2one
ENSMUSG00000066272,,
ENSMUSG00000059366,,
ENSMUSG00000021843,ENSGALG00000012137,ortholog_one2one
ENSMUSG00000094065,,
ENSMUSG00000021731,ENSGALG00000014874,ortholog_one2one
ENSMUSG00000095041,ENSGALG00000006872,ortholog_one2one
ENSMUSG00000066273,,
ENSMUSG00000094759,,
ENSMUSG00000050853,,
ENSMUSG00000070423,,
ENSMUSG00000096543,,
ENSMUSG00000073967,,
ENSMUSG00000024687,ENSGALG00000027392,ortholog_one2one
ENSMUSG00000053559,,
ENSMUSG00000019368,ENSGALG00000007840,ortholog_one2many
ENSMUSG00000095322,,
ENSMUSG00000036557,,
ENSMUSG00000040511,,
ENSMUSG00000014633,ENSGALG00000028275,ortholog_one2one
ENSMUSG00000073968,,
ENSMUSG00000003559,ENSGALG00000008133,ortholog_one2one
ENSMUSG00000000346,,
ENSMUSG00000062649,,
ENSMUSG00000042063,,
ENSMUSG00000062760,ENSGALG00000028130,ortholog_one2one
ENSMUSG00000073969,ENSGALG00000019030,ortholog_one2one
ENSMUSG00000095019,,
ENSMUSG00000041718,,
ENSMUSG00000073970,,
ENSMUSG00000063176,,
ENSMUSG00000062376,ENSGALG00000008124,ortholog_one2one
ENSMUSG00000095326,,
ENSMUSG00000028261,ENSGALG00000019921,ortholog_one2one
ENSMUSG00000096850,,
ENSMUSG00000021439,ENSGALG00000012610,ortholog_one2many
ENSMUSG00000073971,,
ENSMUSG00000039145,ENSGALG00000009866,ortholog_one2one
ENSMUSG00000029620,,
ENSMUSG00000073972,,
ENSMUSG00000094745,,
ENSMUSG00000031758,ENSGALG00000012978,ortholog_one2one
ENSMUSG00000047434,,
ENSMUSG00000073973,,
ENSMUSG00000031443,ENSGALG00000016833,ortholog_one2one
ENSMUSG00000021072,ENSGALG00000020340,ortholog_one2one
ENSMUSG00000096466,ENSGALG00000005756,ortholog_many2many
ENSMUSG00000096768,,
ENSMUSG00000073974,ENSGALG00000029040,ortholog_one2one
ENSMUSG00000049848,,
ENSMUSG00000061707,,
ENSMUSG00000046546,ENSGALG00000007053,ortholog_one2one
ENSMUSG00000073975,,
ENSMUSG00000030243,ENSGALG00000013174,ortholog_one2one
ENSMUSG00000049721,ENSGALG00000007781,ortholog_one2one
ENSMUSG00000095134,ENSGALG00000016603,ortholog_one2many
ENSMUSG00000095366,,
ENSMUSG00000014686,,
ENSMUSG00000096178,,
ENSMUSG00000026676,ENSGALG00000027168,ortholog_one2one
ENSMUSG00000095099,,
ENSMUSG00000029062,ENSGALG00000001382,ortholog_one2one
ENSMUSG00000033740,ENSGALG00000015254,ortholog_one2one
ENSMUSG00000030966,ENSGALG00000000865,ortholog_one2many
ENSMUSG00000046139,ENSGALG00000026800,ortholog_one2one
ENSMUSG00000094375,,
ENSMUSG00000092216,,
ENSMUSG00000095800,,
ENSMUSG00000091060,,
ENSMUSG00000036356,ENSGALG00000010125,ortholog_one2one
ENSMUSG00000094909,,
ENSMUSG00000060878,,
ENSMUSG00000078612,ENSGALG00000010841,ortholog_one2one
ENSMUSG00000073977,,
ENSMUSG00000093881,,
ENSMUSG00000067545,,
ENSMUSG00000026697,ENSGALG00000021074,ortholog_one2one
ENSMUSG00000073978,,
ENSMUSG00000094459,,
ENSMUSG00000020064,ENSGALG00000003861,ortholog_one2one
ENSMUSG00000001052,ENSGALG00000010414,ortholog_one2one
ENSMUSG00000060556,,
ENSMUSG00000095083,,
ENSMUSG00000073979,,
ENSMUSG00000028240,ENSGALG00000015432,ortholog_one2one
ENSMUSG00000094399,,
ENSMUSG00000048292,,
ENSMUSG00000044824,,
ENSMUSG00000023953,ENSGALG00000010317,ortholog_one2one
ENSMUSG00000094716,,
ENSMUSG00000032000,ENSGALG00000017186,ortholog_one2many
ENSMUSG00000096625,,
ENSMUSG00000043925,,
ENSMUSG00000020884,,
ENSMUSG00000029486,ENSGALG00000010324,ortholog_one2one
ENSMUSG00000067848,,
ENSMUSG00000094761,,
ENSMUSG00000044814,,
ENSMUSG00000053175,ENSGALG00000027164,ortholog_many2many
ENSMUSG00000034467,ENSGALG00000005402,ortholog_one2one
ENSMUSG00000020048,ENSGALG00000012726,ortholog_one2one
ENSMUSG00000095303,,
ENSMUSG00000045391,,
ENSMUSG00000095386,,
ENSMUSG00000094744,,
ENSMUSG00000095838,,
ENSMUSG00000006930,ENSGALG00000023847,ortholog_one2one
ENSMUSG00000043300,ENSGALG00000009539,ortholog_one2one
ENSMUSG00000039963,ENSGALG00000007042,ortholog_one2one
ENSMUSG00000026672,ENSGALG00000013738,ortholog_one2one
ENSMUSG00000073682,,
ENSMUSG00000054423,ENSGALG00000007268,ortholog_one2one
ENSMUSG00000094418,,
ENSMUSG00000055435,ENSGALG00000026258,ortholog_one2one
ENSMUSG00000049742,,
ENSMUSG00000095443,,
ENSMUSG00000095167,,
ENSMUSG00000095760,,
ENSMUSG00000090468,ENSGALG00000026970,ortholog_one2many
ENSMUSG00000020430,ENSGALG00000007778,ortholog_one2one
ENSMUSG00000030978,ENSGALG00000017350,ortholog_one2one
ENSMUSG00000057367,ENSGALG00000017186,ortholog_one2many
ENSMUSG00000026696,ENSGALG00000003262,ortholog_one2one
ENSMUSG00000053886,ENSGALG00000010122,ortholog_one2one
ENSMUSG00000095650,,
ENSMUSG00000035161,ENSGALG00000017018,ortholog_one2one
ENSMUSG00000032411,ENSGALG00000025759,ortholog_one2one
ENSMUSG00000096187,,
ENSMUSG00000095306,,
ENSMUSG00000096575,,
ENSMUSG00000020444,ENSGALG00000005336,ortholog_one2one
ENSMUSG00000093832,,
ENSMUSG00000096418,,
ENSMUSG00000028063,ENSGALG00000006083,ortholog_many2many
ENSMUSG00000094036,,
ENSMUSG00000096671,,
ENSMUSG00000021730,ENSGALG00000014875,ortholog_one2one
ENSMUSG00000030987,ENSGALG00000017351,ortholog_one2one
ENSMUSG00000094660,,
ENSMUSG00000034493,,
ENSMUSG00000095688,,
ENSMUSG00000091155,ENSGALG00000017017,ortholog_one2one
ENSMUSG00000073255,,
ENSMUSG00000027363,ENSGALG00000005894,ortholog_one2one
ENSMUSG00000017165,,
ENSMUSG00000094469,,
ENSMUSG00000004637,ENSGALG00000005377,ortholog_one2one
ENSMUSG00000028330,ENSGALG00000002087,ortholog_one2one
ENSMUSG00000090308,ENSGALG00000025768,ortholog_one2many
ENSMUSG00000043448,ENSGALG00000005331,ortholog_one2one
ENSMUSG00000095153,,
ENSMUSG00000094205,,
ENSMUSG00000090816,ENSGALG00000025768,ortholog_one2many
ENSMUSG00000020720,ENSGALG00000026225,ortholog_one2many
ENSMUSG00000020720,ENSGALG00000003700,ortholog_one2many
ENSMUSG00000095109,,
ENSMUSG00000040525,,
ENSMUSG00000062372,ENSGALG00000016577,ortholog_one2one
ENSMUSG00000073982,ENSGALG00000026995,ortholog_one2one
ENSMUSG00000096125,,
ENSMUSG00000022449,ENSGALG00000009572,ortholog_one2one
ENSMUSG00000094105,,
ENSMUSG00000023952,ENSGALG00000010315,ortholog_one2one
ENSMUSG00000094857,,
ENSMUSG00000096552,,
ENSMUSG00000020044,ENSGALG00000012568,ortholog_one2many
ENSMUSG00000020044,ENSGALG00000028627,ortholog_one2many
ENSMUSG00000015733,ENSGALG00000009385,ortholog_one2one
ENSMUSG00000003555,ENSGALG00000008121,ortholog_one2one
ENSMUSG00000095582,,
ENSMUSG00000035530,ENSGALG00000028517,ortholog_one2one
ENSMUSG00000095726,,
ENSMUSG00000021743,ENSGALG00000007184,ortholog_one2one
ENSMUSG00000096816,,
ENSMUSG00000035184,ENSGALG00000017016,ortholog_one2one
ENSMUSG00000095815,,
ENSMUSG00000095921,,
ENSMUSG00000026669,ENSGALG00000025799,ortholog_one2many
ENSMUSG00000026669,ENSGALG00000005870,ortholog_one2many
ENSMUSG00000094629,,
ENSMUSG00000020432,ENSGALG00000009536,ortholog_one2one
ENSMUSG00000094348,,
ENSMUSG00000041488,ENSGALG00000020514,ortholog_one2one
ENSMUSG00000055298,ENSGALG00000012610,ortholog_one2many
ENSMUSG00000094209,,
ENSMUSG00000057610,ENSGALG00000027010,ortholog_many2many
ENSMUSG00000073257,,
ENSMUSG00000037526,ENSGALG00000012148,ortholog_one2one
ENSMUSG00000096104,,
ENSMUSG00000021185,ENSGALG00000010703,ortholog_one2one
ENSMUSG00000005667,ENSGALG00000013480,ortholog_many2many
ENSMUSG00000026694,ENSGALG00000003206,ortholog_one2one
ENSMUSG00000094047,,
ENSMUSG00000026942,ENSGALG00000009014,ortholog_one2one
ENSMUSG00000029290,ENSGALG00000006113,ortholog_one2one
ENSMUSG00000035031,ENSGALG00000010850,ortholog_one2one
ENSMUSG00000033834,,
ENSMUSG00000095067,,
ENSMUSG00000096548,,
ENSMUSG00000095750,,
ENSMUSG00000037536,ENSGALG00000012154,ortholog_one2one
ENSMUSG00000044258,,
ENSMUSG00000095441,,
ENSMUSG00000027994,ENSGALG00000012196,ortholog_one2one
ENSMUSG00000096778,,
ENSMUSG00000033111,ENSGALG00000007182,ortholog_one2one
ENSMUSG00000094279,,
ENSMUSG00000034509,ENSGALG00000027871,ortholog_one2one
ENSMUSG00000028412,ENSGALG00000015439,ortholog_one2one
ENSMUSG00000036918,ENSGALG00000010020,ortholog_one2one
ENSMUSG00000062705,,
ENSMUSG00000049287,ENSGALG00000005328,ortholog_one2one
ENSMUSG00000096032,,
ENSMUSG00000022439,ENSGALG00000014203,ortholog_one2one
ENSMUSG00000094742,,
ENSMUSG00000002980,,
ENSMUSG00000095578,,
ENSMUSG00000095084,,
ENSMUSG00000030990,ENSGALG00000027762,ortholog_one2one
ENSMUSG00000008874,ENSGALG00000013223,ortholog_one2one
ENSMUSG00000024683,ENSGALG00000005182,ortholog_one2one
ENSMUSG00000094207,,
ENSMUSG00000027867,ENSGALG00000014779,ortholog_one2one
ENSMUSG00000045750,,
ENSMUSG00000095114,,
ENSMUSG00000041255,,
ENSMUSG00000096369,,
ENSMUSG00000066752,,
ENSMUSG00000038770,ENSGALG00000004665,ortholog_one2one
ENSMUSG00000094746,,
ENSMUSG00000024682,ENSGALG00000026246,ortholog_one2one
ENSMUSG00000095867,,
ENSMUSG00000026821,ENSGALG00000003412,ortholog_one2one
ENSMUSG00000096203,,
ENSMUSG00000094739,,
ENSMUSG00000046844,ENSGALG00000013225,ortholog_one2one
ENSMUSG00000096266,,
ENSMUSG00000048807,ENSGALG00000028106,ortholog_one2one
ENSMUSG00000094045,,
ENSMUSG00000050912,ENSGALG00000017185,ortholog_one2one
ENSMUSG00000095090,,
ENSMUSG00000096898,,
ENSMUSG00000020744,ENSGALG00000008011,ortholog_one2one
ENSMUSG00000062300,,
ENSMUSG00000073854,,
ENSMUSG00000094647,ENSGALG00000012766,ortholog_one2many
ENSMUSG00000074516,ENSGALG00000026978,ortholog_one2many
ENSMUSG00000047205,ENSGALG00000007765,ortholog_one2many
ENSMUSG00000028243,ENSGALG00000015431,ortholog_one2one
ENSMUSG00000095179,ENSGALG00000012766,ortholog_one2many
ENSMUSG00000096491,,
ENSMUSG00000029516,ENSGALG00000007354,ortholog_one2one
ENSMUSG00000022607,ENSGALG00000016171,ortholog_one2one
ENSMUSG00000093982,,
ENSMUSG00000039976,ENSGALG00000007054,ortholog_one2one
ENSMUSG00000094549,,
ENSMUSG00000096040,,
ENSMUSG00000068323,ENSGALG00000013515,ortholog_one2one
ENSMUSG00000031767,ENSGALG00000005366,ortholog_one2one
ENSMUSG00000094404,,
ENSMUSG00000020434,,
ENSMUSG00000027429,ENSGALG00000008793,ortholog_one2one
ENSMUSG00000096207,,
ENSMUSG00000022892,ENSGALG00000015770,ortholog_one2one
ENSMUSG00000093872,,
ENSMUSG00000018623,,
ENSMUSG00000096843,,
ENSMUSG00000087247,,
ENSMUSG00000093819,,
ENSMUSG00000095808,,
ENSMUSG00000073741,,
ENSMUSG00000095949,,
ENSMUSG00000009207,ENSGALG00000009283,ortholog_one2one
ENSMUSG00000021728,ENSGALG00000014877,ortholog_one2one
ENSMUSG00000093882,,
ENSMUSG00000094507,,
ENSMUSG00000022538,ENSGALG00000007058,ortholog_one2one
ENSMUSG00000036158,ENSGALG00000009556,ortholog_one2one
ENSMUSG00000024150,ENSGALG00000010017,ortholog_one2one
ENSMUSG00000095378,,
ENSMUSG00000094645,,
ENSMUSG00000091423,,
ENSMUSG00000002984,,
ENSMUSG00000018620,,
ENSMUSG00000096754,,
ENSMUSG00000039753,ENSGALG00000014510,ortholog_one2one
ENSMUSG00000096643,,
ENSMUSG00000096013,,
ENSMUSG00000021180,ENSGALG00000010698,ortholog_one2one
ENSMUSG00000096234,,
ENSMUSG00000025757,ENSGALG00000010185,ortholog_one2one
ENSMUSG00000095173,,
ENSMUSG00000091903,,
ENSMUSG00000095679,,
ENSMUSG00000037104,ENSGALG00000010016,ortholog_one2one
ENSMUSG00000020241,ENSGALG00000006126,ortholog_one2one
ENSMUSG00000095887,,
ENSMUSG00000096261,,
ENSMUSG00000040265,ENSGALG00000003164,ortholog_one2one
ENSMUSG00000021071,ENSGALG00000012367,ortholog_one2one
