Ensembl.Gene.ID	brain_GSM752588	brain_GSM752590	cerebellum_GSM752592	cerebellum_GSM752594	heart_GSM752596	heart_GSM752598	adult mammalian kidney_GSM752601	adult mammalian kidney_GSM752603	liver_GSM752606	liver_GSM752608	testis_GSM752611	testis_GSM752613
ENSMODG00000000067	10.9535	13.62134	21.07917	27.23013	7.88715	8.08913	13.71807	14.99517	8.8614	12.21313	82.0787	55.68995
ENSMODG00000000068	3.88237	3.93147	3.52236	4.75317	2.38057	2.69615	10.52077	11.65644	7.73751	7.60812	3.3105	3.0367
ENSMODG00000000074	0	0.10813	0.28858	0.27731	0	0	0	0	0.07448	0	0.52242	0.38984
ENSMODG00000000076	1.11166	0.38309	0.06396	0	0	0	0	0.19977	0	0	0.4628	0.23021
ENSMODG00000000077	5.53247	4.32833	3.27282	3.32998	5.81446	8.76208	6.78067	8.12522	17.29228	12.21493	2.78826	2.65797
ENSMODG00000000079	0	0.48216	0	0.3372	0	0.02937	0	0.73136	0	0.09267	20.49592	19.07907
ENSMODG00000000081	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000000082	6.73402	5.92428	2.93111	3.28606	1.20254	3.92372	3.03906	5.20668	3.94324	2.74747	24.5059	38.65604
ENSMODG00000000083	18.64573	23.00343	9.04752	8.87611	3.30526	5.24711	5.8631	5.99767	5.72189	7.13799	13.24036	14.30261
ENSMODG00000000084	0	0	0.1706	0	0	0	0	0	0.17614	0	0	0.20482
ENSMODG00000000085	0.12226	0.097	0.12931	0.18644	57.51443	41.33454	0.13012	0.10116	2.93764	2.56433	0	0
ENSMODG00000000086	0.13226	0	0.11659	0.11204	0.60711	0.03902	0.23465	0.18225	0	0.18494	0.67541	0.13997
ENSMODG00000000087	13.47303	13.47962	15.05402	16.10992	9.56961	10.87731	5.70549	3.8965	7.67018	3.87646	7.57412	4.95845
ENSMODG00000000088	7.67875	10.40963	12.30637	16.43102	3.84916	3.50675	6.82552	6.85676	5.57695	5.86261	4.99976	6.19259
ENSMODG00000000089	5.84407	4.45855	13.12741	11.86901	10.5735	8.39676	12.36427	13.141	6.74322	5.94929	14.14188	14.98389
ENSMODG00000000090	4.67443	6.14696	4.39414	4.50405	3.96613	5.3527	6.48546	7.41827	61.69822	47.48908	8.14578	7.91314
ENSMODG00000000092	95.18089	103.60753	53.743	62.31934	2.12606	1.95424	5.25531	4.67548	0.09801	0.15058	31.14732	34.54076
ENSMODG00000000094	10.89032	6.92729	9.00031	6.17104	16.71997	26.73345	6.21761	5.62767	5.17346	3.7041	35.58144	38.05246
ENSMODG00000000095	0.00862	0	0.04558	0	0	0	0.06893	0	11.75302	19.43221	0	0
ENSMODG00000000097	4.27157	2.87335	3.62863	2.69745	0.14266	0.87064	0.689	0.74907	0.63617	0.43438	9.12225	7.23323
ENSMODG00000000098	50.49372	60.45363	67.04124	61.28015	360.45091	430.10825	99.82526	165.28878	89.47353	75.21701	26.83883	29.44641
ENSMODG00000000099	19.01112	6.86521	18.28592	11.36195	0	0.01188	0.03573	0	0	0	0.20569	0.23445
ENSMODG00000000101	104.57027	174.54969	188.44308	215.26933	140.09795	123.70843	589.17483	558.2881	144.4809	159.81566	14.28976	13.93129
ENSMODG00000000102	0.04485	0	0.0593	0	0	0	9.60396	4.35507	25.70418	28.86651	1.20185	1.5301
ENSMODG00000000104	2.38885	2.07038	5.64729	4.27502	1.79824	1.50242	5.00838	3.14369	1.34227	0.80565	1.55924	1.19506
ENSMODG00000000105	0.21662	0.17173	0.34373	0.27525	28.9333	20.33921	0.05765	0	0	0	1.3273	0.24072
ENSMODG00000000106	0.22671	0	0.59957	0.38414	1.24883	0.80259	2.2122	1.87445	0.61901	1.26799	0.86833	1.67952
ENSMODG00000000107	3.8717	3.77427	2.70334	2.08173	1.52341	2.49715	2.29177	3.44422	2.7719	2.937	4.50505	4.19019
ENSMODG00000000109	7.16906	7.69366	4.9261	5.88732	0.90528	1.30223	4.79058	7.24744	0.38464	0.72237	14.1488	8.25
ENSMODG00000000111	9.1718	9.36529	11.05901	10.41448	6.14253	3.84282	7.08539	6.13682	3.06373	2.63124	11.15814	9.34923
ENSMODG00000000113	0.04489	0.04454	0	0	0	0	0	0	0	0	0	0
ENSMODG00000000115	0.75816	0.85865	0.57288	0.68806	0.55938	0.31155	5.58474	1.06338	26.46748	23.00131	7.10404	3.78274
ENSMODG00000000116	5.69963	4.61706	4.06615	3.78889	1.34744	3.15446	2.16989	3.49914	0.69961	0.84699	7.70304	7.10059
ENSMODG00000000117	8.58836	14.57058	4.21019	3.81998	0	0	2.65477	3.47414	0.14923	0.08608	1.20385	0.71589
ENSMODG00000000118	3.33982	2.3659	3.49278	3.38854	1.88872	1.68588	2.53466	2.15235	4.85421	4.95431	7.6363	4.31421
ENSMODG00000000120	0.15406	0	0	0	0.14148	0.13635	0.13671	0	0	0.21549	8.65507	6.60404
ENSMODG00000000121	13.91593	14.53076	26.67571	22.6669	20.38569	11.38626	40.57671	30.69473	18.29672	7.24804	12.87785	12.45447
ENSMODG00000000122	15.52818	7.66573	23.61694	20.16485	1.56655	0.83061	2.49766	1.17576	7.14398	6.56162	14.16065	17.15656
ENSMODG00000000123	52.41424	44.84683	51.43498	37.33995	3.58495	4.27555	16.52045	10.14078	7.31284	8.08524	78.23065	71.64534
ENSMODG00000000124	0.35554	0.28194	5.61053	2.0481	0	0	0.18929	0.04901	0.03237	0	0.27243	0.50797
ENSMODG00000000125	0.64338	0.52764	0.11734	0.22552	0	0.13745	0.76756	0.91715	0.12115	0.09307	0.08497	0
ENSMODG00000000126	8.60598	8.05071	3.45954	3.76179	0	0	0.18321	0.42689	0.65788	0.14439	0	0
ENSMODG00000000127	0	0	0	0	0	0.07833	0.11771	0.36588	0	0.18553	0	0.21071
ENSMODG00000000129	4.13912	3.13755	3.72885	3.22689	1.81673	2.5906	4.69593	5.99905	2.6115	2.55954	14.17962	13.3383
ENSMODG00000000130	13.05289	9.87311	22.01276	18.90947	3.47349	2.92992	41.9541	16.55314	2.58264	4.36456	0.60375	0.20021
ENSMODG00000000131	6.9881	5.56535	6.49792	5.59537	2.19713	3.21947	3.31184	5.01263	1.30692	2.27554	72.84081	90.92808
ENSMODG00000000132	3.41524	3.45214	18.06407	17.46705	0.68198	0.67252	0.90896	1.83548	0.3264	0.25064	5.59202	5.35395
ENSMODG00000000133	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000000134	6.0864	5.72387	5.11722	5.04584	4.27532	8.80535	2.17128	2.6863	1.28131	2.42294	5.53075	4.58471
ENSMODG00000000135	37.37978	36.55136	21.99299	22.91323	12.4634	18.31706	12.40659	17.71886	10.39736	8.8825	39.76557	49.31084
ENSMODG00000000137	15.74952	13.93404	11.71221	12.09889	20.58355	25.33017	20.11015	23.22845	14.88838	15.09461	4.45272	3.51534
ENSMODG00000000138	0	0	0	0	0	0	0	0	0	0.65486	0	0.06197
ENSMODG00000000139	6.48821	3.42364	6.74104	5.29992	1.6245	2.27455	3.19553	2.96085	1.43795	1.94422	3.95345	3.31075
ENSMODG00000000141	10.54397	12.33299	7.05291	10.22889	17.34268	29.08822	10.25178	14.18923	7.28164	6.73317	7.75538	10.23139
ENSMODG00000000142	1.78312	2.12567	1.6665	1.46505	6.46209	8.99424	40.10488	49.21701	5.12498	1.91227	0.77023	0.65981
ENSMODG00000000144	20.6436	16.09217	4.97193	4.91614	0.15014	0.0161	4.254	2.77841	0.44638	0.38105	52.10894	56.6916
ENSMODG00000000145	37.88293	22.02891	36.08999	35.85723	4.84702	4.1534	49.95742	11.74245	5.39522	5.18059	13.48087	11.91038
ENSMODG00000000147	14.48951	10.39283	13.50298	13.50163	3.23065	6.65615	6.42692	7.41611	3.76789	2.89446	4.22825	6.02442
ENSMODG00000000148	0	0	0	0	0	0	0	0.07223	0	0	278.33586	225.40692
ENSMODG00000000149	12.55481	12.71062	13.73994	14.1384	8.46974	11.94118	10.46907	14.2339	8.18117	7.53422	292.54627	310.66201
ENSMODG00000000151	1.89977	2.26815	0.90804	1.45417	0.31522	0.28361	0.42635	1.23008	0.24997	0	22.00429	20.38462
ENSMODG00000000152	10.08083	7.24585	6.39845	4.71385	1.70292	4.40149	4.93641	6.55682	5.57838	2.93201	18.32727	13.78437
ENSMODG00000000154	7.80939	6.23283	14.2972	18.17567	0.08694	0.12101	6.07406	5.82625	0.44509	0.26482	0.564	0.19205
ENSMODG00000000155	12.109	12.19863	14.30123	17.25495	5.39985	5.36913	6.77877	6.14529	6.62558	4.14587	4.03168	3.43137
ENSMODG00000000157	0.37577	0	0	0	0.07959	0.38373	0.38467	0.59752	0.23671	0.60633	0.33205	0.64242
ENSMODG00000000158	133.9192	160.82055	130.51067	123.69	89.38476	104.18668	336.79712	241.73591	91.71336	117.61482	63.94049	61.49904
ENSMODG00000000160	0.64933	0.92658	0.68695	1.65017	0.14306	0.13791	0.48387	0.85889	0	0.10904	168.31979	246.40556
ENSMODG00000000161	4.77964	4.47534	12.49107	11.66853	4.09437	3.24758	8.81398	6.06774	4.16175	5.44681	34.30702	30.6798
ENSMODG00000000162	8.3546	6.91352	5.06812	4.04938	3.26186	4.36408	10.77328	10.77078	3.76268	3.43249	77.44161	104.90852
ENSMODG00000000163	30.37248	8.24772	16.91895	8.20801	6.75725	7.9433	14.87689	13.22365	2.71341	2.99631	10.22945	6.11338
ENSMODG00000000164	3.90988	3.42779	4.11173	2.54839	0.81087	0.50482	1.95867	1.90161	0.55259	0.57897	3.735	2.67263
ENSMODG00000000165	5.20555	2.86863	5.39598	5.1188	0.26422	0.8103	6.47431	6.56036	0.23814	0.80465	4.20801	4.29116
ENSMODG00000000167	6.74906	11.08655	13.82883	13.44319	12.05743	10.00915	8.57616	8.04335	3.98432	2.80579	19.79498	29.82628
ENSMODG00000000168	8.71029	17.02687	23.98218	19.70993	18.40347	16.89638	21.27568	23.18338	19.8731	15.5166	12.3392	4.35669
ENSMODG00000000169	26.75195	31.66159	19.95053	19.4936	6.63478	17.33661	12.14711	30.92402	10.38527	11.96689	24.28051	41.76484
ENSMODG00000000170	0.15535	0.09228	0.41083	0.49351	3.55138	0.30249	0.06196	0.06416	0	0	0.05944	0.03696
ENSMODG00000000172	0.05104	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000000173	3.06679	1.54085	4.75209	3.99566	5.28209	7.31692	4.52919	5.35685	0.70766	0.43478	0.33096	0.32915
ENSMODG00000000174	0.07279	0	0	0	0	0	0	0	0	0	0.27881	0
ENSMODG00000000175	4.47899	3.19171	4.79138	5.07319	5.0361	7.26008	5.08946	5.96402	2.97716	3.94076	3.7908	2.743
ENSMODG00000000176	12.34857	11.25374	16.51039	14.97334	7.31505	6.82217	10.4806	13.12506	10.29415	6.97942	18.64967	15.41151
ENSMODG00000000178	14.9018	7.6712	9.72453	16.23018	6.39626	7.5364	1.54512	3.20018	3.17045	0	4.44743	5.22298
ENSMODG00000000179	1.11942	0.26099	1.0449	0.66943	0.36269	0.29141	1.05149	3.2667	0.35955	0.82862	1.51329	0.73176
ENSMODG00000000180	5.00469	3.59669	2.84964	1.1529	9.64501	5.96016	8.86681	5.15768	2.82585	2.08162	14.77025	15.4174
ENSMODG00000000181	39.95862	31.57122	77.47183	67.2415	0.74361	0.03982	0.71852	0.74415	0.24568	0	176.65882	194.37717
ENSMODG00000000182	3.57753	2.02584	6.44604	7.79289	0.21662	0.27835	0.26151	0.24385	0.21474	0	4.0656	3.02695
ENSMODG00000000183	1.54665	2.3408	0.96684	1.92953	0.92941	0.89596	1.19745	0.6975	153.40801	172.70045	0.32312	0.13393
ENSMODG00000000184	12.19526	11.21355	17.67654	19.05358	7.81175	4.94909	15.05743	11.21007	8.18442	6.51768	10.1897	10.3084
ENSMODG00000000185	47.19598	43.95441	41.40339	45.84149	23.05302	22.61544	29.71398	31.44459	29.06728	38.12327	17.72572	19.44646
ENSMODG00000000187	22.32428	12.56813	25.67022	22.75111	0	0	0	0	0	0	0	0
ENSMODG00000000188	1.12003	2.41176	0.98736	1.22997	0	0.12236	1.0672	1.48633	0	0	50.1015	54.08865
ENSMODG00000000189	1.3348	0.55689	0.68128	0.59514	0.12903	0.3316	0.68558	0.48396	0.44755	0.4911	9.41783	7.99288
ENSMODG00000000190	4.31637	4.74332	5.25547	5.48467	2.41296	0.90776	5.8574	3.79849	4.66754	0.89632	0.98212	0.5088
ENSMODG00000000192	4.98631	2.74993	4.47208	4.18718	4.77687	6.0248	4.38488	2.33026	3.19645	2.54636	9.96432	8.67302
ENSMODG00000000193	18.01781	10.25639	11.71485	9.36321	5.98453	5.76453	7.12353	7.87606	2.76579	3.10436	12.70463	12.79791
ENSMODG00000000195	5.19293	4.45194	1.25806	1.10814	1.34652	1.11098	0.3516	0.27318	0.10828	0.11084	0.4555	0.4825
ENSMODG00000000196	0.22043	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000000197	0.04504	0.17852	0.11911	0	0	0	0.11986	0.18619	0	0	0.1725	0.143
ENSMODG00000000198	3.08364	4.81974	1.19347	2.19801	20.05879	10.75014	7.30585	11.55587	4.82587	4.83768	0.48012	0.41788
ENSMODG00000000199	14.98078	8.8067	11.24761	12.26017	4.5457	7.24727	9.12249	10.23427	5.89283	7.18972	2.67448	2.92242
ENSMODG00000000200	11.85872	11.39943	19.99736	18.27113	8.21667	5.31718	14.71331	11.88867	8.59674	5.30402	6.96344	6.21843
ENSMODG00000000203	0.1761	0.23268	0.31049	0.20508	63.88485	76.55533	17.51709	19.65708	9.35653	20.10065	3.48501	3.14523
ENSMODG00000000204	6.61199	7.52382	7.08829	7.15601	2.38411	3.80279	7.7991	10.21793	2.90449	2.62485	4.15422	3.36093
ENSMODG00000000206	4.19677	4.57857	7.73873	6.36014	0	0.03409	0	0	0.10516	0	0.29485	0.30564
ENSMODG00000000207	3.00042	4.73878	0.49595	0.65528	0	0	0.06234	0.09683	0.06396	0	0	0
ENSMODG00000000208	3.21637	2.52499	2.23698	2.44156	1.03536	2.8928	2.13998	2.84926	1.91033	1.4018	29.51788	20.35779
ENSMODG00000000209	16.796	15.74437	24.28752	28.8977	2.13143	2.46702	0.90363	1.86067	0.47433	0.69561	20.56649	17.776
ENSMODG00000000210	7.20229	4.51629	7.74804	5.37723	2.46554	4.10549	4.87319	5.21475	1.99989	2.38978	3.58456	4.00502
ENSMODG00000000211	45.23806	55.71825	50.82914	45.48179	62.44997	48.445	79.46337	100.19155	38.58058	49.87089	15.7644	12.45553
ENSMODG00000000212	0.70175	0.63219	3.45878	4.21538	0.13178	0.04235	33.70216	28.02202	0.26128	0.13381	0	0.05064
ENSMODG00000000213	0.5932	0.52708	0.43274	0.18197	0.16902	0.57026	0.16332	0.08463	0.50267	0.30037	0.11743	0.27602
ENSMODG00000000214	3.13768	3.27078	4.36443	4.22154	3.49867	3.1998	2.97609	3.72527	1.71937	2.41395	3.40988	2.72327
ENSMODG00000000215	0	0	0.29626	0	0	0	8.64546	15.51357	0	0	0	0
ENSMODG00000000216	10.0458	2.59689	15.4495	11.65486	12.02977	5.99172	13.51282	5.86837	0.1491	0.22907	5.43702	6.93387
ENSMODG00000000217	0.03199	0	0.0423	0.04065	0.04406	0.02831	0	0.13226	0	0	2.45165	1.67672
ENSMODG00000000218	89.65822	87.8241	305.09527	306.71013	0.10739	0.15535	0.62286	0.48377	0	0	0.37345	0.21676
ENSMODG00000000219	10.15525	8.1645	9.03279	7.25534	3.26736	5.45728	6.00197	7.86819	4.98316	4.75779	9.08742	9.33358
ENSMODG00000000220	85.47615	80.8309	55.28208	59.98738	14.85117	17.55861	10.48352	11.97035	9.07939	9.05645	7.44593	7.45559
ENSMODG00000000221	4.95751	7.06449	9.80599	10.15182	5.02155	3.24535	7.1419	8.21458	4.08311	3.35141	4.08	3.64239
ENSMODG00000000222	8.41097	8.2281	6.98694	8.76927	3.48975	2.88694	2.72636	5.12658	1.98741	1.80941	26.22653	22.89635
ENSMODG00000000223	11.67205	12.38244	13.06457	12.67734	12.93911	13.75932	21.26732	23.82577	12.95933	13.10426	12.05748	20.18268
ENSMODG00000000226	7.881	8.47399	9.57986	10.39137	4.20569	4.2871	4.92171	6.558	2.71003	2.95378	4.06159	8.17472
ENSMODG00000000227	18.96004	20.98268	14.3181	15.84773	39.12012	42.43598	23.88775	30.67269	11.96959	10.0684	32.44801	34.67529
ENSMODG00000000228	0.58058	0	16.88987	13.27925	3.19813	1.37024	7.2107	10.40077	66.05171	86.05571	0	0.61446
ENSMODG00000000229	0.01114	2.87467	0.08851	0.02831	0	0.02962	52.70559	47.462	2.61994	1.77866	0.08552	0.03545
ENSMODG00000000231	2.23455	2.24871	1.92902	1.3829	1.11613	2.33627	3.14283	3.30252	2.56054	1.99135	4.5676	5.27513
ENSMODG00000000232	0.7157	0.77203	0.25156	0.17265	0.47415	0.48911	1.7239	2.02245	0.0247	0.03795	1.21443	1.33035
ENSMODG00000000233	0.40239	0.60577	0.23922	0.31711	0.04301	0.0911	0.20754	0.1419	0.13623	0.09167	1.57693	1.2231
ENSMODG00000000234	0	0	0	0	0	0	0	0	0	0	0	0.19084
ENSMODG00000000235	0.0896	0.20287	0.10148	0.19516	0.42301	1.05338	2.52034	1.42847	0.48915	0.59056	0	0.02033
ENSMODG00000000236	2.73248	2.65161	0.02997	0.0288	0	0	0	0.04684	0.03094	0	0	0.07203
ENSMODG00000000237	0.414	0.27345	0.72988	0.70137	1.52026	0.73277	0.5509	0	0.18836	0.28939	392.44128	255.87404
ENSMODG00000000241	0.05818	0.23061	0.30784	1.0353	0	0	2.47828	0.24051	0.15885	0	0	0
ENSMODG00000000242	20.89541	29.01961	22.76114	26.35731	0.36007	0.40496	1.85554	3.0626	0.59496	0.36568	0.33388	0.51885
ENSMODG00000000243	2.25559	1.64936	13.61	8.40353	0	0	0	0	0	0	0.58716	0.34766
ENSMODG00000000244	21.13845	32.92127	36.98558	44.46015	57.33479	36.96618	100.39141	97.35425	65.98243	66.7587	75.93489	75.74937
ENSMODG00000000245	1.24586	1.27627	0.29613	0.56913	0.25058	0.13007	0.57738	0.43397	0.21019	0.05872	1.50126	1.20005
ENSMODG00000000246	1.82273	3.01055	6.33172	5.97407	2.01211	1.15868	1.94423	1.79415	0.71091	0.48551	5.48534	4.81122
ENSMODG00000000247	28.74874	28.16776	43.94582	39.34545	2.15818	1.2435	7.47842	6.92525	7.15607	3.96713	4.44998	3.43152
ENSMODG00000000248	0	0	0	0	0	0.0603	0	0	0	0	0.26094	0
ENSMODG00000000249	37.79572	50.02852	122.68517	139.56284	41.00557	27.25167	142.73022	114.42282	143.47842	201.41775	100.4395	152.50133
ENSMODG00000000250	24.632	21.64997	23.70494	21.98924	3.7739	2.88012	5.85816	5.58575	1.2297	0.85158	8.26084	7.36157
ENSMODG00000000252	2.71787	3.17473	5.06963	5.80589	18.91289	6.27495	3.98349	2.93094	3.15472	1.87272	4.22424	2.35535
ENSMODG00000000253	13.97753	13.76741	8.5133	8.18078	2.33323	6.22284	5.63618	7.00398	10.17716	6.04116	3.56907	5.24482
ENSMODG00000000254	2.57495	2.97224	4.07837	4.88989	0.11696	0.12523	0.22591	0.29246	0	0	0.10831	0.20217
ENSMODG00000000255	5.00259	4.75143	10.12327	11.14949	10.16858	4.0385	9.54909	5.55012	3.05476	3.11774	9.97818	5.55666
ENSMODG00000000256	9.1271	11.01672	12.02345	12.6875	4.44172	3.82635	11.87115	9.85836	6.27695	6.33334	5.6511	4.27604
ENSMODG00000000260	0.11555	0.09153	0.06106	0	0	0	0	0	0	0	0	0
ENSMODG00000000261	1.45939	1.77636	0.18231	0.20447	0	0.06101	0.09173	0	0	0	0.61615	1.40472
ENSMODG00000000264	17.1354	17.83192	7.95138	9.24936	6.16404	9.68353	6.97883	9.25197	4.38234	6.54344	25.45574	26.70032
ENSMODG00000000265	1.51138	1.49782	1.74872	2.1605	0.26015	0	0.75413	0.39048	0	0	51.0136	47.98684
ENSMODG00000000267	1.492	2.68823	1.79354	0.68939	1.12072	2.701	1.44389	0.84118	1.11102	1.70696	2.85737	4.3065
ENSMODG00000000268	0.53264	0.60332	0.46951	0.77348	0.62874	0.47141	1.08	0.41941	0.96959	1.17033	37.79056	34.87038
ENSMODG00000000271	0.32835	0	0.14467	0.13902	0	0	0	0	0	0	7.96453	11.64094
ENSMODG00000000272	0.01719	0	0	0	0.04734	0	0.09148	0	0	0	0	0
ENSMODG00000000273	9.77872	15.56	13.48472	12.56748	7.34888	6.61457	13.83007	19.92376	11.25204	7.55959	23.75646	26.96728
ENSMODG00000000274	7.08579	5.02525	12.57266	9.49266	1.62109	1.88336	3.5546	3.6499	2.90514	3.89363	6.84984	5.60647
ENSMODG00000000275	185.13117	397.55041	343.11039	367.5539	718.38927	321.80568	906.72484	762.53355	725.72492	645.52224	241.11206	146.68098
ENSMODG00000000278	1.17788	0.47895	2.12996	1.63746	0.11093	0.19601	0.24111	0.20803	0.57728	0.84459	1.00254	0.9749
ENSMODG00000000279	15.5837	23.88906	15.53826	15.50811	9.65379	8.52527	6.97934	6.88018	2.2032	2.00993	21.53767	20.85631
ENSMODG00000000280	85.05086	103.95548	253.80699	251.49903	97.39967	44.56153	171.87358	137.97681	89.38358	92.38226	177.62145	205.70314
ENSMODG00000000281	1.63773	2.53178	1.34267	1.83129	11.32169	1.94227	6.53779	4.06222	1.65451	2.19846	3.13636	0.75398
ENSMODG00000000282	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000000283	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000000285	0.25628	1.85241	0.0797	0.38317	7.59841	3.62911	7.50262	11.77885	1.93464	3.41492	6.00503	5.28911
ENSMODG00000000288	0.1722	0.22759	0.22764	0.21875	0	0.127	0.22908	1.30507	0	0	1.53882	1.45785
ENSMODG00000000289	9.761	15.269	2.96712	3.75416	6.07723	4.08776	45.1865	31.38495	1.42963	1.64724	21.91604	16.11923
ENSMODG00000000290	3.71902	3.87165	2.64933	3.88229	14.79545	5.86258	6.76496	5.12481	4.75243	4.99026	6.09092	3.16072
ENSMODG00000000291	0.02433	0.03208	0.04293	0.02057	26.41702	22.29467	0.10782	0.16749	0	0	0	0
ENSMODG00000000292	32.52123	33.66725	12.65966	12.30711	4.46322	3.59372	58.19531	49.97314	42.77055	57.97649	10.41581	7.68799
