Ensembl Gene ID,Opossum Ensembl Gene ID,Homology Type
ENSMUSG00000096584,ENSMODG00000011173,ortholog_many2many
ENSMUSG00000041710,ENSMODG00000028027,ortholog_one2many
ENSMUSG00000041710,ENSMODG00000005054,ortholog_one2many
ENSMUSG00000020747,ENSMODG00000007405,ortholog_one2one
ENSMUSG00000051729,,
ENSMUSG00000095973,,
ENSMUSG00000025579,ENSMODG00000002181,ortholog_one2one
ENSMUSG00000094449,ENSMODG00000022521,ortholog_many2many
ENSMUSG00000094449,ENSMODG00000003422,ortholog_many2many
ENSMUSG00000094449,ENSMODG00000003414,ortholog_many2many
ENSMUSG00000094449,ENSMODG00000003367,ortholog_many2many
ENSMUSG00000094449,ENSMODG00000024263,ortholog_many2many
ENSMUSG00000094449,ENSMODG00000024274,ortholog_many2many
ENSMUSG00000094449,ENSMODG00000024273,ortholog_many2many
ENSMUSG00000094449,ENSMODG00000003355,ortholog_many2many
ENSMUSG00000094449,ENSMODG00000024275,ortholog_many2many
ENSMUSG00000094449,ENSMODG00000024276,ortholog_many2many
ENSMUSG00000094449,ENSMODG00000024268,ortholog_many2many
ENSMUSG00000094449,ENSMODG00000024265,ortholog_many2many
ENSMUSG00000094449,ENSMODG00000024271,ortholog_many2many
ENSMUSG00000094449,ENSMODG00000024270,ortholog_many2many
ENSMUSG00000045584,ENSMODG00000022922,ortholog_one2many
ENSMUSG00000045584,ENSMODG00000011182,ortholog_one2many
ENSMUSG00000032413,ENSMODG00000021230,ortholog_one2one
ENSMUSG00000021939,ENSMODG00000012029,ortholog_one2one
ENSMUSG00000041134,,
ENSMUSG00000046396,ENSMODG00000011113,ortholog_many2many
ENSMUSG00000091435,,
ENSMUSG00000028738,ENSMODG00000020886,ortholog_one2one
ENSMUSG00000043461,ENSMODG00000024644,ortholog_one2one
ENSMUSG00000039982,ENSMODG00000020182,ortholog_one2one
ENSMUSG00000093934,ENSMODG00000024267,ortholog_one2many
ENSMUSG00000031636,ENSMODG00000004796,ortholog_one2one
ENSMUSG00000031864,ENSMODG00000009962,ortholog_one2one
ENSMUSG00000073948,ENSMODG00000022919,ortholog_one2many
ENSMUSG00000094085,,
ENSMUSG00000027364,ENSMODG00000002207,ortholog_one2one
ENSMUSG00000034832,ENSMODG00000010498,ortholog_one2one
ENSMUSG00000042402,ENSMODG00000011204,ortholog_one2one
ENSMUSG00000095774,ENSMODG00000022521,ortholog_many2many
ENSMUSG00000095774,ENSMODG00000003422,ortholog_many2many
ENSMUSG00000095774,ENSMODG00000003414,ortholog_many2many
ENSMUSG00000095774,ENSMODG00000003367,ortholog_many2many
ENSMUSG00000095774,ENSMODG00000024263,ortholog_many2many
ENSMUSG00000095774,ENSMODG00000024274,ortholog_many2many
ENSMUSG00000095774,ENSMODG00000024273,ortholog_many2many
ENSMUSG00000095774,ENSMODG00000003355,ortholog_many2many
ENSMUSG00000095774,ENSMODG00000024275,ortholog_many2many
ENSMUSG00000095774,ENSMODG00000024276,ortholog_many2many
ENSMUSG00000095774,ENSMODG00000024268,ortholog_many2many
ENSMUSG00000095774,ENSMODG00000024265,ortholog_many2many
ENSMUSG00000095774,ENSMODG00000024271,ortholog_many2many
ENSMUSG00000095774,ENSMODG00000024270,ortholog_many2many
ENSMUSG00000091638,,
ENSMUSG00000094601,ENSMODG00000013395,ortholog_one2many
ENSMUSG00000046805,ENSMODG00000020183,ortholog_one2many
ENSMUSG00000073949,ENSMODG00000022921,ortholog_many2many
ENSMUSG00000073949,ENSMODG00000022920,ortholog_many2many
ENSMUSG00000094309,,
ENSMUSG00000024151,ENSMODG00000001098,ortholog_one2many
ENSMUSG00000024151,ENSMODG00000002765,ortholog_one2many
ENSMUSG00000024151,ENSMODG00000028252,ortholog_one2many
ENSMUSG00000025909,ENSMODG00000009907,ortholog_one2one
ENSMUSG00000048285,ENSMODG00000013207,ortholog_one2one
ENSMUSG00000058079,ENSMODG00000011075,ortholog_many2many
ENSMUSG00000058079,ENSMODG00000011067,ortholog_many2many
ENSMUSG00000006931,ENSMODG00000014702,ortholog_one2one
ENSMUSG00000094254,ENSMODG00000022521,ortholog_many2many
ENSMUSG00000094254,ENSMODG00000003422,ortholog_many2many
ENSMUSG00000094254,ENSMODG00000003414,ortholog_many2many
ENSMUSG00000094254,ENSMODG00000003367,ortholog_many2many
ENSMUSG00000094254,ENSMODG00000024263,ortholog_many2many
ENSMUSG00000094254,ENSMODG00000024274,ortholog_many2many
ENSMUSG00000094254,ENSMODG00000024273,ortholog_many2many
ENSMUSG00000094254,ENSMODG00000003355,ortholog_many2many
ENSMUSG00000094254,ENSMODG00000024275,ortholog_many2many
ENSMUSG00000094254,ENSMODG00000024276,ortholog_many2many
ENSMUSG00000094254,ENSMODG00000024268,ortholog_many2many
ENSMUSG00000094254,ENSMODG00000024265,ortholog_many2many
ENSMUSG00000094254,ENSMODG00000024271,ortholog_many2many
ENSMUSG00000094254,ENSMODG00000024270,ortholog_many2many
ENSMUSG00000040065,ENSMODG00000020183,ortholog_one2many
ENSMUSG00000094284,,
ENSMUSG00000051427,ENSMODG00000009279,ortholog_one2one
ENSMUSG00000058976,,
ENSMUSG00000024027,ENSMODG00000013178,ortholog_one2one
ENSMUSG00000072066,,
ENSMUSG00000095190,ENSMODG00000018943,ortholog_one2many
ENSMUSG00000058762,ENSMODG00000014829,ortholog_many2many
ENSMUSG00000095903,ENSMODG00000022521,ortholog_many2many
ENSMUSG00000095903,ENSMODG00000003422,ortholog_many2many
ENSMUSG00000095903,ENSMODG00000003414,ortholog_many2many
ENSMUSG00000095903,ENSMODG00000003367,ortholog_many2many
ENSMUSG00000095903,ENSMODG00000024263,ortholog_many2many
ENSMUSG00000095903,ENSMODG00000024274,ortholog_many2many
ENSMUSG00000095903,ENSMODG00000024273,ortholog_many2many
ENSMUSG00000095903,ENSMODG00000003355,ortholog_many2many
ENSMUSG00000095903,ENSMODG00000024275,ortholog_many2many
ENSMUSG00000095903,ENSMODG00000024276,ortholog_many2many
ENSMUSG00000095903,ENSMODG00000024268,ortholog_many2many
ENSMUSG00000095903,ENSMODG00000024265,ortholog_many2many
ENSMUSG00000095903,ENSMODG00000024271,ortholog_many2many
ENSMUSG00000095903,ENSMODG00000024270,ortholog_many2many
ENSMUSG00000050815,ENSMODG00000024213,ortholog_one2one
ENSMUSG00000028329,ENSMODG00000003210,ortholog_one2one
ENSMUSG00000083780,ENSMODG00000015007,ortholog_one2one
ENSMUSG00000074865,ENSMODG00000002044,ortholog_many2many
ENSMUSG00000074865,ENSMODG00000028761,ortholog_many2many
ENSMUSG00000074865,ENSMODG00000023057,ortholog_many2many
ENSMUSG00000074865,ENSMODG00000023117,ortholog_many2many
ENSMUSG00000028737,ENSMODG00000020887,ortholog_one2one
ENSMUSG00000095768,,
ENSMUSG00000046650,ENSMODG00000020189,ortholog_many2many
ENSMUSG00000040963,ENSMODG00000016965,ortholog_many2many
ENSMUSG00000021342,ENSMODG00000011350,ortholog_one2many
ENSMUSG00000055820,ENSMODG00000022521,ortholog_many2many
ENSMUSG00000055820,ENSMODG00000003422,ortholog_many2many
ENSMUSG00000055820,ENSMODG00000003414,ortholog_many2many
ENSMUSG00000055820,ENSMODG00000003367,ortholog_many2many
ENSMUSG00000055820,ENSMODG00000024263,ortholog_many2many
ENSMUSG00000055820,ENSMODG00000024274,ortholog_many2many
ENSMUSG00000055820,ENSMODG00000024273,ortholog_many2many
ENSMUSG00000055820,ENSMODG00000003355,ortholog_many2many
ENSMUSG00000055820,ENSMODG00000024275,ortholog_many2many
ENSMUSG00000055820,ENSMODG00000024276,ortholog_many2many
ENSMUSG00000055820,ENSMODG00000024268,ortholog_many2many
ENSMUSG00000055820,ENSMODG00000024265,ortholog_many2many
ENSMUSG00000055820,ENSMODG00000024271,ortholog_many2many
ENSMUSG00000055820,ENSMODG00000024270,ortholog_many2many
ENSMUSG00000095275,,
ENSMUSG00000096436,ENSMODG00000024212,ortholog_many2many
ENSMUSG00000059874,ENSMODG00000022929,ortholog_one2many
ENSMUSG00000037816,ENSMODG00000008696,ortholog_one2many
ENSMUSG00000055228,,
ENSMUSG00000045160,ENSMODG00000010482,ortholog_one2one
ENSMUSG00000061200,ENSMODG00000011075,ortholog_many2many
ENSMUSG00000061200,ENSMODG00000011067,ortholog_many2many
ENSMUSG00000067513,ENSMODG00000020188,ortholog_many2many
ENSMUSG00000094353,ENSMODG00000022521,ortholog_many2many
ENSMUSG00000094353,ENSMODG00000003422,ortholog_many2many
ENSMUSG00000094353,ENSMODG00000003414,ortholog_many2many
ENSMUSG00000094353,ENSMODG00000003367,ortholog_many2many
ENSMUSG00000094353,ENSMODG00000024263,ortholog_many2many
ENSMUSG00000094353,ENSMODG00000024274,ortholog_many2many
ENSMUSG00000094353,ENSMODG00000024273,ortholog_many2many
ENSMUSG00000094353,ENSMODG00000003355,ortholog_many2many
ENSMUSG00000094353,ENSMODG00000024275,ortholog_many2many
ENSMUSG00000094353,ENSMODG00000024276,ortholog_many2many
ENSMUSG00000094353,ENSMODG00000024268,ortholog_many2many
ENSMUSG00000094353,ENSMODG00000024265,ortholog_many2many
ENSMUSG00000094353,ENSMODG00000024271,ortholog_many2many
ENSMUSG00000094353,ENSMODG00000024270,ortholog_many2many
ENSMUSG00000094942,ENSMODG00000002044,ortholog_many2many
ENSMUSG00000094942,ENSMODG00000028761,ortholog_many2many
ENSMUSG00000094942,ENSMODG00000023057,ortholog_many2many
ENSMUSG00000094942,ENSMODG00000023117,ortholog_many2many
ENSMUSG00000079657,ENSMODG00000015950,ortholog_one2one
ENSMUSG00000025453,ENSMODG00000020275,ortholog_one2one
ENSMUSG00000045540,ENSMODG00000022928,ortholog_one2one
ENSMUSG00000095640,ENSMODG00000020187,ortholog_many2many
ENSMUSG00000095837,,
ENSMUSG00000054763,,
ENSMUSG00000045835,ENSMODG00000028036,ortholog_one2many
ENSMUSG00000074656,ENSMODG00000002805,ortholog_one2one
ENSMUSG00000073950,ENSMODG00000022927,ortholog_many2many
ENSMUSG00000073950,ENSMODG00000022926,ortholog_many2many
ENSMUSG00000034416,ENSMODG00000015228,ortholog_one2one
ENSMUSG00000074867,ENSMODG00000023654,ortholog_many2many
ENSMUSG00000074867,ENSMODG00000025428,ortholog_many2many
ENSMUSG00000074867,ENSMODG00000023380,ortholog_many2many
ENSMUSG00000074867,ENSMODG00000023099,ortholog_many2many
ENSMUSG00000074867,ENSMODG00000023376,ortholog_many2many
ENSMUSG00000074867,ENSMODG00000014123,ortholog_many2many
ENSMUSG00000074867,ENSMODG00000023455,ortholog_many2many
ENSMUSG00000074867,ENSMODG00000023450,ortholog_many2many
ENSMUSG00000074867,ENSMODG00000023570,ortholog_many2many
ENSMUSG00000074867,ENSMODG00000023559,ortholog_many2many
ENSMUSG00000074867,ENSMODG00000022671,ortholog_many2many
ENSMUSG00000074867,ENSMODG00000022741,ortholog_many2many
ENSMUSG00000074867,ENSMODG00000023561,ortholog_many2many
ENSMUSG00000074867,ENSMODG00000027616,ortholog_many2many
ENSMUSG00000074867,ENSMODG00000023861,ortholog_many2many
ENSMUSG00000074867,ENSMODG00000018028,ortholog_many2many
ENSMUSG00000074867,ENSMODG00000023426,ortholog_many2many
ENSMUSG00000074867,ENSMODG00000023028,ortholog_many2many
ENSMUSG00000074867,ENSMODG00000023597,ortholog_many2many
ENSMUSG00000074867,ENSMODG00000025178,ortholog_many2many
ENSMUSG00000074867,ENSMODG00000003640,ortholog_many2many
ENSMUSG00000074867,ENSMODG00000023456,ortholog_many2many
ENSMUSG00000074867,ENSMODG00000006378,ortholog_many2many
ENSMUSG00000074867,ENSMODG00000023616,ortholog_many2many
ENSMUSG00000074867,ENSMODG00000023862,ortholog_many2many
ENSMUSG00000074867,ENSMODG00000023517,ortholog_many2many
ENSMUSG00000074867,ENSMODG00000025016,ortholog_many2many
ENSMUSG00000074867,ENSMODG00000023603,ortholog_many2many
ENSMUSG00000074867,ENSMODG00000025201,ortholog_many2many
ENSMUSG00000074867,ENSMODG00000023640,ortholog_many2many
ENSMUSG00000074867,ENSMODG00000023599,ortholog_many2many
ENSMUSG00000074867,ENSMODG00000013029,ortholog_many2many
ENSMUSG00000074867,ENSMODG00000023579,ortholog_many2many
ENSMUSG00000074867,ENSMODG00000027660,ortholog_many2many
ENSMUSG00000074867,ENSMODG00000023055,ortholog_many2many
ENSMUSG00000074867,ENSMODG00000025200,ortholog_many2many
ENSMUSG00000074867,ENSMODG00000023647,ortholog_many2many
ENSMUSG00000074867,ENSMODG00000023511,ortholog_many2many
ENSMUSG00000074867,ENSMODG00000007241,ortholog_many2many
ENSMUSG00000074867,ENSMODG00000023639,ortholog_many2many
ENSMUSG00000074867,ENSMODG00000023449,ortholog_many2many
ENSMUSG00000074867,ENSMODG00000017977,ortholog_many2many
ENSMUSG00000074867,ENSMODG00000023870,ortholog_many2many
ENSMUSG00000074867,ENSMODG00000023586,ortholog_many2many
ENSMUSG00000074867,ENSMODG00000023102,ortholog_many2many
ENSMUSG00000074867,ENSMODG00000022793,ortholog_many2many
ENSMUSG00000074867,ENSMODG00000023544,ortholog_many2many
ENSMUSG00000074867,ENSMODG00000006855,ortholog_many2many
ENSMUSG00000074867,ENSMODG00000015223,ortholog_many2many
ENSMUSG00000074867,ENSMODG00000022841,ortholog_many2many
ENSMUSG00000074867,ENSMODG00000016758,ortholog_many2many
ENSMUSG00000074867,ENSMODG00000022654,ortholog_many2many
ENSMUSG00000074867,ENSMODG00000012463,ortholog_many2many
ENSMUSG00000074867,ENSMODG00000023513,ortholog_many2many
ENSMUSG00000036106,,
ENSMUSG00000096761,,
ENSMUSG00000095839,ENSMODG00000022521,ortholog_many2many
ENSMUSG00000095839,ENSMODG00000003422,ortholog_many2many
ENSMUSG00000095839,ENSMODG00000003414,ortholog_many2many
ENSMUSG00000095839,ENSMODG00000003367,ortholog_many2many
ENSMUSG00000095839,ENSMODG00000024263,ortholog_many2many
ENSMUSG00000095839,ENSMODG00000024274,ortholog_many2many
ENSMUSG00000095839,ENSMODG00000024273,ortholog_many2many
ENSMUSG00000095839,ENSMODG00000003355,ortholog_many2many
ENSMUSG00000095839,ENSMODG00000024275,ortholog_many2many
ENSMUSG00000095839,ENSMODG00000024276,ortholog_many2many
ENSMUSG00000095839,ENSMODG00000024268,ortholog_many2many
ENSMUSG00000095839,ENSMODG00000024265,ortholog_many2many
ENSMUSG00000095839,ENSMODG00000024271,ortholog_many2many
ENSMUSG00000095839,ENSMODG00000024270,ortholog_many2many
ENSMUSG00000036661,ENSMODG00000000677,ortholog_one2many
ENSMUSG00000036661,ENSMODG00000024413,ortholog_one2many
ENSMUSG00000073951,ENSMODG00000022927,ortholog_many2many
ENSMUSG00000073951,ENSMODG00000022926,ortholog_many2many
ENSMUSG00000048076,ENSMODG00000013804,ortholog_one2one
ENSMUSG00000025817,ENSMODG00000016824,ortholog_one2one
ENSMUSG00000096903,,
ENSMUSG00000099269,ENSMODG00000025382,ortholog_many2many
ENSMUSG00000019861,ENSMODG00000017803,ortholog_one2one
ENSMUSG00000073952,ENSMODG00000022927,ortholog_many2many
ENSMUSG00000073952,ENSMODG00000022926,ortholog_many2many
ENSMUSG00000074870,ENSMODG00000002844,ortholog_one2many
ENSMUSG00000075571,,
ENSMUSG00000062121,ENSMODG00000012637,ortholog_many2many
ENSMUSG00000062121,ENSMODG00000012644,ortholog_many2many
ENSMUSG00000098049,ENSMODG00000012097,ortholog_many2many
ENSMUSG00000098049,ENSMODG00000028867,ortholog_many2many
ENSMUSG00000098049,ENSMODG00000028149,ortholog_many2many
ENSMUSG00000098049,ENSMODG00000012290,ortholog_many2many
ENSMUSG00000045394,ENSMODG00000001077,ortholog_one2one
ENSMUSG00000096663,,
ENSMUSG00000096194,,
ENSMUSG00000043131,ENSMODG00000010473,ortholog_many2many
ENSMUSG00000060049,ENSMODG00000020186,ortholog_many2many
ENSMUSG00000073953,ENSMODG00000022929,ortholog_one2many
ENSMUSG00000055745,,
ENSMUSG00000078747,ENSMODG00000025500,ortholog_one2many
ENSMUSG00000094762,,
ENSMUSG00000093857,,
ENSMUSG00000098598,ENSMODG00000018676,ortholog_one2many
ENSMUSG00000064110,ENSMODG00000012787,ortholog_one2many
ENSMUSG00000003581,ENSMODG00000009289,ortholog_one2one
ENSMUSG00000067519,ENSMODG00000024211,ortholog_many2many
ENSMUSG00000074871,ENSMODG00000002844,ortholog_one2many
ENSMUSG00000094545,,
ENSMUSG00000057321,,
ENSMUSG00000075572,,
ENSMUSG00000099100,ENSMODG00000013060,ortholog_one2many
ENSMUSG00000094133,ENSMODG00000020185,ortholog_many2many
ENSMUSG00000095770,ENSMODG00000013395,ortholog_one2many
ENSMUSG00000091096,,
ENSMUSG00000059106,ENSMODG00000012787,ortholog_one2many
ENSMUSG00000096386,,
ENSMUSG00000075573,,
ENSMUSG00000067522,ENSMODG00000020190,ortholog_one2one
ENSMUSG00000073954,ENSMODG00000010984,ortholog_one2many
ENSMUSG00000058435,ENSMODG00000014813,ortholog_many2many
ENSMUSG00000058435,ENSMODG00000014767,ortholog_many2many
ENSMUSG00000058435,ENSMODG00000024207,ortholog_many2many
ENSMUSG00000095806,,
ENSMUSG00000067524,ENSMODG00000020191,ortholog_one2one
ENSMUSG00000042050,ENSMODG00000005458,ortholog_one2one
ENSMUSG00000075574,,
ENSMUSG00000095300,,
ENSMUSG00000073955,ENSMODG00000011193,ortholog_one2many
ENSMUSG00000048978,ENSMODG00000011435,ortholog_one2one
ENSMUSG00000098034,ENSMODG00000005460,ortholog_one2many
ENSMUSG00000094439,ENSMODG00000013260,ortholog_one2many
ENSMUSG00000067525,ENSMODG00000020197,ortholog_many2many
ENSMUSG00000067525,ENSMODG00000024205,ortholog_many2many
ENSMUSG00000067525,ENSMODG00000020199,ortholog_many2many
ENSMUSG00000067525,ENSMODG00000020198,ortholog_many2many
ENSMUSG00000059867,ENSMODG00000012787,ortholog_one2many
ENSMUSG00000095745,,
ENSMUSG00000091539,ENSMODG00000008398,ortholog_many2many
ENSMUSG00000091539,ENSMODG00000006082,ortholog_many2many
ENSMUSG00000091539,ENSMODG00000006100,ortholog_many2many
ENSMUSG00000091539,ENSMODG00000018037,ortholog_many2many
ENSMUSG00000091539,ENSMODG00000008424,ortholog_many2many
ENSMUSG00000091539,ENSMODG00000005144,ortholog_many2many
ENSMUSG00000091539,ENSMODG00000017998,ortholog_many2many
ENSMUSG00000091539,ENSMODG00000008467,ortholog_many2many
ENSMUSG00000091539,ENSMODG00000006134,ortholog_many2many
ENSMUSG00000091539,ENSMODG00000018001,ortholog_many2many
ENSMUSG00000091539,ENSMODG00000008444,ortholog_many2many
ENSMUSG00000091539,ENSMODG00000006088,ortholog_many2many
ENSMUSG00000073956,ENSMODG00000022939,ortholog_one2many
ENSMUSG00000073956,ENSMODG00000022936,ortholog_one2many
ENSMUSG00000073956,ENSMODG00000022935,ortholog_one2many
ENSMUSG00000029622,ENSMODG00000001316,ortholog_one2one
ENSMUSG00000064370,ENSMODG00000021591,ortholog_one2one
ENSMUSG00000094757,,
ENSMUSG00000090497,,
ENSMUSG00000048299,ENSMODG00000012576,ortholog_one2many
ENSMUSG00000048299,ENSMODG00000012768,ortholog_one2many
ENSMUSG00000048299,ENSMODG00000012778,ortholog_one2many
ENSMUSG00000048299,ENSMODG00000025447,ortholog_one2many
ENSMUSG00000025041,ENSMODG00000011153,ortholog_one2one
ENSMUSG00000034384,ENSMODG00000012056,ortholog_one2one
ENSMUSG00000094886,ENSMODG00000024926,ortholog_one2many
ENSMUSG00000020441,,
ENSMUSG00000064368,ENSMODG00000021589,ortholog_one2one
ENSMUSG00000094298,,
ENSMUSG00000057461,ENSMODG00000011193,ortholog_one2many
ENSMUSG00000064367,ENSMODG00000021588,ortholog_one2one
ENSMUSG00000096730,ENSMODG00000023437,ortholog_many2many
ENSMUSG00000096730,ENSMODG00000010694,ortholog_many2many
ENSMUSG00000096730,ENSMODG00000007877,ortholog_many2many
ENSMUSG00000051362,ENSMODG00000010984,ortholog_one2many
ENSMUSG00000039483,ENSMODG00000006761,ortholog_one2one
ENSMUSG00000093976,,
ENSMUSG00000033166,ENSMODG00000000208,ortholog_one2one
ENSMUSG00000044994,ENSMODG00000020197,ortholog_many2many
ENSMUSG00000044994,ENSMODG00000024205,ortholog_many2many
ENSMUSG00000044994,ENSMODG00000020199,ortholog_many2many
ENSMUSG00000044994,ENSMODG00000020198,ortholog_many2many
ENSMUSG00000094735,,
ENSMUSG00000031444,ENSMODG00000003988,ortholog_one2one
ENSMUSG00000003585,ENSMODG00000009307,ortholog_one2one
ENSMUSG00000064363,ENSMODG00000021584,ortholog_one2one
ENSMUSG00000066268,ENSMODG00000022942,ortholog_one2many
ENSMUSG00000066268,ENSMODG00000022943,ortholog_one2many
ENSMUSG00000067526,ENSMODG00000020197,ortholog_many2many
ENSMUSG00000067526,ENSMODG00000024205,ortholog_many2many
ENSMUSG00000067526,ENSMODG00000020199,ortholog_many2many
ENSMUSG00000067526,ENSMODG00000020198,ortholog_many2many
ENSMUSG00000094011,,
ENSMUSG00000065947,ENSMODG00000021583,ortholog_one2many
ENSMUSG00000041025,ENSMODG00000013260,ortholog_one2many
ENSMUSG00000078080,ENSMODG00000009115,ortholog_many2many
ENSMUSG00000078080,ENSMODG00000009118,ortholog_many2many
ENSMUSG00000078080,ENSMODG00000023982,ortholog_many2many
ENSMUSG00000028517,ENSMODG00000003608,ortholog_one2one
ENSMUSG00000067528,ENSMODG00000020197,ortholog_many2many
ENSMUSG00000067528,ENSMODG00000024205,ortholog_many2many
ENSMUSG00000067528,ENSMODG00000020199,ortholog_many2many
ENSMUSG00000067528,ENSMODG00000020198,ortholog_many2many
ENSMUSG00000028883,ENSMODG00000016983,ortholog_one2one
ENSMUSG00000064360,ENSMODG00000021581,ortholog_one2one
ENSMUSG00000096164,,
ENSMUSG00000073959,ENSMODG00000009137,ortholog_one2many
ENSMUSG00000067529,ENSMODG00000020197,ortholog_many2many
ENSMUSG00000067529,ENSMODG00000024205,ortholog_many2many
ENSMUSG00000067529,ENSMODG00000020199,ortholog_many2many
ENSMUSG00000067529,ENSMODG00000020198,ortholog_many2many
ENSMUSG00000019891,ENSMODG00000017807,ortholog_one2one
ENSMUSG00000064358,ENSMODG00000021579,ortholog_one2one
ENSMUSG00000064357,ENSMODG00000021578,ortholog_one2many
ENSMUSG00000064357,ENSMODG00000028188,ortholog_one2many
ENSMUSG00000096152,,
ENSMUSG00000073960,ENSMODG00000009115,ortholog_many2many
ENSMUSG00000073960,ENSMODG00000009118,ortholog_many2many
ENSMUSG00000073960,ENSMODG00000023982,ortholog_many2many
ENSMUSG00000073960,ENSMODG00000023981,ortholog_many2many
ENSMUSG00000028259,ENSMODG00000018134,ortholog_one2one
ENSMUSG00000064356,,
ENSMUSG00000021440,ENSMODG00000002844,ortholog_one2many
ENSMUSG00000064354,ENSMODG00000021575,ortholog_one2one
ENSMUSG00000073961,ENSMODG00000009137,ortholog_one2many
ENSMUSG00000095076,,
ENSMUSG00000095201,,
ENSMUSG00000095637,,
ENSMUSG00000045792,,
ENSMUSG00000034687,ENSMODG00000020811,ortholog_one2one
ENSMUSG00000064351,ENSMODG00000021572,ortholog_one2one
ENSMUSG00000095728,,
ENSMUSG00000044042,ENSMODG00000001441,ortholog_one2one
ENSMUSG00000004748,ENSMODG00000009311,ortholog_one2one
ENSMUSG00000034424,,
ENSMUSG00000038112,ENSMODG00000012739,ortholog_one2many
ENSMUSG00000051285,ENSMODG00000009645,ortholog_one2one
ENSMUSG00000096645,ENSMODG00000013395,ortholog_one2many
