Ensembl Gene ID,Gorilla Ensembl Gene ID,Homology Type
ENSMUSG00000094722,,
ENSMUSG00000094351,,
ENSMUSG00000057446,ENSGGOG00000000088,ortholog_one2many
ENSMUSG00000051234,ENSGGOG00000001829,ortholog_one2many
ENSMUSG00000073962,ENSGGOG00000006612,ortholog_many2many
ENSMUSG00000064345,ENSGGOG00000026243,ortholog_one2one
ENSMUSG00000094352,,
ENSMUSG00000033285,ENSGGOG00000009982,ortholog_one2one
ENSMUSG00000031847,ENSGGOG00000006688,ortholog_one2one
ENSMUSG00000040372,ENSGGOG00000028245,ortholog_one2one
ENSMUSG00000096244,,
ENSMUSG00000054752,ENSGGOG00000026946,ortholog_one2one
ENSMUSG00000066269,ENSGGOG00000028055,ortholog_one2one
ENSMUSG00000095229,,
ENSMUSG00000096776,,
ENSMUSG00000064341,ENSGGOG00000022681,ortholog_one2one
ENSMUSG00000060508,ENSGGOG00000023343,ortholog_one2many
ENSMUSG00000056418,,
ENSMUSG00000045824,ENSGGOG00000024975,ortholog_one2one
ENSMUSG00000021441,ENSGGOG00000000088,ortholog_one2many
ENSMUSG00000095754,ENSGGOG00000004760,ortholog_one2many
ENSMUSG00000052785,,
ENSMUSG00000047388,ENSGGOG00000013004,ortholog_one2one
ENSMUSG00000049076,ENSGGOG00000016078,ortholog_one2one
ENSMUSG00000001552,ENSGGOG00000010104,ortholog_one2one
ENSMUSG00000094391,,
ENSMUSG00000073963,,
ENSMUSG00000062038,ENSGGOG00000026834,ortholog_many2many
ENSMUSG00000098112,ENSGGOG00000009423,ortholog_one2one
ENSMUSG00000035910,ENSGGOG00000034903,ortholog_one2one
ENSMUSG00000022070,ENSGGOG00000004468,ortholog_one2one
ENSMUSG00000043310,ENSGGOG00000013989,ortholog_one2one
ENSMUSG00000079834,ENSGGOG00000024008,ortholog_one2one
ENSMUSG00000032412,ENSGGOG00000025300,ortholog_one2many
ENSMUSG00000032412,ENSGGOG00000027111,ortholog_one2many
ENSMUSG00000055679,ENSGGOG00000000088,ortholog_one2many
ENSMUSG00000014547,ENSGGOG00000025072,ortholog_one2one
ENSMUSG00000073964,ENSGGOG00000026645,ortholog_one2one
ENSMUSG00000054986,ENSGGOG00000004262,ortholog_one2one
ENSMUSG00000062142,,
ENSMUSG00000053110,ENSGGOG00000025705,ortholog_one2one
ENSMUSG00000061654,ENSGGOG00000022101,ortholog_one2one
ENSMUSG00000039128,ENSGGOG00000024021,ortholog_one2one
ENSMUSG00000011171,ENSGGOG00000007385,ortholog_one2one
ENSMUSG00000059923,ENSGGOG00000006122,ortholog_one2one
ENSMUSG00000073965,ENSGGOG00000014514,ortholog_one2one
ENSMUSG00000064105,ENSGGOG00000013254,ortholog_one2one
ENSMUSG00000033186,ENSGGOG00000015348,ortholog_one2one
ENSMUSG00000090805,,
ENSMUSG00000028518,ENSGGOG00000009076,ortholog_one2one
ENSMUSG00000070777,ENSGGOG00000016631,ortholog_one2one
ENSMUSG00000060888,,
ENSMUSG00000051412,ENSGGOG00000001709,ortholog_one2one
ENSMUSG00000048469,ENSGGOG00000026251,ortholog_one2one
ENSMUSG00000027787,ENSGGOG00000007157,ortholog_one2one
ENSMUSG00000025402,ENSGGOG00000001421,ortholog_one2one
ENSMUSG00000021732,ENSGGOG00000004647,ortholog_one2one
ENSMUSG00000036860,ENSGGOG00000015709,ortholog_one2one
ENSMUSG00000040254,ENSGGOG00000012626,ortholog_one2one
ENSMUSG00000094799,ENSGGOG00000006923,ortholog_one2many
ENSMUSG00000073966,ENSGGOG00000022718,ortholog_one2one
ENSMUSG00000021339,ENSGGOG00000009098,ortholog_one2one
ENSMUSG00000070778,,
ENSMUSG00000079794,ENSGGOG00000006936,ortholog_one2many
ENSMUSG00000079192,ENSGGOG00000006936,ortholog_one2many
ENSMUSG00000043366,ENSGGOG00000004255,ortholog_one2one
ENSMUSG00000097411,,
ENSMUSG00000040498,,
ENSMUSG00000095092,ENSGGOG00000006923,ortholog_one2many
ENSMUSG00000026857,ENSGGOG00000002669,ortholog_one2one
ENSMUSG00000036438,ENSGGOG00000026813,ortholog_one2many
ENSMUSG00000036438,ENSGGOG00000002521,ortholog_one2many
ENSMUSG00000079800,,
ENSMUSG00000031756,ENSGGOG00000002868,ortholog_one2one
ENSMUSG00000029621,,
ENSMUSG00000066272,,
ENSMUSG00000059366,ENSGGOG00000002303,ortholog_one2many
ENSMUSG00000021843,ENSGGOG00000016707,ortholog_one2one
ENSMUSG00000094065,ENSGGOG00000025682,ortholog_one2many
ENSMUSG00000021731,ENSGGOG00000016095,ortholog_one2one
ENSMUSG00000095041,ENSGGOG00000007841,ortholog_one2many
ENSMUSG00000066273,,
ENSMUSG00000094759,,
ENSMUSG00000050853,,
ENSMUSG00000070423,ENSGGOG00000013443,ortholog_one2one
ENSMUSG00000096543,,
ENSMUSG00000073967,ENSGGOG00000013440,ortholog_one2one
ENSMUSG00000024687,ENSGGOG00000011343,ortholog_one2one
ENSMUSG00000053559,ENSGGOG00000006815,ortholog_one2one
ENSMUSG00000019368,ENSGGOG00000004270,ortholog_one2one
ENSMUSG00000095322,,
ENSMUSG00000036557,ENSGGOG00000002525,ortholog_one2one
ENSMUSG00000040511,ENSGGOG00000010705,ortholog_one2one
ENSMUSG00000014633,ENSGGOG00000006740,ortholog_one2one
ENSMUSG00000073968,ENSGGOG00000010426,ortholog_one2one
ENSMUSG00000003559,ENSGGOG00000016551,ortholog_one2one
ENSMUSG00000000346,ENSGGOG00000026861,ortholog_one2one
ENSMUSG00000062649,ENSGGOG00000023114,ortholog_one2many
ENSMUSG00000042063,ENSGGOG00000005668,ortholog_one2many
ENSMUSG00000042063,ENSGGOG00000001955,ortholog_one2many
ENSMUSG00000062760,ENSGGOG00000013635,ortholog_one2one
ENSMUSG00000073969,ENSGGOG00000005041,ortholog_one2many
ENSMUSG00000073969,ENSGGOG00000027180,ortholog_one2many
ENSMUSG00000095019,,
ENSMUSG00000041718,,
ENSMUSG00000073970,ENSGGOG00000027690,ortholog_one2many
ENSMUSG00000063176,,
ENSMUSG00000062376,ENSGGOG00000027277,ortholog_one2one
ENSMUSG00000095326,,
ENSMUSG00000028261,ENSGGOG00000012070,ortholog_one2one
ENSMUSG00000096850,,
ENSMUSG00000021439,ENSGGOG00000000088,ortholog_one2many
ENSMUSG00000073971,ENSGGOG00000027852,ortholog_one2one
ENSMUSG00000039145,ENSGGOG00000016547,ortholog_one2one
ENSMUSG00000029620,,
ENSMUSG00000073972,ENSGGOG00000022031,ortholog_one2one
ENSMUSG00000094745,ENSGGOG00000023114,ortholog_one2many
ENSMUSG00000031758,ENSGGOG00000006084,ortholog_one2one
ENSMUSG00000047434,,
ENSMUSG00000073973,ENSGGOG00000003155,ortholog_one2one
ENSMUSG00000031443,ENSGGOG00000014062,ortholog_one2one
ENSMUSG00000021072,ENSGGOG00000009768,ortholog_one2one
ENSMUSG00000096466,ENSGGOG00000022672,ortholog_one2many
ENSMUSG00000096768,,
ENSMUSG00000073974,ENSGGOG00000022485,ortholog_one2one
ENSMUSG00000049848,ENSGGOG00000009234,ortholog_one2one
ENSMUSG00000061707,,
ENSMUSG00000046546,ENSGGOG00000024196,ortholog_one2one
ENSMUSG00000073975,,
ENSMUSG00000030243,ENSGGOG00000010985,ortholog_one2one
ENSMUSG00000049721,ENSGGOG00000009825,ortholog_one2one
ENSMUSG00000095134,ENSGGOG00000003756,ortholog_one2many
ENSMUSG00000095366,,
ENSMUSG00000014686,ENSGGOG00000014530,ortholog_one2one
ENSMUSG00000096178,,
ENSMUSG00000026676,ENSGGOG00000015404,ortholog_one2one
ENSMUSG00000095099,,
ENSMUSG00000029062,ENSGGOG00000000304,ortholog_one2one
ENSMUSG00000033740,ENSGGOG00000001223,ortholog_one2one
ENSMUSG00000030966,ENSGGOG00000006515,ortholog_one2one
ENSMUSG00000046139,ENSGGOG00000004335,ortholog_one2one
ENSMUSG00000094375,,
ENSMUSG00000092216,,
ENSMUSG00000095800,,
ENSMUSG00000091060,,
ENSMUSG00000036356,ENSGGOG00000009665,ortholog_one2one
ENSMUSG00000094909,,
ENSMUSG00000060878,ENSGGOG00000025802,ortholog_one2one
ENSMUSG00000078612,ENSGGOG00000009087,ortholog_one2one
ENSMUSG00000073977,,
ENSMUSG00000093881,,
ENSMUSG00000067545,,
ENSMUSG00000026697,ENSGGOG00000027553,ortholog_one2one
ENSMUSG00000073978,ENSGGOG00000006514,ortholog_one2many
ENSMUSG00000094459,,
ENSMUSG00000020064,ENSGGOG00000008249,ortholog_one2one
ENSMUSG00000001052,ENSGGOG00000006806,ortholog_one2one
ENSMUSG00000060556,,
ENSMUSG00000095083,,
ENSMUSG00000073979,ENSGGOG00000006514,ortholog_one2many
ENSMUSG00000028240,ENSGGOG00000017100,ortholog_one2many
ENSMUSG00000028240,ENSGGOG00000023783,ortholog_one2many
ENSMUSG00000094399,,
ENSMUSG00000048292,,
ENSMUSG00000044824,,
ENSMUSG00000023953,,
ENSMUSG00000094716,,
ENSMUSG00000032000,ENSGGOG00000005827,ortholog_one2one
ENSMUSG00000096625,,
ENSMUSG00000043925,,
ENSMUSG00000020884,ENSGGOG00000008200,ortholog_one2one
ENSMUSG00000029486,ENSGGOG00000001304,ortholog_one2one
ENSMUSG00000067848,,
ENSMUSG00000094761,,
ENSMUSG00000044814,,
ENSMUSG00000053175,ENSGGOG00000012567,ortholog_one2one
ENSMUSG00000034467,ENSGGOG00000008687,ortholog_one2one
ENSMUSG00000020048,ENSGGOG00000028040,ortholog_one2many
ENSMUSG00000020048,ENSGGOG00000003216,ortholog_one2many
ENSMUSG00000020048,ENSGGOG00000001928,ortholog_one2many
ENSMUSG00000095303,,
ENSMUSG00000045391,,
ENSMUSG00000095386,,
ENSMUSG00000094744,,
ENSMUSG00000095838,,
ENSMUSG00000006930,ENSGGOG00000012786,ortholog_one2one
ENSMUSG00000043300,ENSGGOG00000009315,ortholog_one2one
ENSMUSG00000039963,ENSGGOG00000012650,ortholog_one2one
ENSMUSG00000026672,ENSGGOG00000014718,ortholog_one2one
ENSMUSG00000073682,,
ENSMUSG00000054423,ENSGGOG00000015194,ortholog_one2one
ENSMUSG00000094418,,
ENSMUSG00000055435,ENSGGOG00000011454,ortholog_one2one
ENSMUSG00000049742,,
ENSMUSG00000095443,,
ENSMUSG00000095167,,
ENSMUSG00000095760,,
ENSMUSG00000090468,ENSGGOG00000022327,ortholog_many2many
ENSMUSG00000090468,ENSGGOG00000003377,ortholog_many2many
ENSMUSG00000090468,ENSGGOG00000022763,ortholog_many2many
ENSMUSG00000090468,ENSGGOG00000013702,ortholog_many2many
ENSMUSG00000090468,ENSGGOG00000003381,ortholog_many2many
ENSMUSG00000090468,ENSGGOG00000001400,ortholog_many2many
ENSMUSG00000020430,ENSGGOG00000028472,ortholog_one2many
ENSMUSG00000020430,ENSGGOG00000008530,ortholog_one2many
ENSMUSG00000030978,ENSGGOG00000014160,ortholog_one2one
ENSMUSG00000057367,ENSGGOG00000008327,ortholog_one2one
ENSMUSG00000026696,ENSGGOG00000023200,ortholog_one2one
ENSMUSG00000053886,ENSGGOG00000009657,ortholog_one2one
ENSMUSG00000095650,,
ENSMUSG00000035161,ENSGGOG00000001176,ortholog_one2one
ENSMUSG00000032411,ENSGGOG00000007878,ortholog_one2one
ENSMUSG00000096187,,
ENSMUSG00000095306,,
ENSMUSG00000096575,,
ENSMUSG00000020444,ENSGGOG00000013567,ortholog_one2one
ENSMUSG00000093832,,
ENSMUSG00000096418,,
ENSMUSG00000028063,ENSGGOG00000000813,ortholog_one2one
ENSMUSG00000094036,,
ENSMUSG00000096671,,
ENSMUSG00000021730,ENSGGOG00000001533,ortholog_one2one
ENSMUSG00000030987,ENSGGOG00000014152,ortholog_one2one
ENSMUSG00000094660,,
ENSMUSG00000034493,,
ENSMUSG00000095688,,
ENSMUSG00000091155,ENSGGOG00000001173,ortholog_one2one
ENSMUSG00000073255,,
ENSMUSG00000027363,ENSGGOG00000024945,ortholog_one2one
ENSMUSG00000017165,ENSGGOG00000016628,ortholog_one2one
ENSMUSG00000094469,,
ENSMUSG00000004637,,
ENSMUSG00000028330,ENSGGOG00000001376,ortholog_one2one
ENSMUSG00000090308,,
ENSMUSG00000043448,,
ENSMUSG00000095153,,
ENSMUSG00000094205,,
ENSMUSG00000090816,,
ENSMUSG00000020720,ENSGGOG00000014761,ortholog_one2one
ENSMUSG00000095109,,
ENSMUSG00000040525,ENSGGOG00000025562,ortholog_one2one
ENSMUSG00000062372,ENSGGOG00000000008,ortholog_one2one
ENSMUSG00000073982,ENSGGOG00000012561,ortholog_one2one
ENSMUSG00000096125,,
ENSMUSG00000022449,ENSGGOG00000002541,ortholog_one2one
ENSMUSG00000094105,,
ENSMUSG00000023952,ENSGGOG00000014744,ortholog_one2one
ENSMUSG00000094857,,
ENSMUSG00000096552,,
ENSMUSG00000020044,ENSGGOG00000013242,ortholog_one2one
ENSMUSG00000015733,ENSGGOG00000012158,ortholog_one2one
ENSMUSG00000003555,ENSGGOG00000012438,ortholog_one2one
ENSMUSG00000095582,,
ENSMUSG00000035530,ENSGGOG00000027201,ortholog_one2one
ENSMUSG00000095726,,
ENSMUSG00000021743,ENSGGOG00000026200,ortholog_one2one
ENSMUSG00000096816,,
ENSMUSG00000035184,ENSGGOG00000002412,ortholog_one2one
ENSMUSG00000095815,,
ENSMUSG00000095921,,
ENSMUSG00000026669,ENSGGOG00000014159,ortholog_one2one
ENSMUSG00000094629,,
ENSMUSG00000020432,ENSGGOG00000000122,ortholog_one2one
ENSMUSG00000094348,,
ENSMUSG00000041488,,
ENSMUSG00000055298,ENSGGOG00000000088,ortholog_one2many
ENSMUSG00000094209,,
ENSMUSG00000057610,ENSGGOG00000022672,ortholog_one2many
ENSMUSG00000073257,,
ENSMUSG00000037526,,
ENSMUSG00000096104,,
ENSMUSG00000021185,ENSGGOG00000015304,ortholog_one2one
ENSMUSG00000005667,ENSGGOG00000002247,ortholog_one2one
ENSMUSG00000026694,ENSGGOG00000027207,ortholog_one2many
ENSMUSG00000026694,ENSGGOG00000004671,ortholog_one2many
ENSMUSG00000094047,,
ENSMUSG00000026942,ENSGGOG00000007150,ortholog_one2one
ENSMUSG00000029290,ENSGGOG00000015528,ortholog_one2one
ENSMUSG00000035031,ENSGGOG00000013973,ortholog_one2one
ENSMUSG00000033834,,
